english               tune                          english parts                     tune parts
skiing                -                             ski + act                         ? + yez
skillful              jipswavup                     skill + full                      jips + vup
skinny                skinwalak                     skin + like                       skin + lak
slate                 vodjaiston                    sheet + stone                     vodj + ston
sleepy                slipwalak                     sleep + like                      slip + lak
sleet                 renaisnom                     rain + snow                       ren + snom
slightly              sletwakuq                     slight + manner                   slet + kuq
slimy                 valbwalak                     slim + like                       valb + lak
slower                slomwayug                     slow + agent                      slom + yug
smaller               -                             grammar                           ?
smallest              -                             grammar                           ?
smith                 maltaiwarkaiyug               metal + work + agent              malt + wark + yug
smoker                smokaiyug                     smoke + agent                     smok + yug
smug                  depaiyarzaizond               self + satisfy + superior         dep + yarz + zond
smuggler              kretaimaftaiyug               secret + carry + agent            kret + maft + yug
sneaky                snikwalak                     sneak + like                      snik + lak
sneer                 rodjaifesaixol                contempt + face + show            rodj + fes + xol
snuff                 nozaikubz                     nose + powder                     noz + kubz
soccer                gralaibralaipudj              foot + ball + sport               gral + bral + pudj
sock                  saftaigralaivedz              soft + foot + covering            saft + gral + vedz
soften                saftwamek                     soft + make                       saft + mek
software              saftaiplog                    soft + ware                       saft + plog
solar                 yuftwalak                     sole + like                       yuft + lak
soldier               gekaiyug                      war + agent                       gek + yug
solitary              yuftailak                     sole + like                       yuft + lak
solstice              sanaizesaiyam                 sun + stand + day                 san + zes + yam
soluble               zalvaifip                     dissolve + able                   zalv + fip
solute                zalvainiv                     dissolve + thing                  zalv + niv
solution              wizaiyez                      solve + act                       wiz + yez
solvent               wizwayug                      solve + agent                     wiz + yug
somatic               vataiyov                      body + of                         vat + yov
someone               ninaizan                      some + one                        nin + zan
something             ninainiv                      some + thing                      nin + niv
sometime              ninaikal                      some + time                       nin + kal
sometimes             ninaikal                      some + time                       nin + kal
song                  remainiv                      sing + thing                      rem + niv
sophisticated         -                             refine + done                     ? + ?
southward             -                             south + oriented                  lut + ?
sovereignty           -                             highest + rule                    ? + nesk
soybean               gipsaiColv                    oil + bean                        gips + Colv
speaker               vikaizan                      speak + one                       vik + zan
specialist            fezwayug                      special + agent                   fez + yug
specialize            fezwamek                      special + make                    fez + mek
speciation            -                             population + isolate + diverge    xebz + dric + ?
species               cadainab                      life + kind                       cad + nab
specification         -                             specify + act                     ? + yez
specified             -                             specify + done                    ? + ?
specimen              zanaihund                     one + sample                      zan + hund
spectacular           malbaisat                     grand + sight                     malb + sat
spectral              gostailak                     ghost + like                      gost + lak
speech                vikaiyez                      speak + act                       vik + yez
sphinx                groqaivataidramaihad          lion + body + human + head        groq + vat + dram + had
spicy                 spaswalak                     spice + like                      spas + lak
spiny                 spanailak                     spine + like                      span + lak
spiracle              netsaigetx                    breathe + opening                 nets + getx
splenic               bruvaiyov                     spleen + of                       bruv + yov
splicing              -                             splice + act                      ? + yez
spruce                valdaicomp                    needle + pine                     vald + comp
squawk                baxaicarb                     bird + screech                    bax + carb
squid                 nucaitxug                     long + octopus                    nuc + txug
squirrel              dipaidimp                     tree + rat                        dip + dimp
squishy               stiqwalak                     squish + like                     stiq + lak
stadium               brataiglib                    big + arena                       brat + glib
staging               nalvaiyez                     stage + act                       nalv + yez
stairs                snedwamav                     stair + many                      sned + mav
standard deviation    -                             typical + deviation               visp + ?
starfish              staraifrix                    star + fish                       star + frix
state space           domaigig                      state + set                       dom + gig
statement             domwayez                      state + act                       dom + yez
static                domwalak                      state + like                      dom + lak
station               stevwayez                     stay + act                        stev + yez
statistics            domainiv                      state + thing                     dom + niv
stay                  domwalak                      state + like                      dom + lak
steel                 kadaikitx                     hard + iron                       kad + kitx
stellate              starailak                     star + like                       star + lak
steppe                dralaipind                    dry + plain                       dral + pind
steroid               -                             sterol + like                     ? + lak
stevia                skitailif                     sweet + leaf                      skit + lif
sticky                rebwalak                      stick + like                      reb + lak
stiffness             -                             stiff + ness                      fatx + ?
stimulation           -                             stimulate + act                   ? + yez
stinger               Campaipart                    sting + part                      Camp + part
stinking              zaqkwayez                     stink + act                       zaqk + yez
stochastic            fard                          random                            fard
stocking              bepswayez                     stock + act                       beps + yez
stoic                 -                             feeling + restrain                ? + ?
stomata               -                             leaf + pore                       lif + ?
stork                 nucailegzaigolp               long + leg + crane                nuc + legz + golp
stranger              -                             unknown + person                  ? + nar
stratification        -                             stratum + act                     ? + yez
stratified            -                             stratum + done                    ? + ?
stratus               grofaiklad                    layer + cloud                     grof + klad
strawberry            grasaiglaf                    grass + berry                     gras + glaf
strength              livaiyaj                      strong + measure                  liv + yaj
strengthen            -                             strength + make                   ? + mek
studio                meqkaitif                     art + room                        meqk + tif
sturgeon              xantaifrix                    ancient + fish                    xant + frix
sub                   -                             submarine                         ?
sublimation           soldaimeskaijef               solid + gas + become              sold + mesk + jef
submerge              dodjwabas                     below + merge                     dodj + bas
submission            slimaiyez                     submit + act                      slim + yez
subordinate           dodjaireqk                    below + rank                      dodj + reqk
subscription          skadaiyez                     subscribe + act                   skad + yez
subset                dodjwagig                     below + set                       dodj + gig
subside               dodjwasard                    below + side                      dodj + sard
subsidy               neqaipov                      help + money                      neq + pov
substation            -                             small + station                   smal + ?
subsume               betaidab                      under + include                   bet + dab
subsystem             dodjwawux                     below + system                    dodj + wux
subtype               dodjwatuq                     below + type                      dodj + tuq
succession            xigzaiyez                     succeed + act                     xigz + yez
successive            darbainord                    follow + order                    darb + nord
successor             fidaizan                      next + one                        fid + zan
succinate             -                             succinic + salt                   ? + tigz
suction               gotxaiyez                     suck + act                        gotx + yez
suffering             bugzwayez                     suffer + act                      bugz + yez
suffice               puxaibaq                      enough + be                       pux + baq
sufficient            pux                           enough                            pux
sugarcane             gandaigras                    sugar + grass                     gand + gras
suggestion            geqkwayez                     suggest + act                     geqk + yez
sulfate               spizaitigz                    sulfur + salt                     spiz + tigz
sulfide               spizaitigz                    sulfur + salt                     spiz + tigz
sunflower             sanaiflor                     sun + flower                      san + flor
sunshine              sanailit                      sun + light                       san + lit
superficial           sorfaiyov                     surface + of                      sorf + yov
supernatural          nedjwanups                    above + natural                   nedj + nups
supertype             nedjwatuq                     above + type                      nedj + tuq
supper                yitaidarg                     night + meal                      yit + darg
suppression           smazaiyez                     suppress + act                    smaz + yez
surface tension       sorfaixalf                    surface + tension                 sorf + xalf
surprised             -                             surprise + done                   lib + ?
surrounding           djovwayez                     surround + act                    djov + yez
surveillance          djipaiwatxaiyez               over + watch + act                djip + watx + yez
survey                mavaihundaisuv                many + sample + observe           mav + hund + suv
susceptibility        -                             susceptible + ness                ? + ?
suspension            dromaiyez                     suspend + act                     drom + yez
swan                  wipaizarv                     white + goose                     wip + zarv
swindler              kendaiyug                     cheat + agent                     kend + yug
swordfish             bibzaifrix                    sword + fish                      bibz + frix
syllable              samaibit                      sound + beat                      sam + bit
symbiosis             kibaitug                      live + together                   kib + tug
symbolic              marwalak                      symbol + like                     mar + lak
symbolize             marwamek                      symbol + make                     mar + mek
symmetric             matxwalak                     symmetry + like                   matx + lak
sympathetic           xorzaiyov                     sympathy + of                     xorz + yov
synchronize           nobaikalaimek                 same + time + make                nob + kal + mek
synchronous           nobaikal                      same + time                       nob + kal
synergy               -                             combine + effect + greater        plaz + zak + ?
synonym               nobaimog                      same + meaning                    nob + mog
synovial              -                             synovia + of                      ? + yov
synthetic             -                             synthesis + like                  ? + lak
tactful               gundaijipsaikotxaivord        social + skill + offense + avoid  gund + jips + kotx + vord
tactic                spoqwalak                     tact + like                       spoq + lak
tactile               tatxaiyov                     touch + of                        tatx + yov
talkable              takaifip                      talk + able                       tak + fip
talkative             takailak                      talk + like                       tak + lak
talky                 takwalak                      talk + like                       tak + lak
tambourine            gempaidrum                    shake + drum                      gemp + drum
tangible              tatxaifip                     touch + able                      tatx + fip
tank                  brataikridaiweps              big + liquid + container          brat + krid + weps
taper                 hoftwayug                     tap + agent                       hoft + yug
tartrate              -                             tartaric + salt                   ? + tigz
tasty                 testwalak                     taste + like                      test + lak
taunt                 dovaiblac                     mock + provoke                    dov + blac
taxation              hubzaiyez                     tax + act                         hubz + yez
taxi                  -                             taximeter cab                     ?
teacher               titxwayug                     teach + agent                     titx + yug
tech                  -                             technology                        ?
technical             -                             technique + of                    ? + yov
techniques            -                             technique + many                  ? + mav
technology            yabzainedz                    craft + study                     yabz + nedz
telepathy             zadaimanaitak                 far + mind + talk                 zad + man + tak
telephone             zadaitakaixin                 far + talk + machine              zad + tak + xin
telescope             zadaivisaitul                 far + see + tool                  zad + vis + tul
temple                -                             worship + building                xuks + ?
temporal              kalaiyov                      time + of                         kal + yov
tenable               feCwafip                      ten + able                        feC + fip
tenant                feCwayug                      ten + agent                       feC + yug
tender                vagzwayug                     tend + agent                      vagz + yug
tendon                suftaiCesk                    muscle + cord                     suft + Cesk
tennis                jorvaibralaipudj              racket + ball + sport             jorv + bral + pudj
tenth                 feCainord                     ten + order                       feC + nord
terminal              -                             end + station                     guv + ?
terminate             guvaimek                      end + make                        guv + mek
termination           -                             terminate + act                   ? + yez
termite               vriCaiyolv                    wood + ant                        vriC + yolv
terrace               flataitipailan                flat + step + land                flat + tip + lan
terrain               lanaideps                     land + shape                      lan + deps
terrestrial           lanaikib                      land + live                       lan + kib
terrible              froCaifip                     fear + able                       froC + fip
territory             neskailan                     rule + land                       nesk + lan
tessellation          txivaijom                     tile + pattern                    txiv + jom
testimony             nitxaidat                     witness + word                    nitx + dat
textile               worvainiv                     weave + thing                     worv + niv
theft                 muksaiyez                     steal + act                       muks + yez
theirs                -                             grammar                           ?
them                  -                             grammar                           ?
themselves            -                             grammar                           ?
theorem               pruvaiklem                    prove + claim                     pruv + klem
therapeutic           tundaiyov                     therapy + of                      tund + yov
thermal               hitaiyov                      heat + of                         hit + yov
they                  danwalak                      the + like                        dan + lak
thickening            sespaimekaiyez                thick + make + act                sesp + mek + yez
thicket               sespaidipaihip                thick + tree + group              sesp + dip + hip
thickness             -                             thick + ness                      sesp + ?
third                 suCainord                     three + order                     suC + nord
thirsty               hostwalak                     thirst + like                     host + lak
thirty                suCaifeC                      three + ten                       suC + feC
thistle               rargaivalf                    thorn + weed                      rarg + valf
thoracic              -                             thorax + of                       ? + yov
thorax                madaivatairoqk                middle + body + region            mad + vat + roqk
thought               ciqkaiyez                     think + act                       ciqk + yez
thousandth            metxainord                    thousand + order                  metx + nord
threaten              parvwamek                     threat + make                     parv + mek
thrifty               -                             thrift + like                     ? + lak
throne                -                             king + seat                       fub + ?
throughput            bipaibagz                     output + rate                     bip + bagz
thug                  volzaiklixaiyug               violent + intimidate + agent      volz + klix + yug
tidy                  juqkwalak                     tide + like                       juqk + lak
tier                  nitsaigrof                    level + layer                     nits + grof
tiger                 smogaiwaldaiklat              stripe + wild + cat               smog + wald + klat
tilapia               galsaifrix                    lake + fish                       gals + frix
timeout               kalaiguv                      time + end                        kal + guv
tipping point         framaidroq                    cascade + threshold               fram + droq
tired                 -                             tire + done                       vetx + ?
titan                 dudjaigad                     giant + god                       dudj + gad
toad                  snudairan                     wart + frog                       snud + ran
tolerance             Calbwayez                     tolerate + act                    Calb + yez
topic                 sukwalak                      top + like                        suk + lak
torque                kakairos                      turn + force                      kak + ros
torsion               vitsaihisp                    twist + stress                    vits + hisp
tortoise              lanaikagz                     land + turtle                     lan + kagz
torus                 ropaisold                     ring + solid                      rop + sold
totem                 westaisaqk                    kin + sign                        west + saqk
touching              tatxwayez                     touch + act                       tatx + yez
touchy                kotxaitoksaitek               offense + easy + take             kotx + toks + tek
tourism               -                             tour + ism                        dedz + ?
tourist               dedzwayug                     tour + agent                      dedz + yug
toward                -                             to + oriented                     mib + ?
tower                 yepswayug                     tow + agent                       yeps + yug
toxin                 rugzainiv                     toxic + thing                     rugz + niv
trabecular            -                             trabecula + of                    ? + yov
trachea               lesaitub                      air + tube                        les + tub
tradition             tredwayez                     trade + act                       tred + yez
train                 foraixets                     fire + cart                       for + xets
trammel               -                             move + restrain                   muv + ?
transaction           tredaiyez                     trade + act                       tred + yez
transcription         -                             transcribe + act                  ? + yez
transform             roqwanunt                     across + form                     roq + nunt
transformation        plobwayez                     transform + act                   plob + yez
transient             djetailak                     transit + like                    djet + lak
transitive            lipaiwort                     chain + relation                  lip + wort
translation           litxwayez                     translate + act                   litx + yez
translucent           partaitruf                    part + transparent                part + truf
transmission          dretaiyez                     transmit + act                    dret + yez
transport             roqwahups                     across + port                     roq + hups
transportation        -                             transport + act                   ? + yez
transporter           -                             transport + thing                 ? + niv
transverse            roqaikak                      across + turn                     roq + kak
traumatic             kaqkaiyov                     trauma + of                       kaqk + yov
tray                  treswalak                     trace + like                      tres + lak
treacherous           xedzaibemp                    betray + likely                   xedz + bemp
treatment             nidzwayez                     treat + act                       nidz + yez
treaty                nidzwalak                     treat + like                      nidz + lak
trial                 zokwalak                      try + like                        zok + lak
triangular            traqaiyov                     triangle + of                     traq + yov
tributary             lumainarv                     branch + river                    lum + narv
trickery              trikainalp                    trick + practice                  trik + nalp
triple                suCaifold                     three + fold                      suC + fold
troublemaker          zezaimekaiyug                 trouble + make + agent            zez + mek + yug
trouser               legzaicorv                    leg + cloth                       legz + corv
trout                 xutsaifrix                    stream + fish                     xuts + frix
truth                 nufainep                      true + nature                     nuf + nep
tsunami               brataimalcaiwev               big + sea + wave                  brat + malc + wev
tuber                 sespaifebz                    thick + root                      sesp + febz
tubercle              smalaibamp                    small + bump                      smal + bamp
tuberculosis          -                             tubercle + state                  ? + dom
tubular               tubaiyov                      tube + of                         tub + yov
tubule                tubaismal                     tube + small                      tub + smal
tufted                -                             tuft + done                       ? + ?
tulip                 nipsaiflor                    cup + flower                      nips + flor
tundra                koldaipind                    cold + plain                      kold + pind
tuning                kipwayez                      tune + act                        kip + yez
turbulent             -                             flow + irregular                  sunt + ?
turner                kakaizan                      turn + one                        kak + zan
turnip                mapsaifebz                    round + root                      maps + febz
turquoise             bulaiblod                     blue + gem                        bul + blod
tweet                 baxaibrip                     bird + beep                       bax + brip
twelfth               mopainord                     twelve + order                    mop + nord
twentieth             -                             twenty + order                    ? + nord
twenty                dobaifeC                      two + ten                         dob + feC
twice                 dobaifold                     two + fold                        dob + fold
twig                  smalailum                     small + branch                    smal + lum
typhoon               -                             sea + cyclone                     malc + ?
tyranny               tutxainesk                    cruel + rule                      tutx + nesk
ulceration            bligaiyez                     ulcer + act                       blig + yez
umbilical             snunaiyov                     navel + of                        snun + yov
unable                maswafip                      not + able                        mas + fip
unavailable           maswabisk                     not + available                   mas + bisk
unbind                maswabin                      not + bind                        mas + bin
unbounded             tudjaiCev                     bound + without                   tudj + Cev
uncertain             maswasart                     not + certain                     mas + sart
uncertainty           preqainep                     uncertain + nature                preq + nep
uncle                 sasaitat                      parent + sibling                  sas + tat
unconscious           maswativ                      not + conscious                   mas + tiv
uncover               maswakov                      not + cover                       mas + kov
undead                -                             dead + animate                    tis + ?
undershoot            zurailetaibim                 fall + short + target             zur + let + bim
understandable        dasaifip                      understand + able                 das + fip
underworld            betaiwold                     under + world                     bet + wold
uneven                maswapev                      not + even                        mas + pev
unfair                maswarom                      not + fair                        mas + rom
unhappy               maswakeq                      not + happy                       mas + keq
unicorn               zanaipeksaihors               one + horn + horse                zan + peks + hors
uniformity            badjwanep                     uniform + nature                  badj + nep
unity                 galpwalak                     unit + like                       galp + lak
university            julwanep                      universe + nature                 jul + nep
unjust                masaibof                      not + just                        mas + bof
unknowable            -                             know + impossible                 num + ?
unknown               maswaxef                      not + known                       mas + xef
unlike                maswalak                      not + like                        mas + lak
unlikely              maswabemp                     not + likely                      mas + bemp
unlink                maswalik                      not + link                        mas + lik
unlock                maswamols                     not + lock                        mas + mols
unmove                maswamuv                      not + move                        mas + muv
unpleasant            -                             not + pleasant                    mas + ?
unpredictable         -                             not + predictable                 mas + ?
unrelated             -                             not + related                     mas + ?
unsatisfiable         masaiyarzaifip                not + satisfy + able              mas + yarz + fip
unstable              maswatab                      not + stable                      mas + tab
untangle              maswaspuv                     not + tangle                      mas + spuv
untie                 maswanotx                     not + tie                         mas + notx
untouch               maswatatx                     not + touch                       mas + tatx
untreat               maswanidz                     not + treat                       mas + nidz
unverify              maswavurf                     not + verify                      mas + vurf
unwant                maswawant                     not + want                        mas + want
upper                 tedwayug                      up + agent                        ted + yug
upward                -                             up + oriented                     ted + ?
urinate               cidjaimek                     urine + make                      cidj + mek
urn                   praxaibunt                    ash + pot                         prax + bunt
us                    -                             grammar                           ?
useful                yuzwavup                      use + full                        yuz + vup
useless               yuzwaCev                      use + without                     yuz + Cev
user                  yuzaiyug                      use + agent                       yuz + yug
usually               gaftwakuq                     usual + manner                    gaft + kuq
utensil               gabaitul                      eat + tool                        gab + tul
uterine               trudaiyov                     uterus + of                       trud + yov
utility               -                             use + ness                        yuz + ?
utilization           -                             utilize + act                     ? + yez
vaccination           -                             vaccine + act                     ? + yez
vagabond              yempaihomaiCevaiyug           wander + home + without + agent   yemp + hom + Cev + yug
vaginal               ralbaiyov                     vagina + of                       ralb + yov
validate              djijaimek                     valid + make                      djij + mek
valor                 brevainep                     brave + nature                    brev + nep
valuable              valwafip                      value + able                      val + fip
vandal                -                             vandalize + agent                 ? + yug
vandalize             -                             vandal + make                     ? + mek
vanish                nidjwalak                     van + like                        nidj + lak
vanity                nidjwanep                     van + nature                      nidj + nep
variability           -                             variable + ness                   var + ?
variable              stuxaifip                     vary + able                       stux + fip
variance              dendaiyaj                     spread + measure                  dend + yaj
variant               stuxainab                     vary + kind                       stux + nab
variation             -                             various + act                     ? + yez
variety               stuxainep                     vary + nature                     stux + nep
various               stuxailak                     vary + like                       stux + lak
vascular              vesaiyov                      vessel + of                       ves + yov
vasculature           -                             vessel + ness                     ves + ?
vase                  floraibunt                    flower + pot                      flor + bunt
veal                  zenaivaqkaimak                young + cow + meat                zen + vaqk + mak
venison               xarsaimak                     deer + meat                       xars + mak
venom                 blujaiborz                    inject + poison                   bluj + borz
venomous              -                             venom + bear                      ? + nuqk
ventilation           -                             ventilate + act                   ? + yez
ventral               blinaiyov                     belly + of                        blin + yov
ventricular           -                             ventricle + of                    ? + yov
venus                 lavaiglob                     love + planet                     lav + glob
verb                  kiqaitod                      action + term                     kiq + tod
verdict               wepaidat                      judge + word                      wep + dat
vertebra              spanaibrod                    spine + bone                      span + brod
vertebrate            spanaizul                     spine + animal                    span + zul
vertex                muftaileC                     corner + point                    muft + leC
vestibular            -                             vestibule + of                    ? + yov
veterinary            -                             vet + of                          ? + yov
vibration             spaxwayez                     vibrate + act                     spax + yez
villain               futainar                      bad + person                      fut + nar
vindictive            spimaiteftaiwant              persist + revenge + want          spim + teft + want
vineyard              grepaigor                     grape + field                     grep + gor
violation             priqwayez                     violate + act                     priq + yez
violence              priqwayez                     violate + act                     priq + yez
violent               priqwayug                     violate + agent                   priq + yug
virtuous              repswalak                     virtue + like                     reps + lak
visceral              -                             viscera + of                      ? + yov
viscosity             -                             viscous + ness                    ? + ?
viscous               suntaizist                    flow + resist                     sunt + zist
visible               visaifip                      see + able                        vis + fip
visualize             votswamek                     visual + make                     vots + mek
vitreous              malzaiyov                     glass + of                        malz + yov
vocabulary            todaigig                      term + set                        tod + gig
vocal                 vozaiyov                      voice + of                        voz + yov
volatile              xunaigolzailiv                change + sudden + strong          xun + golz + liv
volcanic              -                             volcano + of                      ? + yov
volcano               foraimot                      fire + mountain                   for + mot
volleyball            hiftaibralaipudj              net + ball + sport                hift + bral + pudj
volumetric            Caftaiyov                     volume + of                       Caft + yov
volunteer             xiqaiyug                      will + agent                      xiq + yug
vortex                suntaitxub                    flow + rotate                     sunt + txub
vowel                 zarkaisam                     open + sound                      zark + sam
vulgar                nobzaisnic                    common + coarse                   nobz + snic
vulture               tisaigabaivotx                dead + eat + eagle                tis + gab + votx
walrus                -                             tusk + seal                       ? + hodj
wanderer              yempaiyug                     wander + agent                    yemp + yug
wane                  vorv                          shrink                            vorv
warmth                wemainep                      warm + nature                     wem + nep
warning               bespwayez                     warn + act                        besp + yez
warrant               gekwayug                      war + agent                       gek + yug
was                   -                             grammar                           ?
waterbody             waCaivat                      water + body                      waC + vat
watercourse           waCaitig                      water + course                    waC + tig
waterfall             waCaizur                      water + fall                      waC + zur
waterproof            waCaigiks                     water + block                     waC + giks
watershed             waCaigaCailan                 water + gather + land             waC + gaC + lan
wavelength            wevaidar                      wave + length                     wev + dar
weaken                slokwamek                     weak + make                       slok + mek
weakness              -                             weak + ness                       slok + ?
wealth                ripainep                      rich + nature                     rip + nep
weary                 warwalak                      wear + like                       war + lak
weathering            geqaidotainadaiCebz           break + down + place + expose     geq + dot + nad + Cebz
weaver                worvaiyug                     weave + agent                     worv + yug
weber                 xendwayug                     web + agent                       xend + yug
wedding               blojwayez                     wed + act                         bloj + yez
weevil                -                             grain + beetle                    letx + ?
weight                Cendaiyaj                     weigh + measure                   Cend + yaj
were                  -                             grammar                           ?
werewolf              dramaiwolfaixun               human + wolf + change             dram + wolf + xun
westward              -                             west + oriented                   web + ?
wetland               gegzailan                     wet + land                        gegz + lan
whinny                horsaikar                     horse + call                      hors + kar
whiny                 kluzwalak                     whine + like                      kluz + lak
whiten                wipwamek                      white + make                      wip + mek
whom                  -                             grammar                           ?
whose                 -                             grammar                           ?
widen                 bondwamek                     wide + make                       bond + mek
widow                 tisaimentainom                dead + mate + woman               tis + ment + nom
width                 bondaiyaj                     wide + measure                    bond + yaj
wife                  blojaifim                     wed + female                      bloj + fim
wilderness            waldailan                     wild + land                       wald + lan
wildfire              waldaifor                     wild + fire                       wald + for
willow                yotxaidip                     weep + tree                       yotx + dip
wisdom                daldwadom                     wise + state                      dald + dom
witchcraft            dorgaiyabz                    witch + craft                     dorg + yabz
withdraw              bopaigisp                     with + draw                       bop + gisp
withhold              bopaihoq                      with + hold                       bop + hoq
withstand             zofaizes                      against + stand                   zof + zes
witty                 yitswalak                     wit + like                        yits + lak
wombat                -                             dig + pouch + animal              narz + ? + zul
woodpecker            vriCaiglexaibax               wood + peck + bird                vriC + glex + bax
worker                warkwayug                     work + agent                      wark + yug
workplace             warkainad                     work + place                      wark + nad
workshop              warkaimubz                    work + shop                       wark + mubz
wormwood              vumpairorb                    bitter + herb                     vump + rorb
worse                 -                             grammar                           ?
worsen                -                             worse + make                      ? + mek
worst                 -                             grammar                           ?
worst case            -                             worst + possible + outcome        ? + yen + wutx
