term,occurrences,forms
carbine,7,6
labeates,7,5
chalcedon,7,4
larch,7,4
drachm,7,5
maronean,7,5
reek,7,4
digestive,7,4
aita,7,5
corollary,7,4
swum,7,5
propitiation,7,4
imploring,7,4
plutus,7,4
reformer,7,5
elaborately,7,5
ireland,7,5
jehoahaz,7,6
turquoise,7,6
contrivance,7,4
lyric poems,7,5
ooze,7,5
beekeeper,7,5
meteorological,7,4
yellow monkshood,7,5
rejoicing,7,5
parasang,7,5
perception,7,5
pydna,7,5
volcae,7,5
perceptions,7,6
saxony,7,6
scarphe,7,4
half-ox,7,5
quinquereme,7,6
pleasantly,7,5
suebe,7,5
vermina,7,5
infallible,7,7
corioli,7,7
cornelian,7,7
rarefaction,7,7
acidothermic,6,1
locoweed,6,1
humanoid,6,1
antiochene,6,1
atrophy,6,1
cutting,6,1
clogs,6,1
priestly,6,1
commercial,6,1
comparative,6,1
multitude,6,1
garland seller,6,1
cromnus,6,1
fleawort,6,1
decury,6,1
acilisene,6,1
incision,6,1
thessaliotis,6,1
executing,6,1
terrestrial,6,1
festal,6,1
well-built,6,1
camunni,6,1
evippus,6,1
educe,6,1
exhibited,6,1
drawn,6,1
fetial,6,1
gonoessa,6,1
hebrew,6,1
herbivorous,6,1
hesiod,6,1
charioteer,6,1
honorary,6,1
ineffectual,6,1
inciter,6,1
isotope,6,1
wherever,6,1
woodcutter,6,1
harbour-watcher,6,1
mammary,6,1
matrimonial,6,1
maternal aunt,6,1
mars,6,1
megabyzus,6,1
afraid,6,1
munychia,6,1
nocturnal,6,1
oviparous,6,1
recurring,6,1
pantomimist,6,1
phalerum,6,1
rammer,6,1
pursuer,6,1
perseid,6,1
persepolis,6,1
philammon,6,1
picene,6,1
sigmatism,6,1
rostrum,6,1
recreated,6,1
princess,6,1
salaminia,6,1
seminarian,6,1
buriable,6,1
terrible,6,1
spignel,6,1
starry,6,1
beccafico,6,1
titus tatius,6,1
thebaid,6,1
burglar,6,1
transpadane,6,1
cricket,6,1
tortrix,6,1
volux,6,1
genital,6,2
aesthetic,6,2
reverie,6,2
amestris,6,2
liberator,6,2
basket,6,2
saronic islands,6,2
cimbri,6,2
sirach,6,2
daedalus,6,2
plunder,6,2
tamer,6,2
catapult,6,2
euphratean,6,2
awakened,6,2
festive,6,2
don,6,2
inciter,6,2
unapproachable,6,2
thoughtless,6,2
inventress,6,2
judicial,6,2
robe,6,2
dairy product,6,2
goddess,6,2
linen-clad,6,2
magnate,6,2
medical,6,2
urinating,6,2
lanolin,6,2
pachon,6,2
parmenides,6,2
pamisus,6,2
infantry,6,2
philodemus,6,2
stray toward,6,2
ponderous,6,2
detergent,6,2
sagartii,6,2
sculptor,6,2
safety,6,2
august,6,2
coax,6,2
strumpet,6,2
precinct,6,2
amulius,6,2
ashamed,6,3
snow-capped,6,3
forerunner,6,2
boot,6,3
probative,6,3
arcadius,6,3
asopius,6,2
balsam,6,3
bethulia,6,2
syllable,6,3
locust,6,2
fig,6,2
cloacina,6,3
serpent-bearing,6,3
countess,6,2
applauded,6,2
instigator,6,3
shaken,6,2
adjunct duke,6,2
cosmogony,6,2
chariot,6,2
thicket,6,2
mutilation,6,3
definitive,6,2
lowering,6,2
dubitative,6,2
misgiving,6,2
ephraim,6,3
epicharmus,6,2
scantiness,6,3
extensive,6,3
exiled,6,2
wheaten,6,2
hearth,6,2
gabinius,6,2
gilgamesh,6,2
artichoke,6,2
pollarded,6,2
carthaginian name,6,3
honorific,6,2
highest,6,3
iapygia,6,2
icarian,6,2
savage,6,2
remark,6,2
frolicking,6,3
awakening,6,3
tyre,6,2
accolade,6,3
myrcinus,6,2
abscess,6,3
oceanid,6,2
lyre,6,2
hypothetical,6,2
orontes,6,2
fed,6,2
penitent,6,3
panaetius,6,2
sung,6,2
patreus,6,2
pleasant,6,3
adulterer,6,2
audacity,6,3
beautiful little,6,2
mamercus,6,2
mason,6,2
sabazios,6,2
burial,6,3
sesquialter,6,2
sift,6,2
sicilicus,6,3
sedated,6,2
hasten,6,2
stesichorus,6,2
recline,6,2
consulting,6,2
talthybius,6,2
tardiness,6,2
chickling vetch,6,2
maid,6,2
colic,6,3
transcribed,6,3
uproar,6,3
eleventh,6,3
utopia,6,2
resort,6,2
adze,6,2
forbidden,6,3
academe,6,4
amnion,6,3
amnisus,6,3
steel,6,3
noncausal,6,4
inscription,6,2
anatomist,6,2
cohen,6,4
africa,6,3
apollo,6,3
astatine,6,4
augury,6,4
bath,6,4
drunkard,6,3
early afternoon,6,3
warm bath,6,3
pricket,6,3
percolating from,6,4
jar,6,4
narrate,6,4
committed,6,3
corduene,6,2
agron,6,2
collectively,6,2
december,6,2
despised,6,2
intoxicate,6,4
electryon,6,3
incision,6,4
shall lie,6,2
galicia,6,3
poultry,6,3
stirrer,6,4
glueboiler,6,3
incline,6,3
peculiar,6,2
crop,6,4
inheritance,6,3
irregularity,6,3
garonne,6,4
lioness,6,4
lemovices,6,4
wolf-hunter,6,4
lyric,6,4
magnesian,6,3
mausolus,6,3
inaccessible,6,4
steel,6,4
commerce,6,3
acrisius,6,4
calfskin,6,3
proteus,6,3
nabla player,6,2
brighten,6,3
socius,6,3
oily,6,3
musician,6,3
ormenium,6,2
pastille,6,3
gibbet,6,3
accomplished,6,2
pelusium,6,2
assertor,6,4
lambskin caps,6,4
perez,6,4
hasten,6,4
businesslike,6,2
proculeius,6,3
administration,6,3
bringing forth,6,4
carbuncled,6,4
tetragonal,6,3
governess,6,3
sicel,6,3
sikinos,6,4
thicken,6,4
frigidarium,6,4
mummy,6,4
tébessa,6,2
tricasses,6,3
angrivarii,6,3
udder,6,3
vascular,6,3
sarnus,6,4
vitriol,6,4
eaten,6,3
hospitable,6,3
trial,6,3
adrastus,6,5
summer resort,6,3
african,6,4
aryballos,6,5
sicania,6,4
astragalar,6,3
rue,6,4
zenith,6,4
cholera,6,5
cimbrian,6,3
unpunished,6,4
deuce,6,3
recitation,6,4
corinth,6,4
villa,6,4
cortical,6,5
mighty,6,4
doum,6,5
bean-made,6,5
arboreal,6,3
ascra,6,4
three-asses coin,6,4
venetia,6,4
sifnos,6,5
european,6,4
manlius,6,3
finnish,6,5
evasive,6,4
halys,6,3
edonis,6,5
germanic tribe,6,4
idalium,6,4
incineration,6,4
boucher,6,5
receptive,6,5
manchester,6,5
yogurt,6,4
memento,6,5
corbel,6,5
allowance,6,4
hardening,6,4
percolation,6,5
equally,6,3
numerous,6,5
appending,6,4
foal,6,5
embassy,6,3
to propagate,6,4
utterance,6,4
prothous,6,4
salmoneus,6,3
pterygoid,6,5
verulae,6,5
filth,6,4
oesophagus,6,5
squill,6,5
knossos,6,5
judah,6,5
ferrous,6,5
concurrent,6,4
emerald,6,3
basket,6,4
rapist,6,4
suffrage,6,5
taurini,6,4
darken,6,5
olive mill,6,4
third-priced,6,5
willow copse,6,3
amoeba,6,6
you went,6,6
siris,6,6
fāta,6,6
youth,6,6
myrtle,6,6
faliscan,6,6
abeona,5,1
abranchiates,5,1
achillas,5,1
agrigentum,5,1
ain,5,1
secretary,5,1
mica,5,1
convolution,5,1
double sarcophagus,5,1
anxiety,5,1
apologetic,5,1
architectress,5,1
ariarathes,5,1
aristogeiton,5,1
assaracus,5,1
hoot,5,1
most chastely,5,1
copper-miner,5,1
flute player,5,1
wild fennel,5,1
drinking companion,5,1
consolable,5,1
abrade,5,1
credible,5,1
rabbit-abounding,5,1
retiring magistrate,5,1
cold decoction,5,1
democratic,5,1
intercessor,5,1
desirable,5,1
beryl-like stone,5,1
dodecahedron,5,1
queen,5,1
donets,5,1
effective,5,1
correctress,5,1
enclitic,5,1
copais,5,1
minucius,5,1
well-benched,5,1
conqueror,5,1
exude,5,1
prolific,5,1
fratricide,5,1
expeller,5,1
slinger,5,1
darken,5,1
uncinate,5,1
garsaura,5,1
hinnom,5,1
glycerine,5,1
mercury,5,1
heroic,5,1
heroine,5,1
hermit,5,1
supplication,5,1
jugurtha,5,1
road-watcher,5,1
vainglorious,5,1
illegal,5,1
unappeasable,5,1
inextricable,5,1
persecutor,5,1
inseparable,5,1
intangible,5,1
intolerable,5,1
youth,5,1
liège,5,1
warrior,5,1
redemption,5,1
remy,5,1
wrongdoer,5,1
prophetic gift,5,1
martian,5,1
genitals,5,1
begging,5,1
pursue,5,1
distorted,5,1
mucian,5,1
upward,5,1
day blindness,5,1
opobalsam,5,1
mountain-bred,5,1
ovinian,5,1
-cratic,5,1
exhortation,5,1
derivative,5,1
pathetic,5,1
somewhat transparent,5,1
perplexing,5,1
barbarism,5,1
faunus,5,1
phlegmy,5,1
fisherwoman,5,1
warrior,5,1
doorkeeper,5,1
forewarned,5,1
preconceal,5,1
warrior,5,1
great-granddaughter,5,1
entrails,5,1
protea-staining,5,1
amyclae,5,1
recollected,5,1
quarrelled,5,1
willow,5,1
seventy,5,1
smintheus,5,1
soviet,5,1
spectator,5,1
sphinx,5,1
variegated tunic,5,1
icicle,5,1
pivot,5,1
submembranaceous,5,1
coction,5,1
dendera,5,1
terentian,5,1
magician,5,1
theorem,5,1
rhetorician,5,1
triballian,5,1
trojan,5,1
callus,5,1
ravaged,5,1
vespasian,5,1
vicarial,5,1
violator,5,1
certain anoles,5,1
yoke-band,5,1
zygomatic,5,1
abrocomas,5,2
acanthus,5,2
performance,5,2
marble-ended,5,2
gluttonous,5,2
skilfully,5,2
baptism,5,2
spectator,5,2
aphrodisiac,5,2
apuleian,5,2
forehead,5,2
dusares,5,2
abnet,5,2
curio,5,2
malachite,5,2
circus,5,2
recognizable,5,2
compelled,5,2
excavate,5,2
strengthened,5,2
pavia,5,2
depositing,5,2
anorectic,5,2
eczema,5,2
projectile,5,2
hired killer,5,2
gotland,5,2
marsh mallow,5,2
martial,5,2
infamous,5,2
fig orchard,5,2
unsuitable,5,2
inclement,5,2
italus,5,2
latin,5,2
litter,5,2
leucadian,5,2
marble,5,2
maldives,5,2
chrysolite,5,2
pollution,5,2
lad,5,2
ail,5,2
obesity,5,2
purple-coloured,5,2
straggling,5,2
visible,5,2
panticapaeum,5,2
deucalion,5,2
coax,5,2
mount parnassus,5,2
balaton,5,2
lexicon,5,2
explanation,5,2
dung,5,2
sent,5,2
disgraceful,5,2
overseer,5,2
blondness,5,2
stammeringly,5,2
ptolemaic,5,2
ashamed,5,2
lynx,5,2
sceptre-bearer,5,2
seventh,5,2
sixth,5,2
sele,5,2
simplicity,5,2
styloid,5,2
tentative,5,2
given,5,2
triumviral,5,2
turduli,5,2
wailing,5,2
tetter,5,2
filthy rich,5,2
academus,5,3
maple-flowered,5,3
alatri,5,2
garlic dish,5,2
anchorite,5,2
anartes,5,3
predawn,5,2
insatiable,5,2
petelia,5,2
azerbaijan,5,2
pluck out,5,2
bathman,5,2
bath,5,3
chieftain,5,3
beadle,5,3
luna,5,3
broad-leaved anemone,5,2
bunting,5,3
caduceus,5,3
cartilaginous,5,2
enchant,5,2
terrestrial,5,2
nag,5,3
gold-embroidered,5,2
condominium,5,2
acknowledged,5,2
conspired,5,3
tractive,5,3
crammed,5,2
embodied,5,2
poet,5,2
accusatory,5,2
chariot,5,2
dionysus,5,3
peltae,5,3
director,5,3
cusae,5,3
divert,5,2
having fabricated,5,3
endius,5,3
eruption,5,2
beautiful-eyed,5,2
rubbish,5,3
begun,5,2
femto-,5,2
hesiod,5,2
undulate,5,2
timid,5,2
gruel,5,2
hebron,5,3
herculaneum,5,2
companionable,5,2
hippodrome,5,2
influx,5,3
immensity,5,2
unpeaceable,5,2
inconstancy,5,3
uncared-for,5,2
weaken,5,2
threatened,5,2
insincere,5,2
pinara,5,2
wretched,5,2
youth,5,2
naumachia,5,3
transposition,5,2
threatening,5,2
practise,5,2
laurel,5,3
nabataean,5,3
swimmer,5,2
squall,5,3
solitary,5,3
pharsalia,5,2
cremona,5,2
assay,5,2
olfactory,5,3
chalice,5,2
parmenion,5,2
lousy,5,2
thigrus,5,2
interrogate,5,2
dangerously,5,3
quirites,5,2
belch,5,2
piraeus,5,2
wooden box,5,2
made,5,2
foreboding,5,3
defered,5,2
slid,5,2
pretext,5,2
elm,5,3
tether,5,2
reversed,5,2
sabratha,5,2
satrapy,5,2
stoniness,5,2
vistuli,5,3
half-demolished,5,2
thicket,5,2
serous,5,3
sappy,5,3
winch,5,3
funeralize,5,2
dorian,5,3
ember,5,2
torquatus,5,3
radiance,5,2
tribunitial,5,2
thirtieth,5,2
walrus,5,3
trophy,5,3
tusculum,5,3
urethra,5,3
urinary,5,2
vascular,5,2
vejovis,5,2
virgil,5,3
wether,5,3
forbidden,5,2
absolver,5,3
spent,5,3
mandrake,5,3
acromion,5,3
aeronautic,5,3
koure,5,3
pleasantness,5,4
androtion,5,3
tampon,5,3
inclination,5,3
plough,5,3
arsaces,5,4
arverni,5,4
bearing berries,5,3
fed,5,3
bartholomew,5,3
bellovaci,5,4
certonium,5,3
presiding,5,3
brahmin,5,4
bromine,5,3
tacina,5,3
arise,5,4
mason,5,3
buggeree,5,3
plum,5,3
beautifier,5,3
carrier,5,3
repeatedly,5,4
tyrant,5,4
glutton,5,4
tenth,5,4
geneva,5,3
chariot,5,4
sorceress,5,3
counselor,5,4
terribly,5,3
elizabeth,5,4
erineus,5,4
maid,5,4
flevo,5,3
crop,5,3
executed,5,4
giga,5,4
devastate,5,4
wretched,5,4
golgi,5,3
gratuitous,5,3
horse-taming,5,3
golden,5,4
vacancy,5,3
expectation,5,4
inflicted,5,3
jehoiakim,5,4
jonathan,5,3
gullet,5,4
to illuminate,5,4
lyrist,5,4
bath pourer,5,4
dilute,5,3
cyathus,5,4
fig,5,3
transverse,5,4
charlatan,5,3
narcissus,5,4
recounted,5,4
naucratis,5,3
oenus,5,3
enyo,5,3
captive,5,4
busy,5,3
hebrides,5,4
dildo,5,3
stridon,5,3
pactye,5,3
slat,5,4
besprinkle,5,3
knavery,5,4
rue,5,3
pelorus,5,4
frightened,5,3
cuttings,5,3
beijing,5,4
zetterstedt,5,3
pherae,5,3
colostrum,5,3
remembrance,5,3
altar frontal,5,4
shingle,5,4
headlong fall,5,4
serbia,5,3
sidon,5,3
surmount,5,4
fetter,5,4
zephyrium,5,4
decelus,5,5
agrinio,5,5
tackle,5,5
sixty years,5,5
scythian tribe,5,5
guianan,5,5
kamarina,5,5
chaeronea,5,5
critias,5,5
israel,5,5
mockery,5,5
lusitania,5,5
chaff-fed,5,5
alsa,5,5
tirino,5,5
bilateral,5,5
jar,4,1
recline,4,1
addax,4,1
turquoise,4,1
affectionate,4,1
alalia,4,1
amphora,4,1
gladiolus,4,1
anadromous,4,1
anaxarete,4,1
preceded,4,1
bailing,4,1
desperation,4,1
apostrophe,4,1
argonautic,4,1
satrap,4,1
asiarch,4,1
liberated,4,1
astronomer,4,1
atropatian,4,1
americium,4,1
calamity-averter,4,1
stammer,4,1
bebryx,4,1
benevolent,4,1
cloak,4,1
bolissus,4,1
callian,4,1
camomile,4,1
carthaginian,4,1
fruit-watcher,4,1
kastoria,4,1
supine vervain,4,1
canaanite,4,1
bagras,4,1
golden-frontleted,4,1
sacrificial axe,4,1
allis shad,4,1
clytemnestra,4,1
coequal,4,1
fustic,4,1
commission,4,1
communal,4,1
consecrated,4,1
companion,4,1
despiser,4,1
rafters,4,1
dragging,4,1
coronta,4,1
ctesiphon,4,1
conqueror,4,1
bankrupt,4,1
banquet,4,1
demagogue,4,1
semi-regular,4,1
rave,4,1
stay,4,1
incompatible,4,1
edessene,4,1
elephantiasis,4,1
demoniac,4,1
epimenides,4,1
bishopric,4,1
wild fig,4,1
erymanthos,4,1
euphrateans,4,1
euripides,4,1
southeastern wind,4,1
eurymedon,4,1
unallotted,4,1
supremacy,4,1
deception,4,1
pustule,4,1
fructiferous,4,1
hecateian,4,1
scarab,4,1
heniochi,4,1
dock-sorrel,4,1
intolerable,4,1
thoughtless,4,1
infamy,4,1
dishonoured,4,1
imperceptible,4,1
engraved,4,1
isocrates,4,1
georgian,4,1
thickening,4,1
wantonness,4,1
splendour,4,1
centaury,4,1
maccabee,4,1
purse,4,1
mantinea,4,1
aorta,4,1
meditrina,4,1
menedemus,4,1
meninges,4,1
methymna,4,1
metropolis,4,1
mellow,4,1
variously,4,1
javelin,4,1
blacken,4,1
odyssey,4,1
ladle,4,1
pacifier,4,1
palmar,4,1
pruned,4,1
pancreas,4,1
pancreas,4,1
paternoster,4,1
pathological,4,1
sinner,4,1
nocturnal,4,1
phalaecean,4,1
uxorious,4,1
argoan,4,1
politics,4,1
pompous,4,1
lavish,4,1
grandson-in-law,4,1
published,4,1
ploughed,4,1
acquiesce,4,1
verulan,4,1
purgative,4,1
tower-guard,4,1
5-oared,4,1
quirinal,4,1
reassailable,4,1
timidity,4,1
staff-bearer,4,1
rhexenor,4,1
ruminating,4,1
saviouress,4,1
holm-oak,4,1
sodiro,4,1
solvable,4,1
bergule,4,1
pedestal,4,1
stromboli,4,1
flute player,4,1
synesius,4,1
synoptic,4,1
tartarus,4,1
proof,4,1
darken,4,1
theophilus,4,1
linden wood,4,1
tolmides,4,1
governor,4,1
casualty,4,1
dais,4,1
tyndareus,4,1
goddesses,4,1
animation,4,1
truth,4,1
gaulish name,4,1
quickening god,4,1
sabine name,4,1
yankee,4,1
zakynthian,4,1
mislead,4,2
impassable,4,2
injustice,4,2
adoptive,4,2
anatomy,4,2
antiphon,4,2
apoplectic,4,2
aquilian,4,2
arab,4,2
archimandrite,4,2
ram-related,4,2
inconsiderate,4,2
unskilled,4,2
fugitive,4,2
emperor,4,2
sounding twice,4,2
terrestrial scorpion,4,2
camus,4,2
enslavement,4,2
carthage,4,2
celaenae,4,2
carrion,4,2
counterweight,4,2
gum succory,4,2
christian,4,2
effused,4,2
trivet,4,2
cineas,4,2
co-created,4,2
conveyor,4,2
strengthening,4,2
creator,4,2
criminal,4,2
cyaxares,4,2
chief magistrate,4,2
defamed,4,2
beloved,4,2
dramatic,4,2
renew,4,2
chieftainess,4,2
ecbatana,4,2
chosen,4,2
thymena,4,2
upper garment,4,2
lying,4,2
golgotha,4,2
suppliant,4,2
astrologer,4,2
hydrophobic,4,2
fish-eaten,4,2
tangible,4,2
begun,4,2
stationary,4,2
unavoidable,4,2
inequality,4,2
lurking,4,2
lurk,4,2
perch,4,2
instigation,4,2
ismenus,4,2
wryneck,4,2
jovian,4,2
amaseia,4,2
fluorine,4,2
leveret,4,2
lydias,4,2
balcony,4,2
unguent,4,2
thousandth,4,2
meshach,4,2
mingle,4,2
momentary,4,2
adorn,4,2
neptunium,4,2
bactra,4,2
palaestral,4,2
palmyrene,4,2
to pave,4,2
platanistas,4,2
thrown,4,2
pursued,4,2
scab,4,2
ambitious,4,2
linden,4,2
fiery,4,2
phoenicus,4,2
besiege,4,2
abductor,4,2
propelled,4,2
acherontic,4,2
baebius,4,2
tufted,4,2
puteoli,4,2
pyrilampes,4,2
destruction,4,2
shrewsbury,4,2
sardanapalus,4,2
actress,4,2
scepter-bearing,4,2
seattle,4,2
selge,4,2
half-alive,4,2
sensory,4,2
septimius,4,2
rumour,4,2
emerald,4,2
soporific,4,2
fly upwards,4,2
kindled,4,2
tammaro,4,2
mongol,4,2
tolerable,4,2
peridot,4,2
fling,4,2
ulna,4,2
cape,4,2
venetic,4,2
murzin,4,2
surgical knife,4,2
cabinet,4,2
denier,4,3
perishing,4,2
aerial,4,3
vetchy,4,3
truthful,4,3
alluvial,4,3
travelled,4,2
anauros,4,3
moderate-sized,4,2
magistrate,4,2
cairn,4,2
unsuccessful,4,2
ploughing,4,2
pouch,4,3
asinian,4,3
triduum,4,3
immortal,4,3
faintheartedness,4,3
gnomon,4,3
baryon,4,3
papyrus strip,4,3
biliferous,4,2
bigamist,4,3
blaundus,4,3
bogner,4,3
to ponder,4,3
deception,4,3
carcinoma,4,3
tullius,4,2
boundaries,4,3
crag,4,2
myrlea,4,3
cuff,4,3
bottle gourd,4,3
remembrance,4,3
comrade,4,3
afflicted,4,2
perturbed,4,2
connector,4,3
saffron,4,3
creator,4,2
odious,4,2
cymbal player,4,2
eyesalve,4,3
daesius,4,3
levite,4,3
deltidium [≤1836],4,3
triangular,4,3
censure,4,3
threatening,4,3
depilate,4,3
caught,4,3
spanning,4,3
debatable,4,2
pict,4,3
eject,4,3
epaminondas,4,3
diary,4,3
epopt,4,2
crag,4,3
lunch-guest,4,2
tunny,4,3
exasperation,4,3
tormented,4,3
egress,4,2
awoken,4,2
expiated,4,3
fermium,4,3
arretium,4,3
groan,4,3
gladiatorial,4,3
fosi,4,3
glaucia,4,3
grynium,4,2
levite,4,2
hadrumetum,4,2
stammering,4,3
chastity,4,3
helen,4,3
daily,4,2
iberian,4,3
necklace,4,2
bristling,4,3
lemnos,4,3
mead,4,2
was raining,4,3
synovial fluid,4,2
attic,4,2
illyrian,4,2
tameable,4,3
inhospitable,4,3
unburied,4,2
understood,4,3
interrogatory,4,3
breadbasket,4,3
prusias,4,3
water serpent,4,3
stremma,4,2
stone quarries,4,3
lebadea,4,2
seizure,4,2
quarrel,4,3
rump,4,2
lydia,4,2
luminary,4,3
lupercal,4,2
lyceum,4,2
ewer,4,3
medical,4,3
sarta,4,3
be angry,4,3
misanthropic,4,2
lament,4,2
misenum,4,3
monetary,4,2
sailor,4,3
bizye,4,3
petty,4,3
sciathos,4,2
algesic,4,3
trifled,4,2
oarus,4,2
en route,4,3
pint,4,3
orphic,4,2
ossonoba,4,2
tail-devouring,4,3
peony,4,3
regulator,4,3
division,4,2
paternal,4,2
enteleia,4,3
peloria,4,2
provisions-carrier,4,3
embittered,4,3
alcmene,4,3
perseverance,4,2
petreian,4,3
phaesana,4,3
philadelphia,4,2
philtre,4,2
phinean,4,3
bloodletting,4,2
phlegmon,4,2
pittacus,4,2
porsena,4,2
avenger,4,2
ravaging,4,2
principes,4,2
promiscuously,4,3
proschium,4,3
arising,4,2
myrobalan,4,3
persian,4,3
fourth,4,3
plaintively,4,3
fifty,4,2
rietine,4,2
relics,4,2
hindering,4,3
sabbath,4,2
salonius,4,3
sanctification,4,2
crutch,4,2
knee splints,4,3
sindi,4,3
bream,4,3
probe,4,3
bedstead,4,3
strontium,4,3
syenean,4,3
rennet,4,2
monastic,4,3
therapne,4,2
mortal,4,2
slayer,4,3
tisza,4,3
titian,4,3
scorch,4,3
triforium,4,2
triumvir,4,2
slaughter,4,3
scorch,4,3
volscianly,4,2
torch,4,3
abydos,4,4
adore,4,4
azali,4,4
nutty,4,4
driven,4,4
purchasable,4,4
orchard,4,4
augur,4,4
matian,4,4
bottike,4,4
beech,4,4
two hundred,4,4
ionian,4,4
oaken,4,4
scullion,4,4
calabria,4,4
plunder,4,4
munus,4,4
darken,4,4
laudanum,4,4
internode,4,4
scrofula,4,4
percolate,4,4
abiding,4,4
having deprecated,3,1
premature,3,1
thoughtlessness,3,1
misused,3,1
acarnanian,3,1
accusatrix,3,1
coleoidea,3,1
acoels,3,1
attic,3,1
widened,3,1
addition,3,1
prince,3,1
adulis,3,1
captive,3,1
sacristan,3,1
equinox,3,1
squatter,3,1
gum ammoniac,3,1
hermitic,3,1
anacoluthon,3,1
subservient,3,1
anorexia,3,1
apamena,3,1
unreasonably,3,1
be perplexed,3,1
standard-bearer,3,1
cobwebbed,3,1
gecko,3,1
profligacy,3,1
asystole,3,1
astronomical,3,1
astyra,3,1
attest,3,1
aufidian,3,1
have jaundice,3,1
jaundice,3,1
self-chosen,3,1
recite,3,1
balas-ruby,3,1
baal aspect,3,1
arvernian prince,3,1
voconius,3,1
farting,3,1
breuci,3,1
levanzo,3,1
oxeye,3,1
crook,3,1
female calcātor,3,1
threaten,3,1
calpurnian,3,1
propel,3,1
candlestick maker,3,1
canuleian,3,1
legacy huntress,3,1
chestnut tree,3,1
descent,3,1
catapult,3,1
hundred-handed,3,1
sard,3,1
archivist,3,1
german tribe,3,1
integrity,3,1
circumpolar,3,1
clysma,3,1
dahae,3,1
communist,3,1
permutable,3,1
protectress,3,1
embody,3,1
seductress,3,1
crossaea,3,1
cynossema,3,1
kythnos,3,1
dalmatae,3,1
usurer,3,1
spurge-laurel,3,1
caucasus,3,1
tithe collector,3,1
decuriate,3,1
dicaea,3,1
boxwood grove,3,1
mistress,3,1
diospolis,3,1
inconsistent,3,1
dodrantine,3,1
pajamas,3,1
confectionery,3,1
dysprosium,3,1
echeclus,3,1
eject,3,1
selector,3,1
elementary,3,1
elephenor,3,1
elysian,3,1
croak,3,1
denervate,3,1
pheneus,3,1
stopped,3,1
assisting,3,1
epileptic,3,1
epithalamium,3,1
groom,3,1
cavalry,3,1
eratosthenes,3,1
belch,3,1
sieve-like,3,1
chaleion,3,1
encircled,3,1
excusable,3,1
to exhort,3,1
plundered,3,1
pursuing,3,1
surpass,3,1
falcidian,3,1
ferentinum,3,1
figwood,3,1
foment,3,1
penetrable,3,1
slave-catcher,3,1
gadara,3,1
garamantes,3,1
gaugamela,3,1
geryon,3,1
leek,3,1
female jackdaw,3,1
grammar teacher,3,1
gymnosophist,3,1
creel,3,1
halicarnassus,3,1
hecatean,3,1
squandering,3,1
plaything,3,1
hernician,3,1
courtesan,3,1
propitious,3,1
alexanders,3,1
hairiness,3,1
hostilian,3,1
hyblaean,3,1
dermal,3,1
terebinth,3,1
high-built,3,1
icilian,3,1
singe,3,1
colic,3,1
to ensnare,3,1
merciless,3,1
unsatisfied,3,1
inanimate,3,1
unknown,3,1
precentor,3,1
inclined,3,1
immiscible,3,1
unconfused,3,1
recline,3,1
indissoluble,3,1
indescribable,3,1
unknotable,3,1
unlamented,3,1
dishonoured,3,1
unknowing,3,1
incited,3,1
slayer,3,1
regent,3,1
investigator,3,1
joseph,3,1
ungovernable,3,1
issachar,3,1
facility,3,1
torch holder,3,1
laurel lord,3,1
embassy,3,1
lernean,3,1
drowsiness,3,1
miserable,3,1
frankincense,3,1
litharge,3,1
priest,3,1
asyut,3,1
marcus,3,1
gadget,3,1
machlyes,3,1
knead,3,1
maroboduus,3,1
mazaca,3,1
melchizedek,3,1
apiary,3,1
melfa,3,1
valiant,3,1
pittance,3,1
reapable,3,1
upper back,3,1
methodical,3,1
sunned,3,1
peck-related,3,1
one-legged,3,1
mousa,3,1
gynophilic,3,1
multitude,3,1
mythological,3,1
youth,3,1
necropolis,3,1
hypocaust,3,1
nervia,3,1
nakedness,3,1
obedient,3,1
sewn on,3,1
detraction,3,1
satrap,3,1
zeus,3,1
recurved,3,1
strew,3,1
pantheon,3,1
paragraph,3,1
isometry,3,1
paralatae,3,1
paronym,3,1
pastoral,3,1
patriarchal,3,1
bristly,3,1
pedasa,3,1
devour,3,1
pervaded,3,1
phaethontean,3,1
canker,3,1
appearance,3,1
cargo,3,1
dilatory,3,1
pesaro,3,1
peisistratus,3,1
is sold,3,1
multilingual,3,1
ravaged,3,1
tollgatherer,3,1
privy,3,1
sever,3,1
proclamation,3,1
foreknown,3,1
praxiteles,3,1
broker,3,1
eve,3,1
first place,3,1
proconsular,3,1
forbidden,3,1
foreseen,3,1
retailer,3,1
application,3,1
fortification,3,1
erbessus,3,1
colocynth,3,1
angelica,3,1
pylorus,3,1
servant,3,1
receded,3,1
dissoluble,3,1
respondent,3,1
revocable,3,1
ragged,3,1
snoring,3,1
roentgenium,3,1
braying,3,1
ferula persica,3,1
female greeter,3,1
sanskrit,3,1
satyriasis,3,1
pebble,3,1
josephus,3,1
savo,3,1
scazon,3,1
consideration,3,1
sciron,3,1
cleaving,3,1
taunt,3,1
sowish,3,1
scrotal,3,1
scruple,3,1
skopje,3,1
stone chippings,3,1
sluggishness,3,1
narrow girdle,3,1
half-beast,3,1
half-pruned,3,1
sentient,3,1
translators,3,1
trustee,3,1
sarajevo,3,1
sestus,3,1
siceliot,3,1
milk thistle,3,1
fax machine,3,1
simply,3,1
solois,3,1
sparring match,3,1
sporadically,3,1
pistachio,3,1
