tune,english
viCuk,supplement
vidan,young
videt,information
vidoj,vegetate
vifar,viverridae
vigar,pace
vigat,dread
vigur,vigor
vilal,manifest
viloj,village
vilot,affilliate
vimol,transparent
vinot,vindicate
vipak,fact
viraC,wood
viram,overwhelm
virax,spider
vired,settle
virut,vertex
visap,vest (clothing)
visas,see
viset,visit
visor,vociferate
vitog,veto
vitut,wait
vived,vivid
vodak,vortex
voded,study or science of (-ology)
vogar,vulgar
vogon,vogue
volan,volcano
voliq,veil
volod,folder
voluz,violent
voraj,version
voram,insight
vorat,variety
voreb,ever
vorex,voracious
vorik,greet
vorin,varnish
vorol,virtual
voron,virtue
vorud,avoid
vorux,vowel o sound
vosus,flex
votat,body
votez,advertise
votud,void
votux,entity
vozut,v sound
vulaC,misery
vulat,volt
vulax,vulture
vuleb,available
vulol,mingle
vulop,fox
vunat,advantage
vurag,10^18
vural,verbal
vuran,sore
vuref,verify
vurek,bee
vurot,bracket
vutot,what
vuxim,genitals
wibar,weber (measurement)
wibat,web
wibol,wobble
wibum,womb
wiCal,withdraw
wiCan,shore
wicar,weather
wicat,withstand
wices,inverse
wicol,withhold
wiCor,wither
wiCul,bay
wiCun,whether
widag,wade
widal,tang
widan,wound
widec,width
widej,10^45
widem,wage
widor,weed
widot,want
widox,which
widul,waddle
widun,hypocrite
wifar,waver
wifen,iff
wifev,wave
wigar,revere
wigen,wag
wigog,kaleidoscope
wigol,stubborn
wigon,extraneous
wigos,wink
wiguq,staff
wijar,wager
wijez,wedge
wijut,widget
wijux,system
wikak,walk
wikal,wetland
wikan,wack
wikas,wax
wikem,wake
wikor,work out
wikox,extrovert
wikug,emanate
wilak,whirl
wilal,coat
wilan,wall
wilen,bring forth
wilez,waltz
wilob,buddy
wiloq,wallow
wilor,bewilder
wiluf,wolf
wilug,weigh
wilul,wow
wilun,willow
wimad,wonder
wimam,bounty
wimaq,wing
wimen,why
wimok,whine
wimol,whim
wimon,woo
wimum,swim
wimuq,um
wimur,whimper
winaf,wean
winak,wane
winal,stoop
winan,teen
wined,wind (coil)
winem,ween
wineq,intact
winom,well (good)
winoq,sedate
winor,win
winug,snail
winul,window
winun,dusk
wipal,trump
wipaz,wipe
wipem,warm
wipet,warp
wipor,cry
wipuk,weep
wipul,warble
wipus,whoops
wirac,worth
wirad,weird
wiraq,wary
wirar,wear
wirem,warm up
wireq,whir
wiret,wallet
wirex,worship
wirok,work
wirol,tender
wiron,warn
wiros,oak
wirov,weave
wirub,vowel large A sound
wirum,worm
wiruq,worry
wirur,forceful (like hard hit)
wirux,watt (measurement)
wisaf,depict
wisal,weasel
wisaz,problem
wisoc,whisk
wisor,whisker
wisot,waste
wisul,whistle
wisup,whisper
witad,white
witaj,watch
witam,lunch
witaq,warranty
witar,winter
witen,witty
witep,critical
witok,vapid
witol,whittle
witon,witness
witos,wince
witur,wad
witux,w sound
wivav,exist
wivec,waive
wixak,scarf
wixan,sardine
wixun,meek
wiyal,while
wiyan,wilt
wiyod,world
wiyoq,wail
wizam,sock (foot)
wizaq,disguise
wizez,fifteen
xabec,cling
xabet,rest
xabiz,assign
xadar,shed
xadat,or
xadeg,upgrade
xadiq,shoddy
xadol,anticipate
xadon,shadow
xadud,quiet
xadur,shudder
xadux,sag
xafas,fame
xafeq,counterpart
xafun,fix
xagin,shag
xagor,envoy
xagot,shrug
xakar,wheel
xakek,computation
xakez,restore
xakim,rehabilitate
xalam,lily
xalaq,jot
xalar,villain
xaleq,schläfli
xaliv,inspire
xalov,phase
xalum,welfare
xalut,mission
xamak,shim
xaman,shaman
xamip,shrimp (fish)
xamob,shamble
xanaq,hearty
xanut,ancient
xapar,shop
xapit,renovate
xapur,shepherd
xarak,society
xaraz,opposite (anti)
xarep,x sound
xarob,wine
xarom,10^21
xasaq,twiddle
xasol,kid
xasur,ask out
xatis,shroud
xator,shutter
xavol,shovel
xavov,flash
xefiz,shave
xekan,shake
xelag,schlegel
xelan,shale
xelik,deem
xemiz,happy
xepas,dashing
xepul,shape
xeriq,shrink
xeroz,infest
xerut,cohesion (physics)
xetut,shout
xicam,sheath
xidan,urine
xided,grey
xideq,appropriate (behavior)
xifat,shift
xigad,chic
xigur,launch
xikal,consider
xikan,level
xikod,persevere
xilod,shield
xiluk,shriek
ximon,oil
ximur,shimmer
xinan,wit
xinap,sheen
xineq,shank/shin (leg)
xipor,improve
xirat,shred
xireq,shear
xisak,ask
xival,shrivel
xivuv,chip (like computing)
xixem,student
xixuk,sparse
xizut,schist
xodan,trim
xodik,pair
xofar,horn (instrument)
xofol,shuffle
xolak,show up
xolal,receipt
xolav,calculate
xolix,punctual
xolom,mushroom
xoloq,handmade
xolul,debilitate
xomep,champagne
xomum,now
xonal,drill (training)
xonip,shine
xoret,sure
xotix,shame
xotux,export
xoval,spade (shovel)
xoveq,shove
xoxun,sell
xubor,shatter
xubot,slump
xukit,salmon
xulof,extract
xuman,fat
xunar,shoe
xunit,shun
xupiq,horizontal
xusek,fling
xutet,shelter
xuxaq,hurt
yaban,strain (force)
yabeq,import
yaCam,kneel
yaCen,dwindle
yadaj,nocturnal
yadar,obsolete
yadit,night
yadum,noxious
yaduq,peruse
yaful,cope
yajiv,session
yakar,darling
yakat,infancy
yalik,amateur
yalin,stern
yalol,turquoise
yamik,vowel large I sound
yanaq,nutritious
yanat,unite
yanax,despair
yanof,owl
yanon,inundate
yanoz,severe
yanuq,application
yapic,yelp
yapid,destination
yaral,linger
yaran,y sound
yarek,thigh
yaren,yarn
yarev,opponent
yarid,yard (measurement)
yasad,founding
yasar,arrogant
yataz,represent
yator,hypotenuse
yatot,way
yaxat,sustain
yaxes,worthy
yaxev,sit
yocam,heap
yoCap,nag
yociq,youth
yodoq,sport
yokal,depend
yokan,yucca
yokoC,yank
yolal,treat (patient)
yolan,merit
yolid,native
yoliq,collar
yolix,tangible
yolor,superior
yolox,outstanding
yolul,hesitant
yonan,murky
yonik,unique
yonoq,wield
yonul,retain
yonun,perpetuate
yorin,warrant
yoron,yearn
yorum,uniform (consistent)
yosaf,increase
yosod,praise
yotur,chord
yotut,yet
yovak,consequence
yoval,uvula
yoxeq,doctor
yoxik,faintly
yoxin,ambition
yoxiv,inhabitant
yubig,ubiquitous
yudij,estimate
yudiq,schedule
yugan,even
yujal,usual
yukid,designate
yukol,euclidean
yuled,yield
yulip,appointment
yulol,pleasant
yuloz,utilize
yunaq,campaign
yunef,unify
yunek,smog
yunid,unit
yunix,maneuver
yurak,10^2
yuran,urinate
yuras,uranus
yurit,intercept
yusat,used to
yusop,usurp
yutiz,instinct
yuvev,view
yuxam,priority
yuxaq,bruise
yuzor,use up
zabet,exacerbate
zadij,acrobat
zagag,lousy
zagal,beard
zagan,scene
zakar,masculine
zakof,erect
zakur,scrounge
zakut,privilege
zalab,fermion
zalar,exhilarate
zalax,toe
zalip,funeral
zaliz,marsh (land)
zalut,grill
zamal,exemplary
zamin,examine
zamor,prune (fruit)
zamul,example
zanar,exonerate
zanek,abandon
zanen,delve
zanez,war
zanim,transpose
zanol,exhibit
zapam,fury
zapar,sprint
zapit,spry
zapol,sprawl
zarak,open
zaran,tragedy
zaren,alien
zarit,sow
zasar,exasperate
zasat,recognise
zatal,strut
zated,march (foot)
zatin,anxiety
zator,strand
zavit,angle
zaxam,slink
zazet,politics
zebip,graph
zedit,olive (color)
zedul,scramble
zekot,suspect
zelav,dissolve
zelik,hand
zelot,column
zemar,fright
zenix,authentic
zenot,monotone
zesit,resist
zesuk,zest
zetik,exotic
zetol,pucker
zetux,1000
zevak,sacrifice
zezam,flounder
zibar,zip
zidal,stance
zidej,direct (immediate)
zidul,sentience
zifat,tar
zigez,zigzag
zikap,affinity
ziket,syncopate
zikor,screech
zikox,philosophy
zikuk,flare
zilan,resilient
zilom,xylem
zimum,contraction
zinod,oscillate
zinuk,dash (spurt)
zipan,spinach
zipor,speed
ziram,movement (political/etc.)
zirar,pertaining to x (pleasantry)
zirat,factorial (math)
zisan,representative
zisom,pollute
zitar,sweater
zitat,medium
zivun,style
zixal,least
zizek,integrity
zizut,haste
zofen,cipher
zokak,where
zolit,solitary
zonak,crucial
zonal,weight
zonor,zone out
zoret,lizard
zorok,consume
zoron,ear
zotit,eavesdrop
zukit,secrete
zukok,try
zulaq,earn
zumom,plot
zunok,z sound
zupon,conceal
zuraz,catalyze
zurod,exit
zuzal,book
