char,english,pinyin,hsk,total,as_head,as_mark,role
庸,"usual, common, ordinary, mediocre",yōng,6,2,0,2,mark only
佳,"good, auspicious",jiā,6,2,0,2,mark only
涝,"inundate, flood",lào,7,2,0,2,mark only
峪,"valley, ravine",yù,,2,0,2,mark only
尤,"especially, particularly",yóu,4,2,0,2,mark only
霹,"thunder, crashing thunder",pī,,2,0,2,mark only
雳,"thunderclap, crashing thunder",lì,,2,0,2,mark only
漂,"float",piào,6,2,0,2,mark only
进,"advance, make progress, enter",jìn,1,2,0,2,mark only
们,"adjunct pronoun indicate plural",men,1,2,0,2,mark only
亿,"million",yì,2,2,0,2,mark only
畦,"sections in vegetable farm",qí,,2,0,2,mark only
邻,"neighbor",lín,3,2,0,2,mark only
仓,"granary",cāng,6,2,0,2,mark only
竿,"bamboo pole",gān,,2,0,2,mark only
士,"scholar, gentleman",shì,4,2,0,2,mark only
栽,"cultivate, plant",zāi,7,2,0,2,mark only
蒂,"peduncle or stem of plants",dì,6,2,0,2,mark only
坦,"flat, smooth",tǎn,5,2,0,2,mark only
闪,"flash",shǎn,4,2,0,2,mark only
凡,"all, any, every",fán,7,2,0,2,mark only
瘠,"thin, emaciated",jí,,2,0,2,mark only
师,"teacher, master, specialist",shī,1,2,0,2,mark only
宗,"lineage, ancestry",zōng,7,2,0,2,mark only
隙,"crack, split, fissure",xì,6,2,0,2,mark only
得,"obtain, get, gain, acquire",dé,2,2,0,2,mark only
疑,"doubt, question, suspect",yí,4,2,0,2,mark only
叙,"express, state, relate, narrate",xù,5,2,0,2,mark only
荥,"a county in Henan",xíng,,2,0,2,mark only
渡,"cross",dù,6,2,0,2,mark only
作,"work",zuò,6,2,0,2,mark only
涪,"river in Sichuan province",fú,,2,0,2,mark only
纵,"indulge in, give free reign to",zòng,6,2,0,2,mark only
浓,"thick, strong, concentrated",nóng,4,2,0,2,mark only
饶,"bountiful, abundant, plentiful",ráo,7,2,0,2,mark only
轿,"sedan-chair, palanquin",jiào,,2,0,2,mark only
琅,"a variety of white carnelian",láng,,2,0,2,mark only
琊,"a place in eastern Shandong",yá,,2,0,2,mark only
儒,"Confucian scholar",rú,6,2,0,2,mark only
拱,"fold hands on breast",gǒng,7,2,0,2,mark only
奋,"strive, exert effort",fèn,4,2,0,2,mark only
毅,"resolute, decisive, firm, persist",yì,6,2,0,2,mark only
酉,"a wine vessel",yǒu,,2,0,2,mark only
谊,"friendship",yì,4,2,0,2,mark only
菌,"mushroom",jūn,6,2,0,2,mark only
侯,"marquis, lord",hóu,,2,0,2,mark only
蛮,"barbarians",mán,7,2,0,2,mark only
辉,"brightness, luster, brilliance",huī,6,2,0,2,mark only
倍,"times, fold, multiple times",bèi,4,2,0,2,mark only
呼,"breathe sigh, exhale",hū,4,2,0,2,mark only
丑,"clown, comedian",chǒu,5,2,0,2,mark only
彦,"elegant, handsome",yàn,,2,0,2,mark only
伍,"five, company of five",wǔ,6,2,0,2,mark only
嵩,"high, lofty",sōng,,2,0,2,mark only
髭,"mustache",zī,,2,0,2,mark only
鞑,"Tatars",dá,,2,0,2,mark only
靼,"Tatars",dá,,2,0,2,mark only
刈,"cut off, reap, mow",yì,,2,0,2,mark only
渠,"canal",qú,6,2,0,2,mark only
杰,"hero",jié,6,2,0,2,mark only
厥,"personal pronoun he, she, it",jué,,2,0,2,mark only
黟,"black and shining",yī,,2,0,2,mark only
乃,"then",nǎi,7,2,0,2,mark only
栖,"perch",qī,,2,0,2,mark only
娄,"a constellation",lóu,,2,0,2,mark only
垩,"holy, sacred, sage",è,,2,0,2,mark only
钠,"sodium",nà,,2,0,2,mark only
慕,"long for, desire",mù,4,2,0,2,mark only
邦,"nation, country, state",bāng,,2,0,2,mark only
卿,"noble, high officer",qīng,,2,0,2,mark only
着,"make move, take action",zhe,1,2,0,2,mark only
赏,"reward, grant, bestow",shǎng,4,2,0,2,mark only
催,"press, urge",cuī,5,2,0,2,mark only
个,"numerary adjunct, piece",gè,1,2,0,2,mark only
旧,"old",jiù,3,2,0,2,mark only
扩,"expand, enlarge, stretch",kuò,7,2,0,2,mark only
汇,"a concourse",huì,4,2,0,2,mark only
犬,"dog",quǎn,6,2,0,2,mark only
虹,"rainbow; primary rainbow",hóng,5,2,0,2,mark only
滩,"bank, a sandbar, shoal",tān,5,2,0,2,mark only
退,"step back, retreat, withdraw",tuì,3,2,0,2,mark only
缢,"hang, strangle",yì,,2,0,2,mark only
宏,"wide, spacious, great, vast",hóng,6,2,0,2,mark only
汝,"you",rǔ,,2,0,2,mark only
谅,"excuse, forgive",liàng,4,2,0,2,mark only
济,"help, aid, relieve",jì,4,2,0,2,mark only
冀,"hope for",jì,,2,0,2,mark only
芷,"angelica",zhǐ,,2,0,2,mark only
魁,"chief",kuí,,2,0,2,mark only
麓,"foothill",lù,,2,0,2,mark only
智,"wisdom, knowledge, intelligence",zhì,5,2,0,2,mark only
称,"call",chēng,2,2,0,2,mark only
雍,"harmony, union",yōng,,2,0,2,mark only
綦,"dark grey. variegated. superlative",qí,,2,0,2,mark only
昴,"18th lunar mansion, determinative star 17 Tauri",mǎo,,2,0,2,mark only
淆,"confused, in disarray, mixed up",xiáo,6,2,0,2,mark only
豫,"relaxed, comfortable, at ease",yù,5,2,0,2,mark only
寻,"seek, search, look for",xún,7,2,0,2,mark only
忠,"loyalty, devotion, fidelity",zhōng,6,2,0,2,mark only
需,"need, require, must",xū,5,2,0,2,mark only
牟,"make",móu,,2,0,2,mark only
替,"change, replace, substitute for",tì,4,2,0,2,mark only
烂,"rotten",làn,5,2,0,2,mark only
邵,"various place names",shào,,2,0,2,mark only
恭,"respectful, polite, reverent",gōng,5,2,0,2,mark only
盛,"abundant, flourishing",shèng,6,2,0,2,mark only
际,"border, boundary, juncture",jì,4,2,0,2,mark only
婉,"amiable, congenial",wǎn,,2,0,2,mark only
纬,"woof",wěi,6,2,0,2,mark only
磨,"rub",mó,6,2,0,2,mark only
提,"hold in hand",tí,2,1,1,0,head only
坠,"fall down, drop, sink, go to ruin",zhuì,7,1,1,0,head only
均,"equal, even, fair",jūn,5,1,1,0,head only
榧,"type of yew",fěi,,1,1,0,head only
芡,"plant allied to the waterlily",qiàn,,1,1,0,head only
笑,"laugh",xiào,1,1,1,0,head only
薸,"duckweed",piáo,,1,1,0,head only
鳖,"turtle",biē,,1,1,0,head only
蕹,"Ipomoea aquatica used as a vegetable",wèng,,1,1,0,head only
阶,"stairs, steps",jiē,5,1,1,0,head only
蓣,"yam",yù,,1,1,0,head only
蒟,"betel pepper",jǔ,,1,1,0,head only
蒻,"rushes",ruò,,1,1,0,head only
霉,"mildew, mold",méi,5,1,1,0,head only
棋,"chess",qí,7,1,1,0,head only
胼,"callus, calluses",pián,,1,1,0,head only
胝,"callous, corn",zhī,,1,1,0,head only
绶,"silk ribbon attached as a seal",shòu,,1,1,0,head only
蛤,"clam",há,,1,1,0,head only
铠,"armor, chain mail",kǎi,,1,1,0,head only
杓,"handle of cup, ladle, spoon",biāo,,1,1,0,head only
钗,"ornamental hairpin",chāi,,1,1,0,head only
盂,"basin",yú,,1,1,0,head only
巾,"kerchief",jīn,4,1,1,0,head only
蕈,"mushrooms, fungus",xùn,,1,1,0,head only
材,"material, stuff",cái,4,1,1,0,head only
妇,"married women",fù,5,1,1,0,head only
檠,"stand for lamp",qíng,,1,1,0,head only
伽,"transcription of Sanskrit 'gha' in Buddhist texts",jiā,,1,1,0,head only
扯,"pull",chě,7,1,1,0,head only
沽,"buy and sell",gū,,1,1,0,head only
仪,"ceremony, rites gifts",yí,6,1,1,0,head only
忧,"sad, grieved",yōu,6,1,1,0,head only
任,"trust to, rely on, appoint",rèn,3,1,1,0,head only
涎,"saliva",xián,,1,1,0,head only
圞,"round",luan2,,1,1,0,head only
笐,"bamboos placed across wooden frames on which grain may",háng,,1,1,0,head only
梢,"pointed tip of something long like a branch",shāo,6,1,1,0,head only
脂,"fat, grease, lard",zhī,6,1,1,0,head only
豇,"a small kidney bean",jiāng,,1,1,0,head only
斤,"a catty",jīn,2,1,1,0,head only
癸,"10th heavenly stem",guǐ,,1,1,0,head only
铛,"clang",dāng,,1,1,0,head only
顿,"pause, stop",dùn,3,1,1,0,head only
桄,"a coir-palm",guāng,,1,1,0,head only
旅,"trip, journey",lǚ,2,1,1,0,head only
柰,"crab-apple tree",nài,,1,1,0,head only
芯,"pith from rush",xīn,,1,1,0,head only
擂,"rub, grind",léi,,1,1,0,head only
刍,"mow, cut grass",chú,,1,1,0,head only
萤,"glow-worm, luminous insect",yíng,,1,1,0,head only
看,"look",kàn,1,1,1,0,head only
虉,"",,,1,1,0,head only
簩,"",,,1,1,0,head only
菵,"",,,1,1,0,head only
臂,"arm",bì,6,1,1,0,head only
裔,"progeny, descendants, posterity",yì,5,1,1,0,head only
薏,"seed of Job's tears",yì,,1,1,0,head only
苡,"barley",yǐ,,1,1,0,head only
俭,"temperate, frugal, economical",jiǎn,6,1,1,0,head only
彬,"cultivated, well-bred",bīn,,1,1,0,head only
艹,"grass",cao,,1,1,0,head only
洽,"blend with, be in harmony",qià,6,1,1,0,head only
莠,"weeds, tares",yǒu,,1,1,0,head only
鬣,"horse's mane",liè,,1,1,0,head only
擦,"rub",cā,4,1,1,0,head only
萱,"day-lily, Hemerocallis flava",xuān,,1,1,0,head only
殊,"different, special, unusual",shū,5,1,1,0,head only
鹭,"heron, egret",lù,,1,1,0,head only
鸶,"egret",sī,,1,1,0,head only
臼,"bone joint socket",jiù,,1,1,0,head only
淫,"obscene, licentious, lewd",yín,,1,1,0,head only
劳,"labor, toil, do manual work",láo,5,1,1,0,head only
锣,"gong",luó,,1,1,0,head only
筷,"chopsticks",kuài,3,1,1,0,head only
麸,"bran",fū,,1,1,0,head only
凳,"bench",dèng,,1,1,0,head only
榅,"pillar",wēn,,1,1,0,head only
桲,"quince",po,,1,1,0,head only
楂,"a raft, to hew, to fell trees",zhā,,1,1,0,head only
筝,"stringed musical instrument",zhēng,,1,1,0,head only
臀,"buttocks; bottom",tún,,1,1,0,head only
卑,"humble, low, inferior",bēi,6,1,1,0,head only
咀,"suck",jǔ,6,1,1,0,head only
枳,"hedge thorn",zhǐ,,1,1,0,head only
椇,"Hovenia acerba, Chinese raisin tree",jǔ,,1,1,0,head only
榉,"type of elm",jǔ,,1,1,0,head only
柘,"a thorny tree",zhè,,1,1,0,head only
喷,"spurt, blow out, puff out",pēn,5,1,1,0,head only
栝,"a builder's frame for measuring",guā,,1,1,0,head only
绞,"twist, wring",jiǎo,7,1,1,0,head only
渣,"refuse, dregs, lees, sediment",zhā,6,1,1,0,head only
兼,"unite, combine",jiān,7,1,1,0,head only
登,"rise, mount, board, climb",dēng,4,1,1,0,head only
螫,"poison",shì,,1,1,0,head only
应,"should, ought to, must",yīng,4,1,1,0,head only
酢,"toast one's host with wine",zuò,,1,1,0,head only
蓖,"castor-oil plant, Ricinus communis",bì,,1,1,0,head only
靛,"any blue dye",diàn,,1,1,0,head only
箣,"",,,1,1,0,head only
牻,"cattle with a mixture of black and white hair",máng,,1,1,0,head only
鹳,"stork",guàn,,1,1,0,head only
使,"make",shǐ,3,1,1,0,head only
沫,"froth, foam, bubbles, suds",mò,6,1,1,0,head only
接,"catch",jiē,2,1,1,0,head only
熏,"smoke, fog, vapor",xūn,7,1,1,0,head only
饼,"rice-cakes, biscuits",bǐng,5,1,1,0,head only
楤,"",,,1,1,0,head only
樫,"evergreen oak",jiān,,1,1,0,head only
梿,"a flail",lián,,1,1,0,head only
轻,"light",qīng,2,1,1,0,head only
午,"seventh earthly branch",wǔ,1,1,1,0,head only
脑,"head",nǎo,1,1,1,0,head only
萮,"",,,1,1,0,head only
播,"sow, spread",bō,6,1,1,0,head only
诸,"several, various",zhū,6,1,1,0,head only
框,"frame",kuàng,7,1,1,0,head only
曙,"bright, light of rising sun",shǔ,,1,1,0,head only
蓊,"luxuriant vegetation",wěng,,1,1,0,head only
萹,"grass",biān,,1,1,0,head only
蓄,"store, save, hoard, gather",xù,6,1,1,0,head only
貉,"badger",háo,,1,1,0,head only
疝,"hernia, rupture",shàn,,1,1,0,head only
蝇,"flies",yíng,,1,1,0,head only
努,"exert, strive, make an effort",nǔ,3,1,1,0,head only
葙,"feather cockscomb",xiāng,,1,1,0,head only
菠,"spinach and similar greens",bō,,1,1,0,head only
肤,"skin",fū,4,1,1,0,head only
避,"turn aside",bì,4,1,1,0,head only
霜,"frost",shuāng,7,1,1,0,head only
昙,"become cloudy, overcast",tán,,1,1,0,head only
尺,"Chinese measure approx. 'foot'",chǐ,4,1,1,0,head only
溲,"urinate",sōu,,1,1,0,head only
荵,"various species of the genus Polemonium",rěn,,1,1,0,head only
猕,"macacus monkey",mí,,1,1,0,head only
肚,"bowels",dù,4,1,1,0,head only
枸,"kind of aspen found in Sichuan",gǒu,,1,1,0,head only
艽,"a root",jiāo,,1,1,0,head only
鳝,"eel",shàn,,1,1,0,head only
杠,"lever, pole, crowbar",gàng,6,1,1,0,head only
羹,"soup, broth",gēng,,1,1,0,head only
铰,"hinge",jiǎo,,1,1,0,head only
馨,"fragrant, aromatic",xīn,,1,1,0,head only
魂,"soul, spirit",hún,7,1,1,0,head only
鳗,"eel",mán,,1,1,0,head only
帘,"flag-sign of a tavern",lián,5,1,1,0,head only
鲫,"Carassius auratus, crucian carp",zéi,,1,1,0,head only
拗,"pull, drag, break off, to pluck",ào,,1,1,0,head only
勿,"must not, do not",wù,6,1,1,0,head only
忘,"neglect",wàng,1,1,1,0,head only
玻,"glass",bō,5,1,1,0,head only
颅,"skull",lú,,1,1,0,head only
莨,"herb, Scopolia japonica",làng,,1,1,0,head only
菪,"henbane",dàng,,1,1,0,head only
颠,"top, peak, summit",diān,6,1,1,0,head only
尿,"urinate",niào,7,1,1,0,head only
胁,"ribs",xié,5,1,1,0,head only
虻,"horsefly, gadfly",méng,,1,1,0,head only
益,"profit, benefit",yì,5,1,1,0,head only
鼬,"weasel, Mustela itatsi",yòu,,1,1,0,head only
动,"move, happen",dòng,1,1,1,0,head only
苧,"China grass, ramie",níng,,1,1,0,head only
脓,"pus",nóng,,1,1,0,head only
疗,"be healed, cured, recover",liáo,5,1,1,0,head only
捕,"arrest, catch, seize",bǔ,6,1,1,0,head only
恋,"love",liàn,5,1,1,0,head only
然,"yes, certainly",rán,2,1,1,0,head only
属,"class, category, type",shǔ,3,1,1,0,head only
窃,"secretly, stealthily",qiè,6,1,1,0,head only
桔,"Chinese bellflower",jié,5,1,1,0,head only
荇,"a water plant, Nymphoides peltalum",xìng,,1,1,0,head only
豚,"small pig, suckling pig",tún,,1,1,0,head only
鹌,"quail",ān,,1,1,0,head only
葳,"luxuriant, flourishing",wēi,,1,1,0,head only
鳢,"snakehead",lǐ,,1,1,0,head only
廉,"upright, honorable, honest",lián,6,1,1,0,head only
机,"desk",jī,1,1,1,0,head only
苓,"fungus, tuber",líng,,1,1,0,head only
佩,"belt ornament, pendant",pèi,5,1,1,0,head only
款,"item, article",kuǎn,4,1,1,0,head only
絮,"waste cotton, raw silk or cotton",xù,,1,1,0,head only
槎,"raft",chá,,1,1,0,head only
蚱,"grasshopper",zhà,,1,1,0,head only
支,"disperse, pay",zhī,3,1,1,0,head only
蚤,"louse",zǎo,,1,1,0,head only
匹,"bolt of cloth",pǐ,5,1,1,0,head only
豨,"pig, hog",xī,,1,1,0,head only
莶,"vine",xiān,,1,1,0,head only
箫,"bamboo flute",xiāo,,1,1,0,head only
茯,"China root",fú,,1,1,0,head only
膀,"upper arm",bǎng,5,1,1,0,head only
胱,"bladder",guāng,,1,1,0,head only
娥,"be beautiful",é,,1,1,0,head only
澍,"timely rain, life-giving rain",shù,,1,1,0,head only
符,"i.d. tag, tally, symbol, charm",fú,4,1,1,0,head only
蓧,"bamboo basket",diào,,1,1,0,head only
肢,"human limbs",zhī,6,1,1,0,head only
丸,"small round object",wán,6,1,1,0,head only
编,"knit, weave",biān,4,1,1,0,head only
纪,"record, annal, historical account",jì,4,1,1,0,head only
鹏,"fabulous bird of enormous size",péng,,1,1,0,head only
程,"journey, trip",chéng,4,1,1,0,head only
孀,"widow",shuāng,,1,1,0,head only
泪,"tear",lèi,4,1,1,0,head only
身,"body",shēn,2,1,1,0,head only
争,"dispute, fight, contend, strive",zhēng,3,1,1,0,head only
夕,"evening, night, dusk",xī,5,1,1,0,head only
探,"find, locate",tàn,7,1,1,0,head only
钧,"unit of measure equivalent to thirty catties",jūn,,1,1,0,head only
仗,"rely upon",zhàng,6,1,1,0,head only
逐,"chase, expel",zhú,5,1,1,0,head only
标,"mark, symbol, label, sign",biāo,7,1,1,0,head only
珂,"inferior kind of jade",kē,,1,1,0,head only
槛,"threshold, door-sill",kǎn,,1,1,0,head only
婴,"baby, infant",yīng,6,1,1,0,head only
位,"throne",wèi,2,1,0,1,mark only
瑟,"large stringed musical instrument",sè,,1,0,1,mark only
歇,"rest, stop, lodge",xiē,5,1,0,1,mark only
曾,"already",céng,4,1,0,1,mark only
秩,"order",zhì,5,1,0,1,mark only
鸽,"pigeon, dove",gē,6,1,0,1,mark only
胪,"arrange in order",lú,,1,0,1,mark only
棍,"stick, cudgel",gùn,6,1,0,1,mark only
胚,"embryo",pēi,,1,0,1,mark only
秘,"secret, mysterious, abstruse",mì,5,1,0,1,mark only
睦,"friendly, amiable, peaceful",mù,6,1,0,1,mark only
碌,"rough, uneven, rocky",lù,6,1,0,1,mark only
锲,"sickle",qiè,6,1,0,1,mark only
钢,"steel",gāng,7,1,0,1,mark only
煲,"heat",bāo,7,1,0,1,mark only
更,"more, still further, much more",gèng,2,1,0,1,mark only
潺,"sound of flowing water",chán,,1,0,1,mark only
蓥,"polish",yíng,,1,0,1,mark only
汀,"sandbar, beach, bank, shore",tīng,,1,0,1,mark only
境,"boundary, frontier",jìng,3,1,0,1,mark only
龚,"give, present",gōng,,1,0,1,mark only
砖,"tile, brick",zhuān,6,1,0,1,mark only
府,"prefecture",fǔ,5,1,0,1,mark only
薛,"kind of marsh grass",xuē,,1,0,1,mark only
宣,"declare, announce, proclaim",xuān,5,1,0,1,mark only
触,"butt, ram, gore",chù,5,1,0,1,mark only
蔽,"cover, hide, conceal",bì,6,1,0,1,mark only
韫,"an orange color",yùn,,1,0,1,mark only
奔,"run fast, flee",bēn,7,1,0,1,mark only
桶,"bucket",tǒng,4,1,0,1,mark only
旺,"prosper",wàng,7,1,0,1,mark only
限,"boundary, limit, line",xiàn,6,1,0,1,mark only
燃,"light fire, ignite",rán,5,1,0,1,mark only
派,"school of thought, sect, branch",pài,3,1,0,1,mark only
舍,"discard, give up willingly",shě,5,1,0,1,mark only
堪,"adequately capable of, worthy of",kān,6,1,0,1,mark only
俊,"talented, capable",jùn,7,1,0,1,mark only
潜,"hide",qián,6,1,0,1,mark only
镘,"trowel",màn,,1,0,1,mark only
藟,"vine, creeper",lěi,,1,0,1,mark only
茳,"Cyperus malaccensis, short-leaved Malacca galingale",jiāng,,1,0,1,mark only
鲍,"dried fish",bào,,1,0,1,mark only
陲,"frontier, border",chuí,,1,0,1,mark only
逊,"humble, modest",xùn,6,1,0,1,mark only
于,"in, on, at",yú,6,1,0,1,mark only
拧,"pinch",níng,6,1,0,1,mark only
晋,"advance, increase",jìn,6,1,0,1,mark only
改,"change, alter",gǎi,2,1,0,1,mark only
坎,"pit, hole",kǎn,,1,0,1,mark only
确,"sure, certain",què,4,1,0,1,mark only
救,"save, rescue, relieve",jiù,3,1,0,1,mark only
再,"again, twice, re-",zài,1,1,0,1,mark only
畹,"a unit of area, thirty mou",wǎn,,1,0,1,mark only
町,"raised path between fields",tǐng,,1,0,1,mark only
蟋,"cricket",xī,,1,0,1,mark only
蟀,"cricket",shuài,,1,0,1,mark only
族,"a family clan, ethnic group, tribe",zú,5,1,0,1,mark only
捷,"win, victory, triumph",jié,6,1,0,1,mark only
镜,"mirror",jìng,4,1,0,1,mark only
筏,"raft",fá,,1,0,1,mark only
引,"pull, draw out, attract",yǐn,4,1,0,1,mark only
仿,"imitate, copy",fǎng,7,1,0,1,mark only
廷,"court",tíng,,1,0,1,mark only
汾,"river in Shanxi province",fén,,1,0,1,mark only
兆,"trillion",zhào,6,1,0,1,mark only
丈,"unit of length equal 3.3 meters",zhàng,2,1,0,1,mark only
窦,"hole, burrow",dòu,,1,0,1,mark only
毗,"help, assist",pí,,1,0,1,mark only
申,"monkey",shēn,4,1,0,1,mark only
郭,"outer part",guō,,1,0,1,mark only
御,"drive, ride",yù,6,1,0,1,mark only
倚,"rely on, depend on",yǐ,7,1,0,1,mark only
弩,"cross-bow, bow",nǔ,,1,0,1,mark only
佤,"Va nationality, living in Yunnan",wǎ,,1,0,1,mark only
蛊,"poison",gǔ,,1,0,1,mark only
帝,"supreme ruler, emperor",dì,6,1,0,1,mark only
拖,"haul",tuō,6,1,0,1,mark only
乾,"dry",qián,,1,0,1,mark only
衢,"highway",qú,,1,0,1,mark only
茁,"sprout, flourish",zhuó,,1,0,1,mark only
必,"surely, most certainly",bì,5,1,0,1,mark only
玖,"black-colored jade",jiǔ,,1,0,1,mark only
肩,"shoulders",jiān,5,1,0,1,mark only
括,"include, embrace, enclose",kuò,5,1,0,1,mark only
茖,"Allium victorialis, Alpine leek",gé,,1,0,1,mark only
忻,"delightful, joyful, pleasant",xīn,,1,0,1,mark only
帆,"sail",fān,7,1,0,1,mark only
泾,"name of a river",jīng,,1,0,1,mark only
措,"place",cuò,5,1,0,1,mark only
矬,"a dwarf",cuó,,1,0,1,mark only
淳,"honest, simple, unsophisticated",chún,,1,0,1,mark only
置,"place, lay out",zhì,7,1,0,1,mark only
烦,"bother, vex, trouble",fán,4,1,0,1,mark only
沈,"sink, submerge",shěn,,1,0,1,mark only
抚,"pat, console, comfort",fǔ,6,1,0,1,mark only
戛,"lance",jiá,,1,0,1,mark only
迁,"move, shift, change",qiān,7,1,0,1,mark only
竞,"contend, vie, compete",jìng,4,1,0,1,mark only
军,"army, military",jūn,5,1,0,1,mark only
村,"village",cūn,3,1,0,1,mark only
禺,"district",yú,,1,0,1,mark only
邑,"area",yì,,1,0,1,mark only
共,"together with, all, total",gòng,4,1,0,1,mark only
缍,"a kind of thin silk",duǒ,,1,0,1,mark only
玷,"flaw in gem",diàn,,1,0,1,mark only
岱,"Daishan, one of the Five Sacred Mountains in China",dài,,1,0,1,mark only
燪,"",,,1,0,1,mark only
奕,"in sequence, orderly",yì,,1,0,1,mark only
鸣,"cry of bird or animal",míng,6,1,0,1,mark only
碚,"suburb",bèi,,1,0,1,mark only
扶,"support, help",fú,5,1,0,1,mark only
舶,"large, ocean-going vessel",bó,6,1,0,1,mark only
嗉,"bird's crop",sù,,1,0,1,mark only
渤,"swelling",bó,,1,0,1,mark only
杈,"fork of a tree",chā,,1,0,1,mark only
咬,"bite",yǎo,5,1,0,1,mark only
淋,"drip, soak, drench",lín,6,1,0,1,mark only
庵,"Buddhist monastery or nunnery",ān,,1,0,1,mark only
浸,"soak, immerse, dip, percolate",jìn,6,1,0,1,mark only
营,"encampment, barracks",yíng,5,1,0,1,mark only
耙,"rake",bà,,1,0,1,mark only
橿,"a kind of oak",jiāng,,1,0,1,mark only
趾,"tracks, footprints",zhǐ,,1,0,1,mark only
演,"perform, put on",yǎn,3,1,0,1,mark only
逢,"come upon, happen meet",féng,6,1,0,1,mark only
肫,"gizzard of a fowl",zhūn,,1,0,1,mark only
禅,"meditation, contemplation",chán,,1,0,1,mark only
汗,"sweat",hàn,4,1,0,1,mark only
椅,"chair, seat",yǐ,1,1,0,1,mark only
爆,"crackle, pop, burst, explode",bào,6,1,0,1,mark only
涞,"river in Hebei province",lái,,1,0,1,mark only
簸,"winnower",bǒ,6,1,0,1,mark only
箕,"sieve",jī,,1,0,1,mark only
皇,"royal, imperial",huáng,6,1,0,1,mark only
岐,"high",qí,,1,0,1,mark only
埋,"bury, secrete, conceal",mái,6,1,0,1,mark only
窿,"mine shaft",lóng,,1,0,1,mark only
调,"transfer, move, change",diào,3,1,0,1,mark only
欓,"Alternative name for 食茱萸.",dǎng,,1,0,1,mark only
朵,"cluster of flowers",duǒ,4,1,0,1,mark only
恶,"nastiness",ě,7,1,0,1,mark only
爿,"half of tree trunk",pán,,1,0,1,mark only
懋,"splendid, grand, majestic",mào,,1,0,1,mark only
弹,"pellet, bullet, shot, shell",dàn,4,1,0,1,mark only
衰,"decline, falter, decrease",shuāi,6,1,0,1,mark only
牌,"signboard, placard",pái,4,1,0,1,mark only
罕,"rare, scarce",hǎn,6,1,0,1,mark only
珲,"bright, glorious, splendid",hún,,1,0,1,mark only
减,"decrease, subtract, diminish",jiǎn,4,1,0,1,mark only
嘛,"final exclamatory particle",ma,6,1,0,1,mark only
奈,"but, how",nài,5,1,0,1,mark only
酥,"butter",sū,7,1,0,1,mark only
醪,"unclear wine, wine with dregs",láo,,1,0,1,mark only
袅,"curling upwards",niǎo,,1,0,1,mark only
堤,"dike",dī,7,1,0,1,mark only
岔,"diverge, branch off",chà,6,1,0,1,mark only
怯,"lacking in courage, afraid",qiè,6,1,0,1,mark only
傣,"Dai minority living in South China",dǎi,,1,0,1,mark only
听,"hear",tīng,1,1,0,1,mark only
笃,"deep, true, sincere, genuine",dǔ,,1,0,1,mark only
芮,"tiny, small",ruì,,1,0,1,mark only
兹,"now, here",zī,7,1,0,1,mark only
汕,"basket for catching fish",shàn,,1,0,1,mark only
驳,"varicolored, variegated",bó,6,1,0,1,mark only
奴,"slave, servant",nú,6,1,0,1,mark only
店,"shop",diàn,1,1,0,1,mark only
园,"park, orchard",yuán,3,1,0,1,mark only
答,"answer",dá,4,1,0,1,mark only
助,"help, aid, assist",zhù,2,1,0,1,mark only
壤,"soil, loam, earth",rǎng,6,1,0,1,mark only
啤,"beer",pí,3,1,0,1,mark only
醒,"awake",xǐng,4,1,0,1,mark only
税,"tax",shuì,5,1,0,1,mark only
崀,"place name in Hunan province",làng,,1,0,1,mark only
倭,"dwarf",wō,,1,0,1,mark only
褪,"strip, undress",tuì,,1,0,1,mark only
耕,"plow, cultivate",gēng,6,1,0,1,mark only
埂,"ditches for irrigation",gěng,,1,0,1,mark only
休,"rest, stop",xiū,2,1,0,1,mark only
孱,"weak, unfit, frail, feeble",chán,,1,0,1,mark only
著,"make known",zhe,4,1,0,1,mark only
颏,"throat",hái,,1,0,1,mark only
渭,"name of a river in Shanxi",wèi,,1,0,1,mark only
后,"backward",hòu,1,1,0,1,mark only
昧,"obscure, dark",mèi,6,1,0,1,mark only
臌,"swelling from dropsy",gǔ,,1,0,1,mark only
返,"return, revert to, restore",fǎn,5,1,0,1,mark only
顾,"look back",gù,6,1,0,1,mark only
鹬,"snipe, kingfisher",yù,,1,0,1,mark only
颤,"shiver, tremble",chàn,6,1,0,1,mark only
步,"step, pace",bù,3,1,0,1,mark only
枚,"stalk of shrub, trunk of tree",méi,6,1,0,1,mark only
蒋,"Hydropyrum latifolium",jiǎng,,1,0,1,mark only
挤,"squeeze",jǐ,5,1,0,1,mark only
沱,"rivers, streams, waterways",tuó,,1,0,1,mark only
蒌,"Artemisia stelleriana",lóu,,1,0,1,mark only
桌,"table, desk, stand",zhuō,1,1,0,1,mark only
振,"raise, excite, arouse action",zhèn,5,1,0,1,mark only
铎,"bell",duó,,1,0,1,mark only
垭,"character used in place names",yā,,1,0,1,mark only
镞,"arrowhead, barb",zú,,1,0,1,mark only
痢,"dysentery",lì,,1,0,1,mark only
右,"right",yòu,1,1,0,1,mark only
毓,"give birth to",yù,,1,0,1,mark only
琥,"jewel in shape of tiger",hǔ,,1,0,1,mark only
勤,"industrious, diligent, attentive",qín,5,1,0,1,mark only
疸,"jaundice",dǎn,,1,0,1,mark only
困,"surround, besiege",kùn,3,1,0,1,mark only
