gloss,uses,forms,sayable
"a box, a punching move",11,1,1
verbal noun of رَبَّ (rabba) (form i),11,1,1
riverine,11,1,0
"rich, wealthy, affluent (owning a lot of money or wealth)",11,1,1
riedl: a surname,11,1,0
a hilly district of genova,11,1,1
goblet,11,1,0
"to run, to flow",11,1,1
risky,11,1,0
a sum (addition or aggregation),11,1,1
"verbal noun of utanmak: shame, embarrassment",11,1,1
"a faint sound, like that which you can hear from a distance",11,1,1
"a surname, robichaud, mostly found in canada",11,1,1
rock (large mass of stone),11,1,1
"rodgau (a town in southern hesse, germany)",11,1,1
"a male given name from the germanic languages, equivalent to english roger",11,1,1
pock (pus-filled swelling caused by pox or similar disease),11,1,1
the romansch language,11,1,1
romblon (a province of the philippines),11,1,1
a meal incorporating rose petals or flowers,11,1,1
grate,11,1,1
face (the front part of the head),11,1,1
a rotarian.,11,1,0
"shawl, cape",11,1,1
"light, brownish grey; dun",11,1,1
roma ethnic group who were originally gold panners,11,1,1
"rudersberg (a town in baden-württemberg, germany)",11,1,1
romania (a country in southeast europe),11,1,1
pondering; rumination,11,1,0
rusyn (male member of a people living in the eastern carpathian mountains; an inhabitant of the ancient rus),11,1,1
plentiful,11,1,0
saffron milk cap (lactarius deliciosus),11,1,1
"a town in ljungby municipality, kronoberg county, sweden",11,1,1
verbal noun of شَبَّ (šabba),11,1,1
ethic,11,1,0
"hard, severe",11,1,1
"a city in brașov county, romania",11,1,1
"dispute, strife, contention",11,1,1
"story, history, legend, saga",11,1,1
sagunto (a city in spain),11,1,1
"a former municipality in finland, merged with kangasala in 2005.",11,1,1
"poem, couplet, four liner",11,1,1
"salt water, seawater, brine",11,1,1
"a village in sânmihaiu de câmpie, bistrița-năsăud county, romania",11,1,1
to dress in mourning clothes,11,1,1
"salmas (a city in west azerbaijan province, iran; about ninety kilometres north-northwest of urmia)",11,1,1
clay; argil,11,1,1
marauder (one who moves about in roving fashion looking for plunder),11,1,1
"sale, selling",11,1,1
"poor, indigent",11,1,1
"salzburger, salzburgian (native or inhabitant of salzburg)",11,1,1
"to betake oneself, to go",11,1,1
to arouse desire,11,1,1
marina (harbour for small boats),11,1,1
sami; member of the sami people,11,1,1
"unseemly, awkward, sick or disgusting, loathsome, deform",11,1,1
"a male given name, equivalent to english sancho",11,1,1
"santalum, sandal, sandalwood",11,1,0
sanguine,11,1,0
"a type of local administrative division, sanjak, district",11,1,1
"a town and comune of the province of imperia, liguria, italy",11,1,1
carefree person,11,1,1
sandalwood (any of various trees in genus santalum; the aromatic wood of such trees),11,1,1
st. elmo's fire,11,1,1
a small leaflet with the image of a saint and a prayer,11,1,1
a town on the coast of bithynia,11,1,1
slender form of -aidhe: obsolete form of -í,11,1,1
to arrange one after the other,11,1,1
bumblebees,11,1,0
"driven away, expelled, homeless",11,1,1
string (items put on a string),11,1,1
"to intoxicate, to besot, to make high",11,1,1
satyr,11,1,0
to slowly emerge (from notion of slowly shifting in tone),11,1,1
"full, sated",11,1,1
"niello, tula work, a black mixture, usually of sulphur, copper, silver, and lead, used as an inlay on engraved or etched metal, especially silver",11,1,1
"to modify, to alter",11,1,1
"plain, simple, artless, natural",11,1,1
"slit, slash",11,1,1
"schmölln (a town in eastern thuringia, germany)",11,1,1
a group of ducklings or goslings led by one or two parent birds,11,1,1
fleece (insulating wooly garment),11,1,1
"steep, rocky cliff",11,1,1
"drawer container (in a kitchen; for flour, sugar etc.)",11,1,1
-scope,11,1,1
to snitch,11,1,1
social security,11,1,1
seaport (a town or harbour with facilities for seagoing ships to dock and take on or discharge cargo.),11,1,1
viewer (someone who watches television),11,1,1
sail; a piece of fabric attached to a boat,11,1,1
second-person plural subjunctive i of segeln,11,1,1
"witchcraft, magic, sorcery, wizardry",11,1,1
sieidi (a sami sacred place),11,1,1
a crossbred variety of grain or cereal,11,1,1
"drake, male duck",11,1,1
"a town, the administrative seat of oberspreewald-lausitz district, brandenburg, germany",11,1,1
xenon,11,1,0
to go out of control,11,1,1
wild rue (peganum harmala),11,1,1
a shirt used as an undergarment (e.g. an undershirt or chemise),11,1,1
servia,11,1,0
"service (work that is produced, traded, sold, then consumed)",11,1,1
heresy,11,1,0
"to walk, stroll (to wander on foot; to walk leisurely)",11,1,1
"a town in komárom-esztergom county, hungary",11,1,1
will (volition),11,1,1
"comb, crest, the fleshy growth on the top of the head of some birds or reptiles",11,1,1
to balance an object,11,1,1
shonen,11,1,0
to foretell; to tell the future,11,1,1
"sappanwood (biancaeae sappan, syn. caesalpinia sappan)",11,1,0
"siedlce (a city in masovian voivodeship, poland)",11,1,1
"lordship, ladyship",11,1,0
"victory, triumph, success",11,1,1
"an ancient town of thessaly, situated near the frontiers with athamania",11,1,1
animate masculine plural passive participle of sílit,11,1,1
"saddler (someone who makes, repairs and sells saddles, harnesses etc)",11,1,1
onsen (a japanese hot spring),11,1,1
sirdar (high-ranking person in india and west-central asia),11,1,1
winged male or female termite during breeding season,11,1,1
neem (azadirachta indica),11,1,0
sirocco,11,1,0
"a journey, way",11,1,1
second-person singular imperative imperfective of ре́ять (réjatʹ),11,1,1
sister (nun; a female member of a religious community),11,1,1
"edge, border, boundary",11,1,1
"scathe; damage (abstract measure of something not being intact), an injury, a harm, a wound",11,1,1
skatepark (recreational area designed for skateboarders),11,1,1
a ship,11,1,1
deverbal from löpa ("stretch"),11,1,1
"to send, to dispatch",11,1,1
short neuter singular of сла́вный (slávnyj),11,1,1
emerald (gemstone),11,1,1
spruce (conifer of the genus picea),11,1,1
"a town in central sweden, south of stockholm.",11,1,1
an unexperienced or impetuous horse which has yet to be trained and cooled,11,1,1
"oval, elliptical",11,1,1
"soini (a municipality of south ostrobothnia, finland)",11,1,1
"a removable fastener (pin) used to secure machine parts, axles etc., such as e.g. a cotter pin (us), split pin (uk), linchpin.",11,1,1
falcon chick,11,1,1
solo (piece or passage performed or typified by a single performer),11,1,1
"to enchant, to cast a spell",11,1,1
first-person singular present indicative imperfective of мять (mjatʹ),11,1,1
"poll, survey",11,1,1
to dream (see imaginary events while sleeping) [with com 'about someone/something'],11,1,1
side (a bounding straight edge of a two-dimensional shape),11,1,1
"characteristic; particular, detail",11,1,1
"harmony, concord, agreement",11,1,1
"any tree of sorbus, the whitebeam, rowan, service tree or mountain ash",11,1,1
"worry, anxiety",11,1,1
"to put something to somewhere, to place among/with, to count, classify (into some group: -ba/-be or közé)",11,1,1
sorsogon (a province of the philippines; capital: sorsogon city),11,1,1
foliage (the leaves of plants),11,1,1
first/third-person singular preterite of sieden,11,1,1
a sow; a female pig.,11,1,1
to howl (especially of or like a wolf),11,1,1
english oral/speaking test,11,1,1
a special broadcast episode,11,1,1
"interest, interest rate",11,1,1
"blubber (of whales, seals, etc.)",11,1,1
arachnid,11,1,1
"squat (building occupied without permission, as practiced by a squatter)",11,1,1
diameter (length of such a line),11,1,1
bit (for a working animal),11,1,1
"city center, downtown",11,1,1
feminine singular past indicative perfective of стать (statʹ),11,1,1
"a commune of brăila county, romania",11,1,1
"a male given name, equivalent to english stanislav",11,1,1
embankment dam,11,1,1
a native or inhabitant of steinhaus,11,1,1
stevia (any sweet herb of the genus stevia),11,1,1
"silent person, who rarely speaks",11,1,1
"-ese, -ic, -an, -ish (a language or dialect)",11,1,1
to block up,11,1,1
the spoken or textual recounting of historic events or happenings as a story.,11,1,1
rout (fashionable assembly or large evening party),11,1,1
sheep shearing,11,1,1
stromboli (one of the aeolian islands),11,1,1
"remnant, portion",11,1,1
submarine; u-boat (undersea boat),11,1,1
"zander, pike-perch (the fish or its meat, which is highly regarded)",11,1,1
suez,11,1,0
"perch, bass (any of the three species of spiny-finned freshwater fish in the genus perca)",11,1,1
corvee,11,1,0
a town in central sweden,11,1,1
"a liquid container made of glass, ceramic, plastic or other materials; a pitcher, jug.",11,1,1
superessive singular of sűrű,11,1,1
syriacs,11,1,0
a sewing together.,11,1,1
inglenook (the narrow place between the furnace and the wall),11,1,1
svatoňovice (a village and municipality in opava district in the moravia–silesia region of the czech republic),11,1,1
strong feminine nominative singular of svenskr,11,1,1
"a surname, sviridov",11,1,0
"świdnica (a city in lower silesian voivodeship, poland)",11,1,1
syenite,11,1,0
svir (a river in russia),11,1,1
"campsite, camping site",11,1,1
"magic (use of supernatural rituals, forces etc.)",11,1,1
first-person singular preterite indicative of tajar,11,1,1
tajik (of or relating to tajikistan),11,1,1
most behind,11,1,1
"a town in tolna county, hungary",11,1,1
tholobate,11,1,0
"teacher (especially as an occupation; usually teaching children over ten, specialized in certain subjects)",11,1,1
"penis, dick, cock",11,1,1
"diacritical mark, diacritic",11,1,1
"a city in mureș county, romania",11,1,1
"tarrafal (a city in northern santiago, cape verde; the seat of the municipality of tarrafal)",11,1,1
a tart or pie (pastry dish with filling surrounded by pastry shell),11,1,1
"a river in cisalpine gaul that flows near parma, now the taro",11,1,1
"small case, wallet",11,1,1
ceiling (upper surface of room),11,1,1
a plant in the genus allium (often used as vegetables):,11,1,1
"to steal, gyp",11,1,1
syllabic abbreviation of taschentücher ("tissues") (usually in a pack or box),11,1,1
"pigeon, dove (male or female bird of the columba genus)",11,1,1
taurine,11,1,0
"theater, theatre",11,1,1
"to ordain, fix, decree",11,1,1
tabby,11,1,0
to communicate,11,1,1
"a village in frecăței, tulcea county, romania",11,1,1
a tent,11,1,1
the tench (tinca tinca) or a similar fish.,11,1,1
tenor,11,1,0
theory,11,1,1
third-person singular single-possession possessive of terc,11,1,1
to tear; to split apart or off (often by ripping):,11,1,1
"terni (a province of umbria, italy)",11,1,1
roof terrace,11,1,1
"earthy, muddy",11,1,0
hunter's knife,11,1,1
an earthenware lid,11,1,1
tadpole (larva of the frog or toad),11,1,1
thasos,11,1,0
thread (series of messages),11,1,1
to tick (to make a noise of an analog clock),11,1,1
"throat, gullet, pharynx",11,1,1
to be infested by moths (or their maggots),11,1,1
"uncle (brother of someone's father or mother, or an aunt's husband)",11,1,1
two-wheel tractor,11,1,1
clumsy,11,1,1
tokelauan (language),11,1,1
"crazy person, fool, wacko (stupid and/or crazy (and silly) person)",11,1,1
"a river in neamț, romania, tributary to the topolița",11,1,1
mini (tiny),11,1,1
"poplar, cottonwood (any of various deciduous trees of the genus populus)",11,1,1
patch (all senses),11,1,1
top of a mast,11,1,1
a noun of the neuter gender,11,1,1
bullock,11,1,0
third-person singular conditional present indefinite of tör,11,1,1
seat of honor,11,1,1
"to scorch, burn, parch",11,1,1
"torrevieja (a city in alicante, spain)",11,1,1
second-person singular past historic of tortiller,11,1,1
"melancholy, depression",11,1,1
"used to form some adjectives (and sometimes nouns derived from them) meaning "of", "like", "characteristic of", etc.",11,1,1
first-person singular past historic of tourner,11,1,1
a member of the otomi people,11,1,1
"trabzon (a province and metropolitan municipality in northeastern turkey, on the black sea coast)",11,1,1
"trudge, plod, slog (to walk heavily and laboriously with slow steps)",11,1,1
"a town in picenum situated on the left bank of the river potentia, now still called treia",11,1,1
knitting (the activity of making fabric by pulling loops of thread through each other),11,1,1
"trinity, triad",11,1,0
crack (sound),11,1,1
crossroads where three roads meet,11,1,1
"a town in the province of vibo valentia, calabria, italy",11,1,1
"panties, (female) underpants",11,1,1
"effort, work, toil",11,1,1
first-person singular past historic of tubare,11,1,1
half (of the),11,1,1
"bullshit, nonsense, poppycock, rubbish",11,1,1
a river that flows in lazio and abruzzo,11,1,1
"a city and district of manisa province, turkey",11,1,1
small coin,11,1,1
"to turn to, resort to",11,1,1
a ugric person,11,1,1
nasty,11,1,1
"anoint (with oil, ointment, etc.)",11,1,1
"lower house, second chamber (e.g. the uk house of commons, the us house of representatives etc.)",11,1,1
"injury, trauma",11,1,1
uriel.,11,1,0
dick,11,1,0
an island of the tyrrhenian sea,11,1,1
of or relating to game meat,11,1,1
oilcloth,11,1,0
vairy,11,1,0
toy waterwheel,11,1,1
"flash, camera flash (device used to produce a flash of artificial light)",11,1,1
body (frame of a living human or animal),11,1,1
"a male given name, comparable to english waldo",11,1,1
"power, authority, rule",11,1,1
"whining, complaining",11,1,1
"punch (a hot alcoholic beverage made from wine, rum, fruit juice, sugar or honey, and hot water and spices)",11,1,1
"someone fearful and ineffectual (especially a woman); a (little) ninny, a pushover, etc.",11,1,1
hyrax,11,1,0
"various, several",11,1,1
process of cooking by boiling,11,1,1
vasseur: a surname,11,1,0
villus (small projection from a mucous membrane),11,1,1
"a city in småland, south-central sweden",11,1,1
neighboring,11,1,1
veilleux: a québécois surname,11,1,0
"hair, fur",11,1,1
conquering,11,1,1
"grief, sadness, sorrow",11,1,1
cinnabar,11,1,0
"vesilahti (a municipality of pirkanmaa, finland)",11,1,1
veterinary,11,1,0
"branch, bough, limb (woody part of a tree arising from the trunk and usually dividing)",11,1,1
a fibre (commonwealth); fiber (us) (single piece/strand of fabric or other material),11,1,1
"a city and former municipality of vijfheerenlanden, utrecht, netherlands",11,1,1
second-person singular preterite indicative of vir,11,1,1
"a village and municipality of the province of lecco, lombardy, italy",11,1,1
definite natural masculine singular of vig,11,1,1
"weight (what something weighs, measured in for example kilograms)",11,1,1
"pitchfork, digging fork",11,1,1
"to fetter, bind, chain",11,1,1
vinaigrette,11,1,0
inertia,11,1,1
residence (place where one lives),11,1,1
viscachera (warren inhabited by viscachas),11,1,1
"vlaardingen (a city and municipality of south holland, netherlands)",11,1,1
vodyanoy (a water sprite from slavic mythology),11,1,1
a region of waldeck-frankenberg in hesse,11,1,1
instructive plural of vuo,11,1,1
aviary,11,1,0
"vologda (a city, the administrative center of vologda oblast, russia)",11,1,1
võro (language),11,1,1
"a civil servant whose work is connected to roads, waterways, or railways",11,1,1
"a village in békés county, hungary",11,1,1
"a hamlet in heerlen, limburg, netherlands",11,1,1
nausea,11,1,1
a type of sweet or savoury tart baked in a large square pan.,11,1,1
verbal noun of وَهَنَ (wahana) (form i),11,1,1
second-person singular voseo imperative of toar,11,1,1
"grief, sorrow, anguish",11,1,1
hill-fort.,11,1,1
"whale, mammal of the order cetacea",11,1,1
journeyman years (time spent as a journeyman craftsman),11,1,1
workshop (small manufacturing room),11,1,1
"weinsberg (a town in heilbronn district, baden-württemberg, germany)",11,1,1
"wernigerode (a town in western saxony-anhalt, germany)",11,1,1
a message; a written or spoken communication,11,1,1
westerland (a city in northern germany),11,1,1
westphalia (a region in northwestern germany),11,1,1
wax foundation,11,1,1
"to want something, wish for something",11,1,1
badge; decoration; medal; order,11,1,1
a given name,11,1,1
"grandson, grandchild",11,1,1
"female equivalent of tipo: broad, chick, woman",11,1,1
attract,11,1,1
ganzá,11,1,0
shell (cylindrical projectile),11,1,1
yaoundé (the capital city of cameroon),11,1,1
"reputation, the worth or estimation in which something or someone is held",11,1,1
"yellowknife (the capital of and only city in the northwest territories, canada)",11,1,1
to undo,11,1,1
gold coin,11,1,1
"yak, yack, vomit",11,1,1
to apply stones to,11,1,1
"suntan, tan (darkened coloration of the skin)",11,1,1
a town in tunisia.,11,1,1
"hare, jackrabbit (any lagomorph of the genus lepus)",11,1,1
"a surname, variant of salazar",11,1,1
recording,11,1,1
polje,11,1,0
pre-1918 spelling of за́поведь (zápovedʹ).,11,1,1
"chainmail, coat of mail",11,1,1
short masculine singular of здравый (zdravyj),11,1,1
beggar,11,1,1
a village in guyana,11,1,1
"gust, windflaw",11,1,1
team (group of people involved in the same work),11,1,1
abandoned ship,11,1,1
a rent; what is paid in order to rent something,11,1,1
she (a female),11,1,1
"a river in hunedoara, romania, tributary to the lăpușnicul mare",11,1,1
"regret, remorse, contrition",11,1,1
-s,11,1,0
"bashing, beating",11,1,1
"buzz, hum, ringing (a buzzing or humming noise)",11,1,1
"dismay, dread, horror",11,1,1
weasel (mustela nivalis),11,1,1
inhabitable,11,1,0
"a male given name from arabic, equivalent to english abdul",10,1,1
"lawyer, solicitor, counsel.",10,1,0
turku (a city in finland),10,1,1
subscription; season ticket,10,1,1
aborigine,10,1,0
"to rise, to ascend [with إِلَى (ʔilā) 'to somewhere']",10,1,1
"approachable, accessible",10,1,0
"lit; lighted (burning, especially with a small, controlled fire)",10,1,1
"achar, (indian) pickle",10,1,0
"to approach, go to",10,1,1
adieu,10,1,0
third-person singular past historic of admirer,10,1,1
cementum,10,1,0
"the aegis, or shield. see aegis; αἰγίς.",10,1,1
aphrodite,10,1,0
a system (set of devices or mechanisms designed to perform a single task),10,1,1
first-person plural present indicative imperfective of уди́ть (udítʹ),10,1,1
"agrigento (a province and city in sicily, italy)",10,1,1
"a locality and former civil parish of sintra, lisbon district, portugal",10,1,1
"to lift up, elevate",10,1,1
the most important,10,1,1
"dandy, a man obsessed with his looks",10,1,1
"aiton (a town and commune of savoie department, auvergne-rhône-alpes, france)",10,1,1
syllabic abbreviation of anarchokapitalizm.,10,1,1
spore,10,1,1
crop (short whip),10,1,1
axon,10,1,0
"a sweet paste of almonds, nuts and bread crumbs mixed with spices and honey",10,1,1
"a town in savona, liguria, italy",10,1,1
alkane (saturated aliphatic hydrocarbon),10,1,1
"alces alces: elk, moose",10,1,1
"alcorcón (a city in madrid, spain)",10,1,1
cork oak,10,1,1
"side (physical surface of an object, animal or person)",10,1,1
an enclosed or roofed passage or walkway.,10,1,1
"alpha (the name of the first letter of the greek alphabet (α, α), followed by beta)",10,1,1
ensign (military officer),10,1,1
"aegis (endorsement, sponsorship)",10,1,0
"jackdaw, corvus monedula",10,1,0
"a liquor store, bottle shop",10,1,1
"clam, cockle",10,1,1
to rhyme,10,1,1
"alpirsbach (a town in baden-württemberg, germany)",10,1,1
carbon (chemical element),10,1,1
suffix forming instrument nouns from verbs,10,1,1
"soul, soul music",10,1,1
doorstep; stoop,10,1,0
"elf; a human-resembling, often magical, being",10,1,1
vat (value-added tax),10,1,1
"core, heart, centre",10,1,1
"seasonable, timely, in time",10,1,1
second-person singular voseo imperative of amarar,10,1,1
"amasya (a province in the black sea region, in northern turkey)",10,1,1
a single number that can be coupled (in several winning ways) with any of the other 89 numbers,10,1,1
wheeze (piping or whistling sound caused by difficult respiration),10,1,1
bey (governor of a province or district in the turkish dominions),10,1,1
"friend, companion, partner",10,1,1
"native or inhabitant of amiens, prefecture of the somme department, hauts-de-france, france (usually male)",10,1,1
a vine,10,1,1
"anapa (a town in krasnodar krai, russia)",10,1,1
"a female given name, equivalent to english anastasia",10,1,1
"to walk, to go",10,1,1
"a hamlet in hardenberg, overijssel, netherlands",10,1,1
amphora,10,1,0
angon,10,1,0
"to be muddy, to be turbid",10,1,1
"ribald, "dirty" joke or anecdote",10,1,1
female equivalent of anonim,10,1,1
the pillars on each side of doors or at the corners of buildings,10,1,1
"apocopic form of fiano, third-person plural future of fire",10,1,1
"to smoke (emit smoke; for example of a chimney, a fire)",10,1,1
before,10,1,1
"a merlon, a cop",10,1,0
"craving, whim, impulse",10,1,1
great-grandmother (mother of one's grandparent),10,1,1
"to fasten, fit, apply, adjust",10,1,1
"anything that is the result of frying, be it edible, fries, or not, as results of chemical operations, ash, potash",10,1,1
aragon (an autonomous community and medieval kingdom in northeastern spain),10,1,1
ahura,10,1,0
"araruna (a town and municipality of paraná, brazil)",10,1,1
steep (of a near-vertical gradient),10,1,1
"sand, gravel",10,1,1
algiers (the capital city of algeria),10,1,1
female equivalent of argentier,10,1,1
"a female given name from ancient greek, equivalent to english ariadne",10,1,1
money falsification,10,1,1
"cylinder, tank (round, usually pressurized container)",10,1,1
a city of the western part of umbria,10,1,1
arnhem (city in the netherlands),10,1,1
"arnstadt (a town in thuringia, germany)",10,1,1
"jay, jaybird",10,1,0
daring (willing to take on risks),10,1,1
big-breasted,10,1,1
artist,10,1,1
artistic,10,1,0
"value, worth (quality (positive or negative) that renders something desirable or valuable)",10,1,1
brother-in-arms,10,1,1
a newt or lizard.,10,1,1
aslo (anti-streptolysin o),10,1,1
to reel; wind up,10,1,1
splinter,10,1,0
"to incite, rouse, stir up, instigate, provoke, excite",10,1,1
non-attributive possessive singular of athén,10,1,1
atom (particle),10,1,1
attic (style); a type of decorative wall,10,1,1
"to augment, increase",10,1,1
the common starling (sturnus vulgaris),10,1,1
arab; arabian,10,1,0
"spacious, open, wide open",10,1,1
female equivalent of avo ("ancestor"),10,1,1
avellino (a town and province of italy),10,1,1
"the former, the first",10,1,1
stallion (uncastrated male horse),10,1,1
to predate [with op],10,1,1
"mercury, quicksilver",10,1,1
wop (especially an italian immigrant),10,1,0
"bacoor (a city in cavite, philippines)",10,1,1
"to test, to probe (to check the medical state of a patient or have one's own medical state checked)",10,1,1
badalona (a city in spain),10,1,1
badminton,10,1,1
"used other than figuratively or idiomatically: بد (bad, "bad") + رنگ (rang, "color").",10,1,1
baize,10,1,0
baker (person that produces and sells bread and cakes),10,1,1
whining,10,1,1
second-person plural subjunctive i of nölen,10,1,1
"delightful, joyous",10,1,0
baikal (lake),10,1,1
"risk (possible, usually negative, outcome, e.g., a danger)",10,1,1
"a village in gemert-bakel, north brabant, netherlands",10,1,1
superessive singular of bak,10,1,1
hamper (large basket),10,1,1
"child, baby",10,1,1
whale calf,10,1,1
"waterman, boatman, ferryman",10,1,0
a native or inhabitant of bamberg,10,1,1
a bank of marl clay,10,1,1
that which obstructs one's free will and free action; a restraint.,10,1,1
"announcement, notice, call",10,1,1
"to feel dread or fear, especially for someone else without being able to do something about it.",10,1,1
ban (subdivision of romanian leu),10,1,1
"vegetables, green plants, herbs",10,1,1
"hut, hovel",10,1,1
barbet (all senses),10,1,1
barbuda,10,1,0
barrel (round vessel made from staves bound with a hoop),10,1,1
third-person singular past historic of baréter,10,1,1
barium,10,1,0
apocopic form of barjot,10,1,1
"barnaul (a city, the administrative center of altai krai, russia)",10,1,1
scabbard,10,1,0
"white lead, ceruse",10,1,1
"periwinkle, vinca",10,1,0
"swarthy, dark-skinned",10,1,1
basel (a city in switzerland),10,1,1
basketball,10,1,1
verbal noun of بَسَرَ (basara) (form i),10,1,1
bassoon (musical instrument in the woodwind family),10,1,1
"to be concealed, to be hidden",10,1,1
"goods, wares, commodity, merchandise",10,1,1
lesser bulrush,10,1,1
a bat (as in baseball bat),10,1,1
beater; carpet beater,10,1,0
"-ship, -hood",10,1,1
verbal noun of بَالَ (bāla) (form i),10,1,1
"to be fresh, to be still moist, to be yet soft",10,1,1
"a clergyman, usually in christianity",10,1,1
"a village in hengelo, overijssel, netherlands",10,1,1
"barrel, tun, keg",10,1,1
"the name of the latin script letter b/b, called bee in english.",10,1,1
first/third-person singular preterite of befinden,10,1,1
to give birth to,10,1,1
snipe,10,1,0
resin (viscous liquid of plant origin),10,1,1
belarus (a country in eastern europe),10,1,1
"a village in the province of cosenza, calabria, italy",10,1,1
"rescue, salvage (act of recovering or bringing to safety)",10,1,1
"a female given name, variant of birgitta or birgitte",10,1,1
"berkelium (chemical element, bk, atomic number 97)",10,1,1
"a town, the administrative seat of salzlandkreis district, saxony-anhalt; official name: bernburg (saale)",10,1,1
"bernon (a commune of the department of aube, champagne, grand est, france)",10,1,1
"berthold, bertolt",10,1,0
"talk, discussion",10,1,1
"female equivalent of ара́б (aráb): female arab, female arabian",10,1,1
"a small shop within another building / institution (such as a railway/railroad station, airport etc.)",10,1,1
"bhubaneswar (a city, the state capital of odisha, india)",10,1,1
second-person singular voseo present subjunctive of jaquir,10,1,1
"bialystok (the capital city of podlaskie voivodeship, poland)",10,1,1
a shack (poorly constructed building),10,1,1
munster form of déan,10,1,1
preterite plural of bīdan,10,1,1
"loose change, small change, change, coins (coins of lower value)",10,1,1
techno,10,1,0
carriage (luxury horse-drawn vehicle),10,1,1
"a bishop (church official, head of a diocese)",10,1,1
"to flap using something, to flutter using something [with dative]",10,1,1
"a dish or low candelabrum with a handle, used as a candleholder",10,1,1
a metal strip with holes,10,1,1
slender amaranth (amaranthus viridis),10,1,1
to lighten,10,1,1
stigma (the sticky part of a flower that receives pollen during pollination),10,1,1
"twin, similar",10,1,1
blues (depression),10,1,1
"electromagnetic coil or inductor, a spiral of conductive wire through which electricity can flow",10,1,1
bowl (ball thrown in the game of bowls),10,1,1
to inhale gas for intoxicating purposes,10,1,1
"beetle, bug",10,1,1
god (deity or supreme being),10,1,1
pre-reform spelling (used until 1990) of boia; still used where the agreement hasn't come into effect and may occur as a sporadic misspelling,10,1,1
third-person singular past historic of boiter,10,1,1
beech (tree and wood),10,1,1
bologna (a city in italy),10,1,1
"artilleryman, bombardier",10,1,0
firefighter,10,1,0
"a small-denomination coin, penny",10,1,1
windshield,10,1,0
"suffix used to form diminutives, especially with an endearing connotation",10,1,1
"bean, especially a coffee bean",10,1,1
jimsonweed,10,1,0
"to limit, confine",10,1,1
wine (storing wine),10,1,1
young female sheep,10,1,1
"pea (a plant, pisum sativum)",10,1,1
"catch (the act of catching an object in motion, especially a ball)",10,1,1
bosphorus,10,1,0
botanist,10,1,0
"butter, a spread made from churned milk",10,1,1
second-person plural subjunctive ii of bieten,10,1,1
to help; to aid,10,1,1
"blood sausage, black pudding",10,1,1
twig; branch,10,1,1
any material used for stuffing,10,1,1
"she-ass, jenny (female donkey)",10,1,1
bracatinga,10,1,0
"fine, excellent",10,1,1
third-person singular past historic of bramer,10,1,1
brown horse,10,1,1
frieze,10,1,0
"place name of several villages, towns and other places in germany",10,1,1
"breast, chest",10,1,1
"brink, edge, bank (especially down to a stream, lake, etc.)",10,1,1
"brodnica (a town in kuyavian-pomeranian voivodeship, poland)",10,1,1
"a hamlet in cranendonck, north brabant, netherlands",10,1,1
small vegetable garden,10,1,1
"tumult, outcry",10,1,0
"a city and former municipality of bronckhorst, gelderland, netherlands",10,1,1
singulative of bronn ("rushes"),10,1,1
hutterite colony,10,1,1
third-person singular past historic of brumer,10,1,1
"account, reckoning",10,1,1
"noise, static (the sound of bad speakers and the like)",10,1,1
abrupt (sudden or hasty),10,1,1
maw (stomach of an animal),10,1,1
"to bend down, to stoop",10,1,1
slender form of -ail,10,1,1
preterite plural of bugan,10,1,1
wiggle; wobble; tilt,10,1,1
bulldozer (tractor),10,1,0
"senile, demented",10,1,0
"schoenoplectus lacustris (lakeshore bulrush, common club-rush)",10,1,1
shade; hue; a certain part in a spectrum of colors,10,1,1
"rookie, sprog (raw recruit)",10,1,1
a pelvic thrust (during sex and otherwise),10,1,1
"oxhide, animal skin",10,1,1
bustier (a tight-fitting women's top),10,1,1
second-person singular past historic of buter,10,1,1
"bodily, physical",10,1,1
"child, son, descendant; young man, youth",10,1,1
"hairy, long-haired (having a lot of hair)",10,1,1
"cute, adorable",10,1,1
"cyclanthera pedata, a south american vine cultivated for its fruit.",10,1,1
"storehouse, shop, workshop",10,1,1
nimble; quick,10,1,1
"bay, cove, inlet",10,1,1
"calapan (a city, the provincial capital of oriental mindoro, philippines)",10,1,1
"calatayud (a town and municipality of zaragoza, aragon, spain)",10,1,1
chalco-,10,1,0
"a type of stew, normally made with fish but also with other ingredients",10,1,1
calinda,10,1,0
calends (first day of the roman month),10,1,1
caliph (political leader of the muslim world),10,1,1
"to give up, to renounce (-ról/-ről)",10,1,1
"a commune of teleorman county, romania",10,1,1
"bracket, parenthesis",10,1,0
a small town near arezzo in tuscany; the home of a benedictine order,10,1,1
bedroom (or similar small room),10,1,1
"odorless, solid fat obtained from coconut flesh or rapeseed, used for making margarine or frying donuts",10,1,1
miner (bird of genus geositta)),10,1,1
"champion, champ (informal address)",10,1,1
khanate (the realm of a khan),10,1,1
"sconce, lamp, torch",10,1,1
"to booze, to indulge in strong drink",10,1,1
"to cause striations, stretch marks or grooves in (e.g. with a plow), to groove, to flute, to furrow",10,1,1
shinguard (piece of apparel to protect the shin),10,1,1
"canine, cuspid",10,1,1
"to look for, search after.",10,1,1
second-person singular voseo imperative of notar,10,1,1
hood of an automobile,10,1,1
"to put, to push fiercely",10,1,1
"to take care, to care",10,1,1
"czardas, csardas (hungarian dance)",10,1,1
cardinal (of fundamental importance),10,1,1
lent,10,1,1
keel (of a ship),10,1,1
