english,group,why,role,uses,head
hertz,world,named thing,noun,0,0
hidden,world,named thing,verb,0,0
hierarchy,world,named thing,noun,0,0
hinge,world,named thing,noun,0,0
hiss,world,named thing,noun,0,0
hitch,world,named thing,noun,0,0
hive,world,named thing,noun,0,0
holder,world,named thing,noun,0,0
holiday,world,named thing,noun,0,0
horizon,world,named thing,noun,0,0
hormone,world,named thing,noun,0,0
hover,world,named thing,noun,0,0
howl,world,named thing,verb,0,0
humiliate,world,named thing,verb,0,0
humility,world,named thing,noun,0,0
hump,world,named thing,noun,0,0
hut,world,named thing,noun,0,0
hybrid,world,named thing,adjective,0,0
hydrogen,world,named thing,noun,0,0
hypocrite,world,named thing,noun,0,0
hypothesis,world,named thing,noun,0,0
identical,world,named thing,adjective,0,0
idle,world,named thing,adjective,0,0
ignite,world,named thing,verb,0,0
immediate,world,named thing,adjective,0,0
import,world,named thing,verb,0,0
impulse,world,named thing,noun,0,0
inch,world,named thing,noun,0,0
incorporate,world,named thing,verb,0,0
independent,world,named thing,adjective,0,0
index,world,named thing,verb,0,0
indicate,world,named thing,verb,0,0
induce,world,named thing,verb,0,0
indulge,world,named thing,verb,0,0
inertia,world,named thing,noun,0,0
inevitable,world,named thing,adjective,0,0
inflammation,world,named thing,noun,0,0
ingredient,world,named thing,noun,0,0
inject,world,named thing,verb,0,0
innocent,world,named thing,adjective,0,0
input,world,named thing,noun,0,0
insensitive,world,named thing,adjective,0,0
insight,world,named thing,noun,0,0
inspect,world,named thing,verb,0,0
institution,world,named thing,noun,0,0
insure,world,named thing,verb,0,0
integrate,world,named thing,verb,0,0
intellect,world,named thing,noun,0,0
interior,world,named thing,noun,0,0
intermittent,world,named thing,adjective,0,0
interpret,world,named thing,verb,0,0
intervene,world,named thing,noun,0,0
intimidate,world,named thing,verb,0,0
introduce,world,named thing,verb,0,0
intrude,world,named thing,verb,0,0
invade,world,named thing,verb,0,0
invent,world,named thing,verb,0,0
inverse,world,named thing,noun,0,0
invest,world,named thing,verb,0,0
invoke,world,named thing,verb,0,0
iodine,world,named thing,noun,0,0
iris,world,named thing,noun,0,0
irrigate,world,named thing,verb,0,0
itch,world,named thing,noun,0,0
jab,world,named thing,noun,0,0
jack,world,named thing,noun,0,0
jagged,world,named thing,adjective,0,0
junction,world,named thing,noun,0,0
jungle,world,named thing,noun,0,0
junk,world,named thing,noun,0,0
kangaroo,world,named thing,noun,0,0
keel,world,named thing,verb,0,0
kelvin,world,named thing,noun,0,0
keyboard,world,named thing,noun,0,0
kneel,world,named thing,verb,0,0
known,world,named thing,adjective,0,0
lag,world,named thing,verb,0,0
lame,world,named thing,adjective,0,0
lap,world,named thing,verb,0,0
larynx,world,named thing,noun,0,0
lava,world,named thing,noun,0,0
layer,world,named thing,noun,0,0
leech,world,named thing,verb,0,0
legitimate,world,named thing,adjective,0,0
length,world,named thing,noun,0,0
lenient,world,named thing,adjective,0,0
lesion,world,named thing,noun,0,0
liberty,world,named thing,noun,0,0
lightning,world,named thing,noun,0,0
likely,world,named thing,adjective,0,0
lily,world,named thing,noun,0,0
lime,world,named thing,noun,0,0
linen,world,named thing,noun,0,0
loaf,world,named thing,noun,0,0
lobster,world,named thing,noun,0,0
locate,world,named thing,verb,0,0
lonely,world,named thing,adjective,0,0
loot,world,named thing,verb,0,0
lore,world,named thing,noun,0,0
lost,world,named thing,adjective,0,0
lot,world,named thing,noun,0,0
lust,world,named thing,verb,0,0
magnesium,world,named thing,noun,0,0
magnificent,world,named thing,adjective,0,0
magnitude,world,named thing,noun,0,0
major,world,named thing,adjective,0,0
mandate,world,named thing,verb,0,0
mane,world,named thing,noun,0,0
manifest,world,named thing,verb,0,0
manual,world,named thing,adjective,0,0
manufacture,world,named thing,verb,0,0
marker,world,named thing,noun,0,0
marrow,world,named thing,noun,0,0
marvel,world,named thing,noun,0,0
matrix,world,named thing,noun,0,0
maze,world,named thing,noun,0,0
meadow,world,named thing,noun,0,0
media,world,named thing,noun,0,0
melancholy,world,named thing,noun,0,0
melon,world,named thing,noun,0,0
membrane,world,named thing,noun,0,0
mend,world,named thing,verb,0,0
merit,world,named thing,verb,0,0
merry,world,named thing,adjective,0,0
metabolism,world,named thing,noun,0,0
metaphor,world,named thing,noun,0,0
midnight,world,named thing,noun,0,0
mile,world,named thing,noun,0,0
miracle,world,named thing,noun,0,0
mixture,world,named thing,noun,0,0
module,world,named thing,noun,0,0
momentum,world,named thing,noun,0,0
monitor,world,named thing,verb,0,0
monkey,world,named thing,verb,0,0
monument,world,named thing,noun,0,0
mosquito,world,named thing,noun,0,0
moss,world,named thing,noun,0,0
moth,world,named thing,noun,0,0
motor,world,named thing,noun,0,0
mumble,world,named thing,verb,0,0
murky,world,named thing,adjective,0,0
museum,world,named thing,noun,0,0
mutant,world,named thing,noun,0,0
muzzle,world,named thing,noun,0,0
myth,world,named thing,noun,0,0
nasty,world,named thing,adjective,0,0
natural,world,named thing,adjective,0,0
navel,world,named thing,noun,0,0
navigate,world,named thing,verb,0,0
nectar,world,named thing,noun,0,0
neglect,world,named thing,verb,0,0
newton,world,named thing,noun,0,0
niche,world,named thing,noun,0,0
nickel,world,named thing,noun,0,0
nitrogen,world,named thing,noun,0,0
nobody,world,named thing,noun,0,0
norm,world,named thing,noun,0,0
nostalgia,world,named thing,noun,0,0
nostril,world,named thing,noun,0,0
nude,world,named thing,adjective,0,0
nurture,world,named thing,verb,0,0
nylon,world,named thing,noun,0,0
obligation,world,named thing,noun,0,0
oblige,world,named thing,noun,0,0
obscure,world,named thing,adjective,0,0
obstruct,world,named thing,verb,0,0
obtain,world,named thing,verb,0,0
octopus,world,named thing,noun,0,0
offense,world,named thing,noun,0,0
offset,world,named thing,verb,0,0
offspring,world,named thing,noun,0,0
oneself,world,named thing,noun,0,0
opaque,world,named thing,adjective,0,0
opening,world,named thing,verb,0,0
operate,world,named thing,verb,0,0
opponent,world,named thing,noun,0,0
opportunity,world,named thing,noun,0,0
oracle,world,named thing,noun,0,0
orb,world,named thing,noun,0,0
ordinary,world,named thing,adjective,0,0
orient,world,named thing,verb,0,0
outcome,world,named thing,noun,0,0
output,world,named thing,noun,0,0
overlap,world,named thing,verb,0,0
packet,world,named thing,noun,0,0
palate,world,named thing,verb,0,0
palsy,world,named thing,noun,0,0
par,world,named thing,noun,0,0
paradox,world,named thing,noun,0,0
paramount,world,named thing,noun,0,0
parcel,world,named thing,noun,0,0
parliament,world,named thing,noun,0,0
partial,world,named thing,adjective,0,0
participate,world,named thing,verb,0,0
pascal,world,named thing,noun,0,0
passenger,world,named thing,noun,0,0
paste,world,named thing,verb,0,0
pasture,world,named thing,noun,0,0
pat,world,named thing,noun,0,0
patter,world,named thing,noun,0,0
pavilion,world,named thing,noun,0,0
paw,world,named thing,noun,0,0
peck,world,named thing,noun,0,0
pedal,world,named thing,noun,0,0
peer,world,named thing,verb,0,0
peg,world,named thing,noun,0,0
pelvis,world,named thing,noun,0,0
penetrate,world,named thing,verb,0,0
peninsula,world,named thing,noun,0,0
pepper,world,named thing,noun,0,0
percent,world,named thing,noun,0,0
permeate,world,named thing,verb,0,0
perspective,world,named thing,noun,0,0
petal,world,named thing,noun,0,0
pheasant,world,named thing,noun,0,0
phenomenon,world,named thing,noun,0,0
phosphorus,world,named thing,noun,0,0
pillar,world,named thing,adjective,0,0
pillow,world,named thing,noun,0,0
pine,world,named thing,verb,0,0
ping,world,named thing,verb,0,0
pitch,world,named thing,noun,0,0
plank,world,named thing,noun,0,0
plasma,world,named thing,noun,0,0
plateau,world,named thing,noun,0,0
platinum,world,named thing,noun,0,0
plow,world,named thing,noun,0,0
poetry,world,named thing,noun,0,0
poise,world,named thing,noun,0,0
policy,world,named thing,noun,0,0
polish,world,named thing,verb,0,0
pond,world,named thing,noun,0,0
portal,world,named thing,noun,0,0
possess,world,named thing,verb,0,0
posture,world,named thing,noun,0,0
potassium,world,named thing,noun,0,0
potato,world,named thing,noun,0,0
pound,world,named thing,verb,0,0
precise,world,named thing,adjective,0,0
precision,world,named thing,noun,0,0
predator,world,named thing,noun,0,0
presume,world,named thing,noun,0,0
primate,world,named thing,noun,0,0
prime,world,named thing,adjective,0,0
primitive,world,named thing,adjective,0,0
prism,world,named thing,noun,0,0
probable,world,named thing,adjective,0,0
procedure,world,named thing,noun,0,0
profane,world,named thing,adjective,0,0
prophecy,world,named thing,noun,0,0
prose,world,named thing,noun,0,0
protein,world,named thing,noun,0,0
protocol,world,named thing,noun,0,0
provoke,world,named thing,verb,0,0
proxy,world,named thing,noun,0,0
prudent,world,named thing,adjective,0,0
pry,world,named thing,noun,0,0
puck,world,named thing,noun,0,0
pulp,world,named thing,noun,0,0
pump,world,named thing,verb,0,0
quantum,world,named thing,noun,0,0
quench,world,named thing,verb,0,0
quest,world,named thing,noun,0,0
queue,world,named thing,noun,0,0
quota,world,named thing,noun,0,0
rabbit,world,named thing,noun,0,0
radar,world,named thing,noun,0,0
radiant,world,named thing,adjective,0,0
radio,world,named thing,noun,0,0
radius,world,named thing,noun,0,0
rag,world,named thing,noun,0,0
ram,world,named thing,noun,0,0
ransom,world,named thing,noun,0,0
rape,world,named thing,verb,0,0
rat,world,named thing,verb,0,0
ratchet,world,named thing,noun,0,0
rattle,world,named thing,verb,0,0
receipt,world,named thing,noun,0,0
recess,world,named thing,noun,0,0
recipe,world,named thing,noun,0,0
reciprocate,world,named thing,verb,0,0
recommend,world,named thing,verb,0,0
recruit,world,named thing,noun,0,0
rectangle,world,named thing,noun,0,0
redeem,world,named thing,noun,0,0
reed,world,named thing,noun,0,0
reel,world,named thing,verb,0,0
reflex,world,named thing,noun,0,0
refrain,world,named thing,noun,0,0
refute,world,named thing,verb,0,0
regulate,world,named thing,verb,0,0
rehearse,world,named thing,verb,0,0
relapse,world,named thing,noun,0,0
relevant,world,named thing,adjective,0,0
relieve,world,named thing,verb,0,0
reluctant,world,named thing,adjective,0,0
remainder,world,named thing,noun,0,0
remorse,world,named thing,noun,0,0
render,world,named thing,verb,0,0
repetition,world,named thing,noun,0,0
replenish,world,named thing,verb,0,0
resemble,world,named thing,verb,0,0
reserve,world,named thing,verb,0,0
resonate,world,named thing,verb,0,0
restaurant,world,named thing,noun,0,0
restraint,world,named thing,noun,0,0
restrict,world,named thing,verb,0,0
resume,world,named thing,verb,0,0
retain,world,named thing,noun,0,0
retard,world,named thing,noun,0,0
retire,world,named thing,verb,0,0
retrieve,world,named thing,verb,0,0
revere,world,named thing,verb,0,0
revive,world,named thing,verb,0,0
revoke,world,named thing,verb,0,0
revolve,world,named thing,verb,0,0
rice,world,named thing,noun,0,0
riddle,world,named thing,noun,0,0
ridicule,world,named thing,noun,0,0
rift,world,named thing,noun,0,0
rig,world,named thing,noun,0,0
rigid,world,named thing,adjective,0,0
riot,world,named thing,verb,0,0
rip,world,named thing,verb,0,0
ripe,world,named thing,adjective,0,0
ripple,world,named thing,noun,0,0
ritual,world,named thing,noun,0,0
roar,world,named thing,verb,0,0
robust,world,named thing,adjective,0,0
roost,world,named thing,noun,0,0
rose,world,named thing,noun,0,0
rug,world,named thing,noun,0,0
rumble,world,named thing,noun,0,0
rupture,world,named thing,noun,0,0
rust,world,named thing,verb,0,0
sag,world,named thing,noun,0,0
sanctuary,world,named thing,noun,0,0
sarcasm,world,named thing,noun,0,0
sarcastic,world,named thing,adjective,0,0
satisfaction,world,named thing,noun,0,0
saturate,world,named thing,verb,0,0
scar,world,named thing,verb,0,0
scarce,world,named thing,adjective,0,0
scarf,world,named thing,noun,0,0
scorpion,world,named thing,noun,0,0
screech,world,named thing,verb,0,0
scroll,world,named thing,verb,0,0
scrub,world,named thing,noun,0,0
sculpture,world,named thing,noun,0,0
seam,world,named thing,noun,0,0
sector,world,named thing,noun,0,0
segment,world,named thing,noun,0,0
semen,world,named thing,noun,0,0
serene,world,named thing,adjective,0,0
serial,world,named thing,adjective,0,0
shaft,world,named thing,noun,0,0
shallow,world,named thing,adjective,0,0
shatter,world,named thing,verb,0,0
shin,world,named thing,noun,0,0
shiny,world,named thing,adjective,0,0
shrimp,world,named thing,noun,0,0
siege,world,named thing,noun,0,0
silicon,world,named thing,noun,0,0
simulate,world,named thing,verb,0,0
simultaneous,world,named thing,adjective,0,0
sincere,world,named thing,adjective,0,0
singular,world,named thing,adjective,0,0
sizzle,world,named thing,noun,0,0
skeleton,world,named thing,noun,0,0
skeptical,world,named thing,adjective,0,0
slab,world,named thing,noun,0,0
slack,world,named thing,adjective,0,0
slam,world,named thing,verb,0,0
slander,world,named thing,noun,0,0
slender,world,named thing,adjective,0,0
slit,world,named thing,verb,0,0
slot,world,named thing,noun,0,0
sloth,world,named thing,noun,0,0
slough,world,named thing,noun,0,0
slug,world,named thing,noun,0,0
smuggle,world,named thing,verb,0,0
smut,world,named thing,noun,0,0
snare,world,named thing,noun,0,0
socket,world,named thing,noun,0,0
soda,world,named thing,noun,0,0
sodium,world,named thing,noun,0,0
solemn,world,named thing,adjective,0,0
soot,world,named thing,noun,0,0
sorcery,world,named thing,noun,0,0
spar,world,named thing,noun,0,0
sparrow,world,named thing,noun,0,0
species,world,named thing,noun,0,0
sphincter,world,named thing,noun,0,0
splendid,world,named thing,adjective,0,0
sponge,world,named thing,noun,0,0
sprout,world,named thing,verb,0,0
spur,world,named thing,verb,0,0
squish,world,named thing,verb,0,0
stability,world,named thing,noun,0,0
stabilize,world,named thing,verb,0,0
stair,world,named thing,noun,0,0
stale,world,named thing,adjective,0,0
stall,world,named thing,verb,0,0
stamina,world,named thing,noun,0,0
starch,world,named thing,noun,0,0
stimulus,world,named thing,noun,0,0
stink,world,named thing,verb,0,0
storage,world,named thing,noun,0,0
stout,world,named thing,adjective,0,0
stranger,world,named thing,noun,0,0
streak,world,named thing,noun,0,0
stroke,world,named thing,verb,0,0
stuck,world,named thing,verb,0,0
stud,world,named thing,noun,0,0
stump,world,named thing,verb,0,0
sublime,world,named thing,adjective,0,0
submit,world,named thing,verb,0,0
subtle,world,named thing,adjective,0,0
sulfur,world,named thing,noun,0,0
summit,world,named thing,noun,0,0
summon,world,named thing,verb,0,0
sunrise,world,named thing,noun,0,0
sunset,world,named thing,noun,0,0
suppose,world,named thing,verb,0,0
surge,world,named thing,verb,0,0
surplus,world,named thing,noun,0,0
suspect,world,named thing,adjective,0,0
suspicion,world,named thing,noun,0,0
swarm,world,named thing,noun,0,0
swift,world,named thing,adjective,0,0
swirl,world,named thing,noun,0,0
symptom,world,named thing,noun,0,0
taboo,world,named thing,adjective,0,0
tack,world,named thing,verb,0,0
tact,world,named thing,noun,0,0
talon,world,named thing,noun,0,0
tan,world,named thing,verb,0,0
tang,world,named thing,noun,0,0
tar,world,named thing,noun,0,0
tattoo,world,named thing,noun,0,0
television,world,named thing,noun,0,0
tempo,world,named thing,noun,0,0
tend,world,named thing,verb,0,0
tense,world,named thing,adjective,0,0
tesla,world,named thing,noun,0,0
therapy,world,named thing,noun,0,0
thorn,world,named thing,noun,0,0
thrive,world,named thing,verb,0,0
thumb,world,named thing,noun,0,0
thunder,world,named thing,noun,0,0
tick,world,named thing,verb,0,0
tickle,world,named thing,noun,0,0
tide,world,named thing,verb,0,0
toil,world,named thing,noun,0,0
tolerate,world,named thing,verb,0,0
toll,world,named thing,verb,0,0
tornado,world,named thing,noun,0,0
torso,world,named thing,noun,0,0
tour,world,named thing,verb,0,0
tract,world,named thing,verb,0,0
traffic,world,named thing,noun,0,0
trajectory,world,named thing,noun,0,0
trample,world,named thing,verb,0,0
trance,world,named thing,noun,0,0
transit,world,named thing,noun,0,0
transition,world,named thing,verb,0,0
transmit,world,named thing,noun,0,0
trauma,world,named thing,noun,0,0
trespass,world,named thing,noun,0,0
tribute,world,named thing,verb,0,0
tropical,world,named thing,adjective,0,0
truce,world,named thing,noun,0,0
trumpet,world,named thing,noun,0,0
trunk,world,named thing,noun,0,0
tuck,world,named thing,verb,0,0
tug,world,named thing,noun,0,0
tuna,world,named thing,noun,0,0
turkey,world,named thing,noun,0,0
turtle,world,named thing,noun,0,0
ugly,world,named thing,adjective,0,0
ulcer,world,named thing,noun,0,0
ultimate,world,named thing,adjective,0,0
undergo,world,named thing,verb,0,0
undo,world,named thing,verb,0,0
unusual,world,named thing,adjective,0,0
utter,world,named thing,adjective,0,0
vacuum,world,named thing,verb,0,0
vagina,world,named thing,noun,0,0
vain,world,named thing,adjective,0,0
valve,world,named thing,noun,0,0
vast,world,named thing,adjective,0,0
vector,world,named thing,noun,0,0
veil,world,named thing,noun,0,0
venture,world,named thing,verb,0,0
vice,world,named thing,noun,0,0
village,world,named thing,noun,0,0
vine,world,named thing,noun,0,0
violet,world,named thing,noun,0,0
virgin,world,named thing,noun,0,0
virtue,world,named thing,noun,0,0
volt,world,named thing,noun,0,0
voluntary,world,named thing,adjective,0,0
voyage,world,named thing,noun,0,0
vulnerable,world,named thing,adjective,0,0
wagon,world,named thing,noun,0,0
ward,world,named thing,noun,0,0
warp,world,named thing,verb,0,0
wart,world,named thing,noun,0,0
wasp,world,named thing,noun,0,0
weasel,world,named thing,noun,0,0
wedge,world,named thing,noun,0,0
weed,world,named thing,verb,0,0
weep,world,named thing,verb,0,0
weigh,world,named thing,verb,0,0
weld,world,named thing,verb,0,0
welfare,world,named thing,noun,0,0
whale,world,named thing,noun,0,0
wheat,world,named thing,noun,0,0
whiff,world,named thing,noun,0,0
whip,world,named thing,verb,0,0
whisper,world,named thing,verb,0,0
whistle,world,named thing,verb,0,0
wick,world,named thing,verb,0,0
wicked,world,named thing,adjective,0,0
willing,world,named thing,adjective,0,0
wink,world,named thing,noun,0,0
wit,world,named thing,noun,0,0
wolf,world,named thing,noun,0,0
wound,world,named thing,verb,0,0
wreck,world,named thing,verb,0,0
yawn,world,named thing,verb,0,0
yearn,world,named thing,verb,0,0
yeast,world,named thing,noun,0,0
yum,world,named thing,noun,0,0
zap,world,named thing,noun,0,0
zinc,world,named thing,noun,0,0
