svaduq,,grape/berry,,svādú,स्वादु,sanskrit,
sliqaj,,sling,,,,,
slisan,,pardon,,slicha,סְלִיחָה,hebrew,
sledat,,sled,,,,,
sletoC,,slate,,,,,
sleCiq,,slay,,,,,
slagat,,boast,,,श्लाघते,sanskrit,
slagor,,swagger,,,,english,
sladal,,swaddle,,,,english,
slator,,slaughter,,,,english,
slasiz,,slice,,,,,
slaxiz,,slosh,,,,english,
slaraz,,slur,,,,,
slunik,,swoon,,,,english,
slunap,,slew,,,,,
srilas,,sale,,,,,
srotas,,current (river),,,स्रोतस्,sanskrit,
finsup,,incinerate,,fenhua,焚化,chinese,
fiqgor,,finger,,,,english,
fiqdug,,poise,,fengdu,风度,chinese,
fidjik,,fidget,,,,english,
fitxir,,fantastic,,feichi,飞驰,chinese,
fistan,,feast,,,,,
fiClat,,violin,,,fiðla,icelandic,
filmat,,film (residue),,,,,
filfil,,pepper (vegetable),,filfil,فِلْفِل,arabic,
fendac,,fend,,,,,
fendul,,struggle,,fèndòu,奋斗,chinese,
fentik,,faint,,,,,
fensan,,diffract,,fēnsàn,分散,chinese,
fenxip,,analysis,,fēnxī,分析,chinese,
fenlaq,,heft,,fèn liàng,分量,chinese,
feqmin,,honey,,fengmi,蜂蜜,chinese,
feqget,,signature,,fēnggé,风格,chinese,
fedjul,,fad,,,,,
fedret,,federate,,,,english,
fetxaq,,extraordinary,,fēicháng,非常,chinese,
fevrat,,favorite,,,,english,
fezant,,pheasant,,,,english,
fandic,,found,,,,,
fandex,,foundation,,,,english,
fandal,,magnify,,fangda,放大,chinese,
fanteq,,writhe,,fān téng,翻腾,chinese,
fantan,,rebound,,fǎntán,反弹,chinese,
fantom,,phantom,,,,english,
fansik,,fantasy,,,,,
fansur,,find out,,,,,
fanfev,,fan (favorite),,,,,
faqmul,,graze,,fangmu,放牧,chinese,
faqguk,,foul,,fanggui,犯规,chinese,
faqdud,,demeanor,,fengdu,风度,chinese,
faqban,,handy,,fāng biàn,方便,chinese,
faqzik,,deter,,fángzhǐ,防止,chinese,
faqxaq,,aroma,,fāng xiāng,芳香,chinese,
fadjat,,fudge,,,,,
fadjal,,radish (vegetable),,al-fajal,الفجل,arabic,
fabrik,,fabric,,,,english,
fatorn,,factory,,,,english,
fatzot,,compensate,,lefatz(o)t,לְפַצּוֹת,hebrew,
faksoC,,fax,,,,,
fastet,,facilitate,,,,english,
faslam,,bean (vegetable),,fasulya,فاصوليا,arabic,
faxpix,,rummage,,lefaxp(e)x,לְפַשְׁפֵּשׁ,hebrew,
faltor,,falter,,,,,
falkan,,falcon,,,,english,
falsan,,file (sand),,,,,
falfil,,fulfil,,,,,
farmiq,,farm (activity),,,,,
farbix,,refurbish,,,,,
farpir,,twitch,,lefaRp(e)R,לְפַרְפֵּר,hebrew,
farkis,,squirm,,lefaRk(e)s,לְפַרְכֵּס,hebrew,
farsim,,publish,,lefaRs(e)m,לְפַרְסֵם,hebrew,
fomant,,foment,,,,,
fonten,,fountain,,,,english,
fostat,,foist,,,,,
foxdol,,foreshadow,,,,english,
foledj,,foliage,,,,english,
folnam,,foil,,,,,
folsur,,fill out,,,,,
folfil,,fulfill,,,,,
folras,,fill in,,,,,
formik,,ant,,,,,
formag,,former,,,,english,
format,,format,,,,english,
formal,,formal,,,,english,
forgiv,,forgive,,,,english,
forgok,,forgo,,,,english,
fordal,,ford,,,,,
forkov,,fork,,,,,
forsiC,,foresee,,,,,
forCor,,further,,,,,
forCun,,makeup,,,förðun,icelandic,
fumget,,fumigate,,,,,
fudjim,,tag,,fùjiā,附加,chinese,
furnis,,furnace,,,,,
furnaq,,fern,,,,,
flidan,,flee,,,,,
flibur,,flea,,,,,
flikot,,flick,,,,,
flebar,,ebb,,,,,
flekiC,,flake,,,,,
flesiq,,flay,,,,,
flanaq,,flaw,,,,english,
fladur,,flatter,,,,,
flaboz,,flab,,,,,
flapan,,flap,,,,,
flogem,,phloem,,,,english,
flogat,,flog,,,,,
florix,,flourish,,,,,
fluman,,butterfly,,,,,
flutan,,flute,,,,english,
fretip,,fret (get upset),,,,,
fretak,,fret,,,,,
frez,,phrase,,,,english,
freCin,,frost,,,freðinn,icelandic,
freliq,,fray,,,,,
vinkak,,lemming,,avinnqaq,ᐊᕕᙵᖅ,inuktitut,
vidjan,,young,,vijana,,swahili,
vikram,,pace,,vikrama,विक्रम,sanskrit,
vixnun,,preserve/store/save,,,,,
viladj,,village,,,,,
viralm,,overwhelm,,,,,
ventaz,,vent,,,,,
vental,,eventual,,,,,
venret,,venerate,,,,english,
vektar,,vector (math),,,,english,
vestan,,vest (let sit),,,,,
vampir,,vampire,,,,english,
vantaj,,advantage,,,,english,
vagron,,vine,,,,,
vapret,,evaporate,,,,,
vatzir,,reinforce,,levatz(e)R,לְבַצֵּר,hebrew,
vatlaz,,revitalize,,,,english,
vaksin,,vaccine,,,,english,
vakrin,,crooked,,vakrin,वक्रिन्,sanskrit,
vastav,,genuine,,vAstava,वास्तव,sanskrit,
valdet,,validate,,,,,
valbal,,confuse,,levalb(e)l,לְבַלְבֵּל,hebrew,
valtir,,volunteer,,,,,
valtov,,vault,,,,,
varnix,,varnish,,,,english,
vardik,,verdict,,,,english,
vardat,,elevate,,várdhati,वर्धति,sanskrit,
voldor,,folder,,,,english,
volkan,,volcano,,volcano,,english,
vorbal,,verbal,,,,,
vortaz,,advertise,,,,english,
vorjan,,version,,,,,
vucrik,,catch up,,,,,
vulpes,,fox,,vulpes,,latin,
vramat,,stop,,,विराम,sanskrit,
vranan,,sore,,vraṇa,व्रण,sanskrit,
zindaq,,oscillate,,zhendang,振荡,chinese,
zigzag,,zigzag,,,,,
zidjek,,direct (immediate),,zhíjiē,直接,chinese,
zidjul,,sentience,,zhijue,知觉,chinese,
ziprat,,zip,,,,,
zitxum,,spend,,zhichu,支出,chinese,
zikxur,,philosophy,,zhexue,哲学,chinese,
zizant,,representative,,,,,
zenton,,monotone,,,,,
zenxip,,authentic,,zhēn shí,真实,chinese,
zeqdul,,scramble,,zhengduo,争夺,chinese,
zeqzit,,politics,,zhèngzhì,政治,chinese,
zeqzik,,integrity,,zhengzhi,正直,chinese,
zeqzam,,flounder,,zhēngzhá,挣扎,chinese,
zetzol,,pucker,,zhezhou,皱褶,chinese,
zestok,,zest,,,,english,
zampol,,example,,,,english,
zamrer,,fright,,letzamR(e)R,לְצַמְרֵר,hebrew,
zanzim,,transpose,,zhuanzhi,转置,chinese,
zanzeq,,war,,zhàn zhēng,战争,chinese,
zanlan,,exhibit,,zhanlan,展览,chinese,
zanret,,exonerate,,,,,
zaqkan,,scene,,zhuàngkuàng,状况,chinese,
zaqlip,,funeral,,zàng lǐ,葬礼,chinese,
zadjim,,acrobat,,zá jì,杂技,chinese,
zakgal,,lousy,,zaogao,糟糕,chinese,
zaklan,,beard,,zakan,זָקָן,hebrew,
zasbet,,exacerbate,,,,english,
zalzek,,marsh (land),,zhaoze,沼泽,chinese,
zalret,,exhilarate,,,,,
zondak,,crucial,,zhòngdà,重大,chinese,
zonsur,,zone out,,,,,
zonlaq,,weight,,zhòng liàng,重量,chinese,
zokvun,,try on,,,,,
zunben,,intend,,zhǔnbèi,准备,chinese,
pripar,,prepare,,,,english,
zunxok,,comply,,zunshou,遵守,chinese,
zutxik,,enroll,,zhuce,注册,chinese,
zukxiq,,offence,,zuixing,罪行,chinese,
jakter,,chat,,jacter,,french,
jasten,,joust,,joute,,french,
jontif,,contiguous,,jointif,,french,
jonxer,,scatter,,joncher,,french,
joqkil,,daffodil,,jonquille,,french,
junral,,general,,,,english,
ximbal,,pod (flower),,shimba,शिम्ब,sanskrit,
flastor,,flustered,,,,english,
xinkak,,euphoric,,xīn kuài,欣快,chinese,
xinlin,,psychology,,xinli,心理,chinese,
kled,,credit,,,,,
vivad,,vivid,,,,english,
morf,,morph,,,,english,
xigraq,,routine,,shigra,שִׁגְרָה,hebrew,
xidjiz,,literal,,shíjì,实际,chinese,
xidjik,,detail,,xijie,细节,chinese,
xidjeq,,mundane,,shìjiè,世界,chinese,
xidjan,,practice,,shí jiàn,实践,chinese,
xitxiq,,season (period),,shíqí,时期,chinese,
xikdam,,chic,,,,,
xikvan,,level,,shichva,שִׁכְבָה,hebrew,
xistok,,schist,,,,,
xivral,,shrivel,,,,,
xentip,,frame,,shēntǐ,身体,chinese,
xenxeq,,sacred,,shensheng,神圣,chinese,
xedjip,,implicate,,shèjí,涉及,chinese,
xambol,,shamble,,,,english,
xampen,,champagne,,,,,
xamlan,,underneath,,xiàmiàn,下面,chinese,
xandik,,perfume,,xiāng shuǐ,香水,chinese,
xanbiq,,pie,,xiàn,馅饼,english,,condemn,,xuānbù,宣佈,chinese,
xansot,,clue,,xiàn suǒ,线索,chinese,
xanzim,,restrict,,xiànzhì,限制,chinese,
xanzan,,rotate,,xuanzhuan,旋转,chinese,
xanxim,,slender,,xianxi,纤细,chinese,
xanxit,,argue,,xiǎnshì,显示,chinese,
xanxik,,reality,,xiàn shí,现实,chinese,
xanxaq,,phenomenon,,xiànxiàng,现象,chinese,
xanxup,,adept,,xián shú,娴熟,chinese,
xanlaq,,hearty,,shuǎng lǎng,爽朗,chinese,
xaqman,,authority,,shàngmiàn,上面,chinese,
xaqgaq,,glisten,,shanguang,闪光,chinese,
xaqdal,,anticipate,,xiǎngdào,想到,chinese,
xaqfaq,,counterpart,,shuangfang,对方,chinese,
xaqzaq,,twiddle,,xuanzhuan,旋转,chinese,
xagrir,,envoy,,shagrir,שַׁגְרִיר,hebrew,
xadist,,shroud,,,,,
xadrig,,upgrade,,lexadR(e)g,לְשַׁדְרֵג,hebrew,
xabitz,,assign,,lexab(e)tz,לְשַׁבֵּץ,hebrew,
xapetz,,renovate,,lexap(e)tz,לְשַׁפֵּץ,hebrew,
xapord,,shepherd,,,,english,
xaprat,,shop,,,,,
xatxuk,,sag,,xiachui,下垂,chinese,
xakzir,,restore,,lexaHz(e)R,לְשַׁחְזֵר,hebrew,
xakran,,wheel,,cakra,चक्र,sanskrit,
xaskur,,ask out,,,,,
xalxan,,lily,,shoshan,שׁוֹשָׁן,hebrew,
xalren,,villain,,xiǎo rén,小人,chinese,
xarotz,,infest,,lixR(o)tz,לִשְׁרוֹץ,hebrew,
xopsak,,dashing,,xiaosa,潇洒,chinese,
xolgoq,,handmade,,shǒu gōng,手工,chinese,
xoldal,,receipt,,shōudào,收到,chinese,
xolxip,,punctual,,shǒu shí,守时,chinese,
xolrik,,show up,,,,,
xuntat,,shun,,,,,
xunlan,,drill (training),,xùnliàn,训练,chinese,
xunrax,,shoe,,,,english,
xudjan,,trim,,xiū jiǎn,修剪,chinese,
xubtuk,,slump,,shuaitui,衰退,chinese,
xutxik,,shame,,xiū chǐ,羞耻,chinese,
xutxuq,,export,,shūchū,输出,chinese,
xulrul,,debilitate,,xuruo,虚弱,chinese,
xninan,,wit,,shnina,שְׁנִינָה,hebrew,
xkidaq,,persevere,,shkida,שְׁקִידָה,hebrew,
xkilaq,,consider,,shkila,שְׁקִילָה,hebrew,
xlikut,,mission,,shlichut,שְׁלִיחוּת,hebrew,
xredat,,shred,,,,english,
cimrak,,theme,,,,english,
cintan,,thin,,,,,
citarq,,get along,,,,,
cistut,,institute,,,,english,
cislas,,unless,,,,,
centor,,short,,,,,
ceksaz,,excise,,,,english,
cespaz,,espouse,,,,english,
camput,,impute,,,,,
canmex,,enmesh,,,,,
candor,,thunder,,thunder,,english,
canlez,,analyze,,,,english,
cadruq,,thud,,,,,
capmaz,,optimize,,,,english,
catmet,,automate,,,,english,
catmaz,,itemize,,,,,
catxar,,chair,,,,english,
carkat,,bargain,,,þjarka,icelandic,
carkav,,archive,,,,english,
covkam,,overcome,,,,english,
covluk,,overlook,,,,english,
cornam,,thorn,,,þorn,icelandic,
cugram,,gap,,ṯuḡra,ثُغْرَة,arabic,
cukbat,,hollow,,ṯuqba,ثُقْبَة,arabic,
cuvorz,,reverse,,,,,
crilag,,thrill,,,,english,
cretan,,threaten,,,,,
crelak,,toil,,,þræla,icelandic,
cradiq,,thread,,,,,
cratol,,throttle,,,,,
craxak,,thrash,,,,,
cronam,,throne,,,,english,
cropod,,arthropod,,,,english,
crumas,,thrum,,,,,
crugal,,nonsense (rubbish),,,þrugl,icelandic,
madj,,image,,,,english,
yiqban,,strain (force),,yìng biàn,应变,chinese,
yiqful,,cope,,yingfu,应付,chinese,
yiqral,,linger,,yingrao,萦绕,chinese,
yitxiergoteenyinci,因此,chinese,
yeqkoC,,yank,,,,,
yedjan,,nocturnal,,yè jiān,夜间,chinese,
yetzir,,instinct,,yetzer,יֵצֶר,hebrew,
yanmon,,inundate,,yanmo,淹没,chinese,
yanzoq,,severe,,yanzhong,严重,chinese,
yanxip,,maneuver,,yanxi,演习,chinese,
yanxun,,perpetuate,,yanxu,延续,chinese,
yanxuf,,owl,,yanshuf,יַנְשׁוּף,hebrew,
yanlin,,stern,,yanli,严厉,chinese,
yaqkut,,infancy,,yanqut,יַנְקוּת,hebrew,
yatzig,,represent,,leyatz(e)g,לְייַצֵּג,hebrew,
yatxat,,sustain,,,यच्छति,sanskrit,
yaCnak,,dwindle,,,hjaðna,icelandic,
yalpic,,yelp,,,,,
yarnet,,yarn,,,,,
yoldan,,merit,,youdian,优点,chinese,
yolxiq,,tangible,,youxing,有形,chinese,
yolxur,,outstanding,,yōu xiù,优秀,chinese,
yundoq,,campaign,,yundong,运动,chinese,
yugman,,even,,yugmán,युग्मन्,sanskrit,
yudjip,,estimate,,yuji,预计,chinese,
yusorp,,usurp,,,,,
yuzrik,,use up,,,,,
yulkal,,pleasant,,yukuai,愉快,chinese,
yurnat,,urinate,,,,,
wimpur,,whimper,,,,,
windol,,window,,,,,
wintar,,winter,,,,english,
wiqkis,,wink,,,,,
widjet,,widget,,,,english,
wipraz,,cry,,,,,
witnes,,witness,,,,english,
wikzaq,,disguise,,weizhuang,伪装,chinese,
wispur,,whisper,,,,english,
wiskac,,whisk,,,,,
wicold,,withhold,,,,english,
wildur,,bewilder,,,,english,
tamp,,temperature,,,,english,
wenzoq,,sedate,,wenzhong,稳重,chinese,
wenxun,,meek,,wenshun,温顺,chinese,
wenrol,,tender,,wenrou,温柔,chinese,
wedjim,,wage,,,,,
wedjip,,critical,,wēi jí,危急,chinese,
wedjar,,wager,,,,,
wedjun,,hypocrite,,weijunzi,伪君子,chinese,
wedrag,,wade,,,,english,
webrat,,web,,,,,
wekand,,wack,,,,,
westit,,waste,,,,,
weskar,,whisker,,,,english,
wandor,,wonder,,,,english,
wanzeq,,intact,,wánzhěng,完整,chinese,
waqgoq,,staff,,yuán gōng,员工,chinese,
waqgul,,stubborn,,wangu,顽固,chinese,
waqpal,,trump,,wangpai,王牌,chinese,
wadjiz,,wedge,,,,,
wadrun,,wad,,,,,
waksan,,wax,,,,,
wakxaq,,extrovert,,wài xiàng,外向,chinese,
waltal,,coat,,wài tào,外套,chinese,
warbol,,warble,,,,english,
warpot,,warp,,,,,
wartag,,wart,,,,,
woCran,,whether,,,,,
wolban,,buddy,,huǒ bàn,伙伴,chinese,
worint,,warrant,,,,english,
wornuc,,warn,,,,english,
wundun,,wound,,,,english,
wutxan,,lunch,,wǔ cān,午餐,chinese,
wutxuk,,vapid,,wú qù,无趣,chinese,
wurlig,,whirl,,,,,
limpat,,smear,,,लिम्पति,sanskrit,
linant,,lenient,,,,english,
linadj,,lineage,,,,english,
linmar,,courtesy,,limao,礼貌,chinese,
lintaf,,lynch,,,,,
linset,,stingy,,lìn sè,吝啬,chinese,
linsek,,miserly,,lìn sè,吝啬,chinese,
linfat,,lean (fat),,,,,
linzol,,drip,,linz(o)l,לִנְזוֹל,hebrew,
linxik,,temporary,,linshi,临时,chinese,
liqkax,,relinquish,,,,,
liqsul,,nimble,,líng huó,灵活,chinese,
liqloq,,exquisite,,linglong,玲珑,chinese,
liglug,,ridicule,,liglug,לִיגְלוּג,hebrew,
lidrop,,lid,,,,,
libret,,liberate,,,,,
libran,,library,,,,,
lipard,,leopard,,,,english,
litget,,litigate,,,,,
litzan,,clown,,letzan,לֵיצָן,hebrew,
litxab,,little,,,,,
likdet,,liquidate,,,,,
likxaq,,mangle,,lieshang,裂伤,chinese,
lispus,,lisp,,,,,
liftap,,lift,,,,,
larg,,element,,,,,
leqgix,,languish,,,,english,
legant,,elegant,,,,english,
lefant,,elephant,,,,english,
levirc,,levy,,,,,
levtat,,levitate,,,,,
lejand,,legend,,,,english,
leCast,,bore (boring),,,leiðast,icelandic,
leCsur,,point out,,,,,
lamant,,lament,,,,,
lamnet,,laminate,,,,,
lambor,,lumber,,,,english,
lampoq,,lump,,,,,
lanmeq,,league,,lián méng,联盟,chinese,
landur,,launder,,,,english,
laqfek,,lavish,,làng fèi,浪费,chinese,
laqxiq,,virtuous,,liáng xìng,良性,chinese,
lagron,,lug,,,,,
ladjip,,garbage,,lā jī,垃圾,chinese,
ladjil,,litter,,laji,垃圾,chinese,
labtor,,lab,,,,,
lapsin,,lapse,,,,,
lapsiq,,lapse,,,,english,
lapres,,lap (race),,,,,
latniq,,lightning,,,,,
latxan,,latch,,,,,
laksen,,diagonal,,lelaHs(e)n,לְלַכְסֵן,hebrew,
laksex,,relaxation,,,,english,
laklod,,lock,,,,,
lastor,,luster,,,,english,
lavrat,,lava,,,,,
laxliv,,lush,,,,,
laltuk,,corny,,lǎo tǔ,老土,chinese,
lalxik,,old-fashioned,,lǎo shì,老式,chinese,
largan,,layer,,,,,
lartas,,let in,,,,,
lartaj,,let down,,,,,
lotxuq,,protrude,,lòuchū,露出,chinese,
lokmat,,warfare,,lochma,לוֹחְמָה,hebrew,
lorgas,,log in,,,,,
lordiq,,lord,,,,,
lumbat,,harass,,,लुम्बति,sanskrit,
lunkom,,profile,,lunkuo,轮廓,chinese,
lunsiq,,lunacy,,,,english,
ludrap,,lewd,,,,,
lubrik,,lube,,,,,
lupsum,,bolt,,luoshaung,螺栓,chinese,
lutrin,,otter,,,,latin,
lutrak,,loot,,,,,
lukmak,,look forward to,,,,,
lukrik,,look up,,,,,
lukret,,look after,,,,,
lusdet,,elucidate,,,,,
rimark,,remark,,,,english,
rimzat,,rim,,,,,
rinxiq,,ductile,,renxing,韧性,chinese,
riqgov,,wring,,,,,
riqkol,,wrinkle,,,,,
rigard,,regard,,,,,
ridjan,,region,,,,english,
ridjos,,rejoice,,,,,
ridjum,,frank,,,ऋजु,sanskrit,
ridrak,,redirect,,,,,
ribrak,,rib,,,,,
ripals,,repulse,,,,english,
riport,,report,,,,english,
riplab,,republic,,,,,
ripriv,,reprieve,,,,english,
ripraz,,reap,,,,,
riprom,,rip,,,,english,
ritort,,retort,,,,,
ritxan,,reach,,,,,
ritrak,,retract,,,,english,
rikxan,,reaction,,reaction,,english,
riklan,,recline,,,,,
riklus,,recluse,,,,english,
rikrut,,recruit,,,,english,
risand,,rescind,,,,,
risors,,resource,,,,english,
risorz,,rehearse,,,,english,
rifand,,refund,,,,,
riftor,,rift,,,,,
riflon,,reef,,,,,
rifren,,refrain,,,,english,
rifrax,,refresh,,,,,
rifruf,,flutter,,rifruf,רִיפְרוּף,hebrew,
rivamp,,revamp,,,,,
rivalv,,revolve,,,,english,
rivort,,revert,,,,,
rizent,,resent,,,,,
riland,,rewind,,,,,
rilant,,relent,,,,english,
rilaps,,relapse,,,,,
rilaks,,relax,,,,english,
rilz,,reel,,,,,
renmin,,citizen,,rénmín,人民,chinese,
renmen,,folk,,rénmen,人们,chinese,
rendan,,grace,,endian,恩典,chinese,
rendur,,render,,,,english,
renzen,,earnest,,rèn zhēn,认真,chinese,
reqgal,,wrangle,,,,,
reqk,,rank,,,,,
reglar,,regular,,,,english,
redjan,,radian (measurement),,,,english,
retxiq,,enthusiasm,,rè qíng,热情,chinese,
reknaz,,recognize,,,,english,
rekzit,,prerequisite,,,,english,
rezrak,,resurrect,,,,,
relard,,reward,,,,english,
rambol,,ramble,,,,,
ramped,,romp,,,,,
randin,,rind,,,,,
randam,,random,,,,english,
ransak,,ransack,,,,,
ranzaq,,grime,,anzang,肮脏,chinese,
raqgol,,ring (shape),,,,english,
radket,,eradicate,,,,,
raptor,,raptor,,,,english,
rapket,,replicate,,,,,
rapxar,,rupture,,,,english,
raprik,,wrap up,,,,,
rattus,,rattus,,,,,
ratfan,,ratify,,,,,
ratzid,,flicker,,leRatz(e)d,לְרַצֵּד,hebrew,
ratxap,,rite,,,,,
raknid,,arachnid,,,,,
rakxik,,guard,,rakSika,रक्षिक,sanskrit,
raspod,,rasp,,,,,
raston,,rust,,,,english,
raforC,,rough,,,,english,
raveld,,revile,,,,english,
razdun,,residue,,,,english,
raxnal,,rational,,,,english,
ralget,,relegate,,,,,
ronald,,row (boat),,,,,
roblan,,robe,,,,,
rotras,,rote,,,,,
rumnet,,ruminate,,,,,
rugrat,,rug,,,,,
rubaqk,,bank (river),,,,,
rutxiq,,route,,,,english,
rutrac,,root,,,,english,
rukmin,,radiant,,rukmini,रुक्मिणी,sanskrit,
rufran,,roof,,,,english,
mindjek,,agile,,mǐn jié,敏捷,chinese,
mindjan,,grass roots,,mínjiān,民间,chinese,
mintsor,,mince,,,,,
minstar,,administer,,,,english,
miqtxek,,definitive,,míng què,明确,chinese,
misples,,misplace,,,,,
mist,,mystery,,,,english,
mifratz,,bay,,mifratz,מִפְרָץ,hebrew,
miCgild,,median (math),,,miðgildi,icelandic,
mepartx,,map (chart),,,,,
metmorf,,metamorphic,,,,,
manmant,,monument,,,,english,
mandjor,,manager,,,,,
manplet,,manipulate,,,,,
mantxam,,munch,,,,,
mantrim,,monotreme,,,,english,
mantram,,utter,,mantra,मन्त्र,sanskrit,
madjnon,,mad,,majnūn,مَجْنُون,arabic,
maldjin,,towel,,máo jīn,毛巾,chinese,
mardjik,,merge,,,,,
martxan,,march,,,,,
mark,,mark (symbol),,,,,
mortfan,,mortify,,,,english,
nixsrik,,ugly,,niḥśrīka,निःश्रीक,sanskrit,
nantxiq,,junior,,niánqīng,年轻,chinese,
naldjin,,analogy,,,,english,
noqtxun,,rural,,,,english,,nurture,,,,,
nutrant,,nutrient,,,,english,
nusants,,nuisance,,,,english,
nursrik,,nursery,,,,,
gandjun,,champion,,guàn jūn,冠军,chinese,
gaqtxipianoteengangqin,钢琴,chinese,
gaqklan,,gunk,,,,,
gakorst,,gawk,,,,,
gastreC,,gas,,,,english,
galtxal,,superb,,gāo chāo,高超,chinese,
galfron,,gulf,,,,,
galvnaz,,galvanize,,,,english,
gardjar,,carrot,,gārjara,गार्जर,sanskrit,
gondjuk,,instrument,,gōngjù,工具,chinese,
goqtxeq,,engineering,,gōng chéng,工程,chinese,
gultxup,,preach,,guchui,鼓吹,chinese,
glednev,,lay off,,,,,
gladrag,,glad,,,,,
glasorc,,glass,,,,english,
gritzal,,grit,,,,,
grepxan,,repetition,,,,english,
grantal,,grunt,,,,,
grantol,,disgruntle,,,,,
graqbol,,broadcast,,guǎngbō,广播,chinese,
gradjet,,graduate,,,,english,
gravtin,,gravity,,,,english,
grazlin,,grizzly,,,,,
gralpon,,gripe,,,,,
grunrik,,grow up,,,,,
grubnat,,seize,,,गृभ्णाति,sanskrit,
dinants,,denounce,,,,,
ditrant,,deterrent,,,,english,
disdant,,dissident,,,,english,
disband,,disband,,,,,
dispatx,,dispatch,,,,,
dispors,,disburse,,,,,
displek,,display,,,,,
distrik,,districteenglish,
distrak,,distract,,,,,
distrug,,destruct,,,,,
diskard,,discard,,,,,
diskors,,discourse,,,,,
diskres,,disgrace,,,,english,
disladj,,dislodge,,,,,
difants,,defense,,,,english,
divaldj,,divulge,,,,,
dizmant,,dismantle,,,,english,
dizgast,,disgust,,,,,
demkrat,,democrat,,,,,
deqgret,,denigrate,,,,,
devstet,,devastate,,,,,
dandjan,,dignity,,duanzhuan,端庄,chinese,
daktrin,,doctrine,,,,english,
doltrak,,dole,,,,,
dorkast,,dork,,,,english,
durdjan,,malicious,,,दुर्जन,sanskrit,
djimnaz,,gym,,,,,
djimkat,,unravel,,jiekai,解开,chinese,
djinfap,,blond,,jīn fà,金发,chinese,
djinzit,,pyramid,,jinzita,金字塔,chinese,
djinzik,,restrain,,jìnzhǐ,禁止,chinese,
djinxiq,,conduct,,jinxing,进行,chinese,
djinxil,,fast (eating),,jinshi,禁食,chinese,
djiqgan,,spite,,jǐn guǎn,尽管,chinese,
djiqgol,,jingle,,,,,
djiqbal,,alert,,jǐng bào,警报,chinese,
djiqtik,,vigilant,,jǐng tì,警惕,chinese,
djiqkaq,,circumstance,,qingkuang,情况,chinese,
djiqfek,,expense,,jīngfèi,经费,chinese,
djiqzim,,sophisticated,,jingzhi,精致,chinese,
djiqren,,stupendous,,jīng rén,惊人,chinese,
djidjip,,aggress,,jiji,积极,chinese,
djidjal,,fabricate,,zhizao,制造,chinese,
djibrex,,gibberish,,,,english,
djipzus,,overdo,,,,,
djitxup,,basis,,jī chǔ,基础,chinese,
djedjan,,frugal,,jié jiǎn,节俭,chinese,
djetxuq,,relieve,,jiěchú,解除,chinese,
djetxuk,,eminent,,jié chū,杰出,chinese,
djetrik,,jet ()english
djestor,,jest,,,,,
djambol,,jumble,,,,,
djandiq,,steadfast,,jianding,坚定,chinese,
djandan,,ordinary,,jiǎndān,简单,chinese,
djandar,,gender,,,,english,
djantik,,elevator,,diàn tī,电梯,chinese,
djanfen,,starch,,diàn fěn,淀粉,chinese,
djanxiq,,quintessential,,diǎn xíng,典型,chinese,
djanxal,,decrease,,jiǎnshǎo,减少,chinese,
djanrin,,tough,,jianren,坚韧,chinese,
djanret,,generate,,,,english,
djaqgut,,sturdy,,jiān gù,坚固,chinese,
djagnak,,jog,,,,english,
djadjum,,aggravate,,jiā jù,加剧,chinese,
djabrit,,jab,,,,,
djapdaz,,jeopardize,,,,,
djaklet,,ejaculate,,,,,
djastis,,justice,,,,,
djargun,,jargon,,,,english,
djarsur,,run out of,,,,,
djoltaz,,jolt,,,,,
djornal,,journal,,,,,
djorkar,,jerk,,,,,
djundip,,army,,jūn duì,军队,chinese,
djunxik,,military,,jūn shì,军事,chinese,
djudket,,adjudicate,,,,english,
djutxal,,picket,,jiucha,纠察,chinese,
djukzaq,,rectify,,jiuzheng,纠正,chinese,
djukrat,,juke,,,,,
djuvnet,,rejuvenate,,,,english,
djurmip,,germ,,,,,
djurnet,,germinate,,,,english,
dlapdet,,dilapidate,,,,english,
drivav,,derivative,,,,english,
dranxip,,drown,,,,,
dradnev,,put off,,,,,
dradvun,,put on,,,,,
dradjan,,dredge,,,,english,
drapnev,,drop off,,,,,
drapsur,,drop out,,,,,
drapras,,drop in,,,,,
drastik,,dress up,,,,,
bigradj,,begrudge,,,,english,
bidants,,obedience,,,,english,
beqdjin,,taut,,bēng jǐn,绷紧,chinese,
beqkrap,,bankrupt,,,,,
beqkrol,,bankroll,,,,english,
bambard,,bombard,,,,english,
bandedj,,bandage,,,,,
bund,,boundary,,,,english,
bantxap,,bunch (up),,,,,
baktrak,,backtrack,,,,,
baldjiz,,alarm,,bào jǐng,报警,chinese,
baldjoq,,bulge,,,,english,
barbkun,,barbecue,,,,english,
bolstar,,bolster,,,,,
bundant,,abundant,,,,english,
blitxiq,,bleach,,,,,
blitret,,obliterate,,,,,
blistur,,blister,,,,,
blandiC,,blind,,,,,
blandur,,blunder,,,,,
blantog,,blunt,,,,english,
blaCrak,,balloon,,,blaðra,icelandic,
blofrik,,blow up,,,,,
blupran,,bloop,,,,english,
briqtaj,,bring down,,,,,
briqkon,,brink,,,,,
briqrik,,bring up,,,,,
brilant,,brilliant,,brilliant,,english,
brektaj,,break down,,,,,
brekrik,,break up,,,,,
bramxan,,deviate,,,भ्रंश,sanskrit,
braklin,,broccoli,,,,english,
pintxoC,,pinch,,,,,
