english,role,uses,head,source
passive,,0,0,pin
paste,verb,0,0,base
pasture,noun,0,0,base
pat,noun,0,0,base
patter,noun,0,0,base
pavilion,noun,0,0,base
paw,noun,0,0,base
peck,noun,0,0,base
pedal,noun,0,0,base
peer,verb,0,0,base
peg,noun,0,0,base
pelvis,noun,0,0,base
penetrate,verb,0,0,base
peninsula,noun,0,0,base
pepper,noun,0,0,base
per,preposition,0,0,base
perceive,verb,0,0,base
percent,noun,0,0,base
perhaps,adverb,0,0,base
permeate,verb,0,0,base
perpendicular,adjective,0,0,base
persist,verb,0,0,base
perspective,noun,0,0,base
petal,noun,0,0,base
pheasant,noun,0,0,base
phenomenon,noun,0,0,base
phew,interjection,0,0,base
phosphorus,noun,0,0,base
pillar,adjective,0,0,base
pillow,noun,0,0,base
pine,verb,0,0,base
ping,verb,0,0,base
pitch,noun,0,0,base
plank,noun,0,0,base
plasma,noun,0,0,base
plateau,noun,0,0,base
platinum,noun,0,0,base
plow,noun,0,0,base
plural,adjective,0,0,base
plus,conjunction,0,0,base
poetry,noun,0,0,base
poise,noun,0,0,base
polarity,,0,0,pin
policy,noun,0,0,base
polish,verb,0,0,base
pond,noun,0,0,base
portal,noun,0,0,base
possess,verb,0,0,base
posture,noun,0,0,base
potassium,noun,0,0,base
potato,noun,0,0,base
potential,adjective,0,0,base
pound,verb,0,0,base
precise,adjective,0,0,base
precision,noun,0,0,base
predator,noun,0,0,base
predictable,,0,0,pin
presume,noun,0,0,base
previous,adjective,0,0,base
primate,noun,0,0,base
prime,adjective,0,0,base
primitive,adjective,0,0,base
prism,noun,0,0,base
probable,adjective,0,0,base
procedure,noun,0,0,base
profane,adjective,0,0,base
prophecy,noun,0,0,base
prose,noun,0,0,base
protein,noun,0,0,base
protocol,noun,0,0,base
provoke,verb,0,0,base
proxy,noun,0,0,base
prudent,adjective,0,0,base
pry,noun,0,0,base
puck,noun,0,0,base
pulp,noun,0,0,base
pump,verb,0,0,base
quantity,noun,0,0,base
quantum,noun,0,0,base
quench,verb,0,0,base
quest,noun,0,0,base
queue,noun,0,0,base
quite,adverb,0,0,base
quota,noun,0,0,base
rabbit,noun,0,0,base
radar,noun,0,0,base
radiant,adjective,0,0,base
radio,noun,0,0,base
radius,noun,0,0,base
rag,noun,0,0,base
ram,noun,0,0,base
ransom,noun,0,0,base
rape,verb,0,0,base
rat,verb,0,0,base
ratchet,noun,0,0,base
rather,adverb,0,0,base
ratio,noun,0,0,base
rattle,verb,0,0,base
realm,noun,0,0,base
receipt,noun,0,0,base
recess,noun,0,0,base
recipe,noun,0,0,base
reciprocate,verb,0,0,base
recommend,verb,0,0,base
recruit,noun,0,0,base
rectangle,noun,0,0,base
recursion,,0,0,pin
redeem,noun,0,0,base
reed,noun,0,0,base
reel,verb,0,0,base
reference,verb,0,0,base
reflex,noun,0,0,base
refrain,noun,0,0,base
refute,verb,0,0,base
regulate,verb,0,0,base
rehearse,verb,0,0,base
relapse,noun,0,0,base
relevant,adjective,0,0,base
relieve,verb,0,0,base
reluctant,adjective,0,0,base
remainder,noun,0,0,base
remorse,noun,0,0,base
render,verb,0,0,base
repel,verb,0,0,base
repetition,noun,0,0,base
replenish,verb,0,0,base
resemble,verb,0,0,base
reserve,verb,0,0,base
reserved bid,,0,0,pin
reserved dub,,0,0,pin
reserved hum,,0,0,pin
reserved lij,,0,0,pin
resonate,verb,0,0,base
restaurant,noun,0,0,base
restraint,noun,0,0,base
restrict,verb,0,0,base
resume,verb,0,0,base
retain,noun,0,0,base
retard,noun,0,0,base
retire,verb,0,0,base
retrieve,verb,0,0,base
revere,verb,0,0,base
revive,verb,0,0,base
revoke,verb,0,0,base
revolve,verb,0,0,base
rice,noun,0,0,base
riddle,noun,0,0,base
ridicule,noun,0,0,base
rift,noun,0,0,base
rig,noun,0,0,base
rigid,adjective,0,0,base
riot,verb,0,0,base
rip,verb,0,0,base
ripe,adjective,0,0,base
ripple,noun,0,0,base
ritual,noun,0,0,base
roar,verb,0,0,base
robust,adjective,0,0,base
roost,noun,0,0,base
rose,noun,0,0,base
rug,noun,0,0,base
rumble,noun,0,0,base
rupture,noun,0,0,base
rust,verb,0,0,base
sag,noun,0,0,base
sanctuary,noun,0,0,base
sarcasm,noun,0,0,base
sarcastic,adjective,0,0,base
satisfaction,noun,0,0,base
saturate,verb,0,0,base
scar,verb,0,0,base
scarce,adjective,0,0,base
scarf,noun,0,0,base
scorpion,noun,0,0,base
screech,verb,0,0,base
scroll,verb,0,0,base
scrub,noun,0,0,base
sculpture,noun,0,0,base
seam,noun,0,0,base
sector,noun,0,0,base
segment,noun,0,0,base
semen,noun,0,0,base
serene,adjective,0,0,base
serial,adjective,0,0,base
several,determiner,0,0,base
shaft,noun,0,0,base
shallow,adjective,0,0,base
shatter,verb,0,0,base
she,noun,0,0,base
shh,interjection,0,0,base
shin,noun,0,0,base
shiny,adjective,0,0,base
shit,interjection,0,0,base
shrimp,noun,0,0,base
siege,noun,0,0,base
sight,noun,0,0,said
silicon,noun,0,0,base
simulate,verb,0,0,base
simultaneous,adjective,0,0,base
since,preposition,0,0,base
sincere,adjective,0,0,base
sine,,0,0,pin
singular,adjective,0,0,base
sixteen,,0,0,lost
sizzle,noun,0,0,base
skeleton,noun,0,0,base
skeptical,adjective,0,0,base
slab,noun,0,0,base
slack,adjective,0,0,base
slam,verb,0,0,base
slander,noun,0,0,base
slender,adjective,0,0,base
slit,verb,0,0,base
slot,noun,0,0,base
sloth,noun,0,0,base
slough,noun,0,0,base
slug,noun,0,0,base
smuggle,verb,0,0,base
smut,noun,0,0,base
snare,noun,0,0,base
sneeze,verb,0,0,base
so,conjunction,0,0,base
socket,noun,0,0,base
soda,noun,0,0,base
sodium,noun,0,0,base
solemn,adjective,0,0,base
song,,0,0,pin
soot,noun,0,0,base
sorcery,noun,0,0,base
spar,noun,0,0,base
sparrow,noun,0,0,base
spec,noun,0,0,base
species,noun,0,0,base
speech,,0,0,pin
sphincter,noun,0,0,base
splendid,adjective,0,0,base
sponge,noun,0,0,base
sprout,verb,0,0,base
spur,verb,0,0,base
squish,verb,0,0,base
stability,noun,0,0,base
stabilize,verb,0,0,base
stair,noun,0,0,base
stale,adjective,0,0,base
stall,verb,0,0,base
stamina,noun,0,0,base
starch,noun,0,0,base
stimulus,noun,0,0,base
stink,verb,0,0,base
storage,noun,0,0,base
stout,adjective,0,0,base
stranger,noun,0,0,base
streak,noun,0,0,base
strength,,0,0,pin
stroke,verb,0,0,base
stuck,verb,0,0,base
stud,noun,0,0,base
stump,verb,0,0,base
sublime,adjective,0,0,base
submit,verb,0,0,base
subtle,adjective,0,0,base
subtract,verb,0,0,base
such,adverb,0,0,base
sulfur,noun,0,0,base
summit,noun,0,0,base
summon,verb,0,0,base
sunrise,noun,0,0,base
sunset,noun,0,0,base
suppose,verb,0,0,base
surf,verb,0,0,base
surge,verb,0,0,base
surplus,noun,0,0,base
suspect,adjective,0,0,base
suspicion,noun,0,0,base
swarm,noun,0,0,base
swift,adjective,0,0,base
swirl,noun,0,0,base
symmetry,noun,0,0,base
symptom,noun,0,0,base
taboo,adjective,0,0,base
tack,verb,0,0,base
tact,noun,0,0,base
talon,noun,0,0,base
tan,verb,0,0,base
tang,noun,0,0,base
tangent,,0,0,pin
tar,noun,0,0,base
tattoo,noun,0,0,base
teal,adjective,0,0,said
tech,noun,0,0,said
television,noun,0,0,base
tempo,noun,0,0,base
tend,verb,0,0,base
tense,adjective,0,0,base
tesla,noun,0,0,base
their,,0,0,pin
then,adverb,0,0,base
therapy,noun,0,0,base
therefore,conjunction,0,0,base
they,,0,0,pin
thirteen,,0,0,pin
thorn,noun,0,0,base
those,determiner,0,0,base
though,conjunction,0,0,base
thrive,verb,0,0,base
thumb,noun,0,0,base
thunder,noun,0,0,base
thus,adverb,0,0,base
tick,verb,0,0,base
tickle,noun,0,0,base
tide,verb,0,0,base
timestamp,,0,0,pin
today,adverb,0,0,base
toil,noun,0,0,base
tolerate,verb,0,0,base
toll,verb,0,0,base
tornado,noun,0,0,base
torso,noun,0,0,base
torture,,0,0,pin
touching,,0,0,core
tour,verb,0,0,base
tract,verb,0,0,base
traffic,noun,0,0,base
trajectory,noun,0,0,base
trample,verb,0,0,base
trance,noun,0,0,base
transit,noun,0,0,base
transition,verb,0,0,base
transmit,noun,0,0,base
trauma,noun,0,0,base
trespass,noun,0,0,base
tribute,verb,0,0,base
tropical,adjective,0,0,base
truce,noun,0,0,base
trumpet,noun,0,0,base
trunk,noun,0,0,base
tuck,verb,0,0,base
tug,noun,0,0,base
tuna,noun,0,0,base
turkey,noun,0,0,base
turtle,noun,0,0,base
ugh,interjection,0,0,base
ugly,adjective,0,0,base
uh,interjection,0,0,base
ulcer,noun,0,0,base
ultimate,adjective,0,0,base
um,,0,0,lost
uncertain,adjective,0,0,base
undergo,verb,0,0,base
undo,verb,0,0,base
uniformity,,0,0,pin
unless,conjunction,0,0,base
unpredictable,,0,0,pin
until,preposition,0,0,base
unusual,adjective,0,0,base
utter,adjective,0,0,base
vacuum,verb,0,0,base
vagina,noun,0,0,base
vain,adjective,0,0,base
valve,noun,0,0,base
variable,adjective,0,0,base
vast,adjective,0,0,base
vector,noun,0,0,base
veil,noun,0,0,base
venture,verb,0,0,base
via,preposition,0,0,base
vice,noun,0,0,base
village,noun,0,0,base
vine,noun,0,0,base
violet,noun,0,0,base
virgin,noun,0,0,base
virtue,noun,0,0,base
volt,noun,0,0,base
voluntary,adjective,0,0,base
voyage,noun,0,0,base
vulnerable,adjective,0,0,base
wagon,noun,0,0,base
ward,noun,0,0,base
warp,verb,0,0,base
wart,noun,0,0,base
wasp,noun,0,0,base
we,noun,0,0,base
weasel,noun,0,0,base
wedge,noun,0,0,base
weed,verb,0,0,base
weep,verb,0,0,base
weigh,verb,0,0,base
weld,verb,0,0,base
welfare,noun,0,0,base
whale,noun,0,0,base
wheat,noun,0,0,base
when,adverb,0,0,base
where,adverb,0,0,base
whether,conjunction,0,0,base
which,determiner,0,0,base
whiff,noun,0,0,base
whip,verb,0,0,base
whisper,verb,0,0,base
whistle,verb,0,0,base
whoa,interjection,0,0,base
wick,verb,0,0,base
wicked,adjective,0,0,base
willing,adjective,0,0,base
wink,noun,0,0,base
wisdom,,0,0,pin
wit,noun,0,0,base
wolf,noun,0,0,base
wound,verb,0,0,base
wow,interjection,0,0,base
wreck,verb,0,0,base
x,,0,0,core
x axis,,0,0,pin
y,,0,0,core
y axis,,0,0,pin
yawn,verb,0,0,base
yay,interjection,0,0,base
yearn,verb,0,0,base
yeast,noun,0,0,base
yesterday,adverb,0,0,base
your,,0,0,pin
yuck,interjection,0,0,base
yum,noun,0,0,base
z,,0,0,core
z axis,,0,0,pin
zap,noun,0,0,base
zero,value,0,0,base
zinc,noun,0,0,base
lily,noun,0,0,base
torment,verb,0,0,base
tower,noun,0,0,base
holly,noun,0,0,base
