concept,form,sounds,why,uses,head
egret,swaz,4,by load,0,0
egypt,swaf,4,by load,0,0
eighth,swax,4,by load,0,0
eightieth,swaj,4,by load,0,0
elbow,swaC,4,by load,0,0
elder,korn,4,by load,1,0
elean,swal,4,by load,0,0
elegant,korg,4,by load,1,0
elegy,swom,4,by load,0,0
elementary,swoq,4,by load,0,0
elephant,swog,4,by load,0,0
elevate,kezg,4,by load,2,0
eli,swob,4,by load,0,0
elias,swot,4,by load,0,0
elisabeth,swos,4,by load,0,0
elizabeth,swoz,4,by load,0,0
ellipsis,swof,4,by load,0,0
elliptical,swox,4,by load,0,0
elm,swoj,4,by load,0,0
elongated,swoC,4,by load,0,0
elysian,swol,4,by load,0,0
embezzled,swum,4,by load,0,0
embezzler,swuq,4,by load,0,0
emblic,swug,4,by load,0,0
embrace,kolp,4,by load,1,0
emerald,swub,4,by load,0,0
emerge,swut,4,by load,0,0
emesa,swus,4,by load,0,0
emir,swuz,4,by load,0,0
enantiomeric,swuf,4,by load,0,0
enclosure,swux,4,by load,0,0
encompassed,swuj,4,by load,0,0
endowment,swuC,4,by load,0,0
enervated,swul,4,by load,0,0
engraved,zint,4,by load,0,0
engraver,zitx,4,by load,0,0
enigmatic,zikt,4,by load,0,0
enriched,zisp,4,by load,0,0
ensnared,zizg,4,by load,0,0
entangled,zifk,4,by load,0,0
entice,kolf,4,by load,1,0
envy,zent,4,by load,0,0
epic,zetx,4,by load,0,0
epyaxa,zekt,4,by load,0,0
equidistant,zesp,4,by load,0,0
equilateral,zezg,4,by load,0,0
equinoctial,zefk,4,by load,0,0
equipment,zaid,4,by load,0,0
equipped,zaip,4,by load,0,0
erato,zaik,4,by load,0,0
ermine,zaiv,4,by load,0,0
erotic,zaic,4,by load,0,0
escort,kund,4,by load,1,0
esparto,zaud,4,by load,0,0
esther,zaup,4,by load,0,0
ethane,zauk,4,by load,0,0
euboea,zauv,4,by load,0,0
euboean,zauc,4,by load,0,0
euclid,zant,4,by load,0,0
eunuch,zatx,4,by load,0,0
eve,zakt,4,by load,0,0
everywhere,zasp,4,by load,0,0
excavated,zazg,4,by load,0,0
excellent,zafk,4,by load,0,0
excelling,zarn,4,by load,0,0
excrement,zarg,4,by load,0,0
exhaust,zalp,4,by load,0,0
exhibited,zalf,4,by load,0,0
exiled,zoim,4,by load,0,0
expand,kefk,4,by load,2,0
expel,kugd,4,by load,1,0
expose,kutx,4,by load,1,0
express,twox,4,by load,4,0
extend,tweC,4,by load,8,0
extinguish,zoin,4,by load,0,0
extorted,zoiq,4,by load,0,0
extraordinary,zoig,4,by load,0,0
eyelash,zoib,4,by load,0,0
eyelid,zoit,4,by load,0,0
faint,twug,4,by load,3,0
faliscan,zois,4,by load,0,0
falsified,zoiz,4,by load,0,0
fart,zoif,4,by load,0,0
fastigiate,zoix,4,by load,0,0
fathom,zoij,4,by load,0,0
fauna,zoiC,4,by load,0,0
favouring,zont,4,by load,0,0
fawning,zokt,4,by load,0,0
felloe,zosp,4,by load,0,0
fellow,zozg,4,by load,0,0
fennel,zofk,4,by load,0,0
fenugreek,zorn,4,by load,0,0
fern,kusp,4,by load,1,0
ferry,zorg,4,by load,0,0
fever,kuzg,4,by load,1,0
fiancée,zolp,4,by load,0,0
fiery,zolf,4,by load,0,0
fifth,zunt,4,by load,0,0
filth,zutx,4,by load,0,0
fin,zukt,4,by load,0,0
finger,kaim,4,by load,2,0
first,zusp,4,by load,0,0
flag,twoj,4,by load,4,0
flautist,zuzg,4,by load,0,0
flax,kufk,4,by load,1,0
flea,zufk,4,by load,0,0
fleabane,vint,4,by load,0,0
flee,kain,4,by load,2,0
fleece,vitx,4,by load,0,0
fleetfooted,vikt,4,by load,0,0
flexibility,visp,4,by load,0,0
flint,vizg,4,by load,0,0
float,twam,4,by load,7,0
floccose,vifk,4,by load,0,0
flour,vent,4,by load,0,0
flowingly,vetx,4,by load,0,0
flyswatter,vekt,4,by load,0,0
foliage,vesp,4,by load,0,0
forbid,twaq,4,by load,7,0
forborne,vezg,4,by load,0,0
forceps,vefk,4,by load,0,0
forearm,vaid,4,by load,0,0
foreign,kaiq,4,by load,2,0
forelock,vaip,4,by load,0,0
forge,vaik,4,by load,0,0
forgetfulness,vaiv,4,by load,0,0
fork,krin,4,by load,1,0
formerly,vaic,4,by load,0,0
fornicator,vaud,4,by load,0,0
fort,vaup,4,by load,0,0
forthwith,vauk,4,by load,0,0
fortified,vauv,4,by load,0,0
forward,vauc,4,by load,0,0
found,vant,4,by load,0,0
fourth,vagd,4,by load,0,0
fragrance,krid,4,by load,1,0
fragrant,kaig,4,by load,2,0
frank,vatx,4,by load,0,0
freedom,vasp,4,by load,0,0
frequented,vazg,4,by load,0,0
frigg,vafk,4,by load,0,0
frightened,varn,4,by load,0,0
fringe,kaib,4,by load,2,0
funeral,twub,4,by load,3,0
funereal,varg,4,by load,0,0
funnel,krip,4,by load,1,0
furrow,valp,4,by load,0,0
furrowed,valf,4,by load,0,0
gad,voim,4,by load,0,0
gadfly,voin,4,by load,0,0
galatea,voiq,4,by load,0,0
galician,voig,4,by load,0,0
galilean,voib,4,by load,0,0
galingale,voit,4,by load,0,0
gall,vois,4,by load,0,0
gallop,voiz,4,by load,0,0
gangrene,voif,4,by load,0,0
ganymede,voix,4,by load,0,0
garlic,voij,4,by load,0,0
garret,voiC,4,by load,0,0
gaul,vont,4,by load,0,0
gelding,votx,4,by load,0,0
gemstone,vokt,4,by load,0,0
gene,djin,4,pinned,0,0
geneva,vosp,4,by load,0,0
geometer,vozg,4,by load,0,0
geometrical,vofk,4,by load,0,0
germander,vorn,4,by load,0,0
gift,vorg,4,by load,0,0
gilded,volp,4,by load,0,0
ginger,volf,4,by load,0,0
girdle,vunt,4,by load,0,0
globule,vutx,4,by load,0,0
glorified,vukt,4,by load,0,0
glove,vusp,4,by load,0,0
gnawed,vuzg,4,by load,0,0
goat,vufk,4,by load,0,0
gobryas,fimp,4,by load,0,0
goddess,find,4,by load,0,0
goldsmith,fiqk,4,by load,0,0
goliath,figd,4,by load,0,0
goose,fidj,4,by load,0,0
gorgias,fisk,4,by load,0,0
gouty,fizb,4,by load,0,0
granary,fift,4,by load,0,0
granddaughter,femp,4,by load,0,0
graphite,fend,4,by load,0,0
gravel,feqk,4,by load,0,0
gravelly,fegd,4,by load,0,0
grease,krik,4,by load,1,0
great,gret,4,pinned,0,0
greaved,fedj,4,by load,0,0
greenfodder,fesk,4,by load,0,0
greensward,fezb,4,by load,0,0
greyhound,feft,4,by load,0,0
griffin,faim,4,by load,0,0
grind,twaz,4,by load,6,0
grizzled,fain,4,by load,0,0
groma,faiq,4,by load,0,0
grouse,faig,4,by load,0,0
grove,faib,4,by load,0,0
guardian,fait,4,by load,0,0
guiana,fais,4,by load,0,0
gum,twaj,4,by load,5,0
gymnastic,faiz,4,by load,0,0
hagar,faif,4,by load,0,0
hainanese,faix,4,by load,0,0
haiti,faij,4,by load,0,0
half,faiC,4,by load,0,0
halter,faum,4,by load,0,0
halyard,faun,4,by load,0,0
ham,fauq,4,by load,0,0
haman,faug,4,by load,0,0
hang,twes,4,by load,14,0
hanno,faub,4,by load,0,0
happily,faut,4,by load,0,0
harass,faus,4,by load,0,0
harbor,kriv,4,by load,1,0
hare,fauz,4,by load,0,0
harrow,fauf,4,by load,0,0
harvest,kric,4,by load,1,0
hastened,faux,4,by load,0,0
hastening,fauj,4,by load,0,0
hay,twut,4,by load,3,0
he,fauC,4,by load,0,0
hearth,faul,4,by load,0,0
hebe,famp,4,by load,0,0
hecate,fand,4,by load,0,0
hector,faqk,4,by load,0,0
hedgehog,fadj,4,by load,0,0
heifer,fask,4,by load,0,0
helen,fazb,4,by load,0,0
helle,faft,4,by load,0,0
hellebore,farm,4,by load,0,0
helleborine,farb,4,by load,0,0
hellespont,falk,4,by load,0,0
hello,grit,4,pinned,0,0
helmet,falv,4,by load,0,0
hemisphere,falc,4,by load,0,0
hemispherical,foid,4,by load,0,0
hemlock,foip,4,by load,0,0
hemp,foik,4,by load,0,0
henbane,foiv,4,by load,0,0
henna,foic,4,by load,0,0
heptagonal,fomp,4,by load,0,0
hera,fond,4,by load,0,0
heraclea,foqk,4,by load,0,0
herald,fogd,4,by load,0,0
herb,kren,4,by load,1,0
heretical,fodj,4,by load,0,0
hermaphrodite,fozb,4,by load,0,0
hermione,foft,4,by load,0,0
heroine,form,4,by load,0,0
hesiod,forb,4,by load,0,0
hesitate,kred,4,by load,1,0
heteroclitic,folk,4,by load,0,0
hexagonal,folv,4,by load,0,0
hezekiah,folc,4,by load,0,0
hieroglyphic,fump,4,by load,0,0
hindered,fund,4,by load,0,0
hindering,fuqk,4,by load,0,0
hispaniola,fugd,4,by load,0,0
historical,fudj,4,by load,0,0
hoarse,fusk,4,by load,0,0
hoarseness,fuzb,4,by load,0,0
hoe,fuft,4,by load,0,0
hokkaido,frim,4,by load,0,0
homogeneity,friq,4,by load,0,0
honey,twaC,4,by load,5,0
honeysuckle,frig,4,by load,0,0
honorary,frib,4,by load,0,0
honourable,frit,4,by load,0,0
hood,twus,4,by load,3,0
hoof,krep,4,by load,1,0
hoopoe,fris,4,by load,0,0
hoplite,friz,4,by load,0,0
hornet,frif,4,by load,0,0
horsewhip,frix,4,by load,0,0
hostile,krek,4,by load,1,0
houseleek,frij,4,by load,0,0
human,dram,4,pinned,0,0
hundred,friC,4,by load,0,0
hundredth,frem,4,by load,0,0
hungarians,freq,4,by load,0,0
hunger,kait,4,by load,2,0
hungry,freg,4,by load,0,0
hunt,hant,4,pinned,0,0
huntress,freb,4,by load,0,0
husband,fret,4,by load,0,0
hut,fres,4,by load,0,0
hydromancer,frez,4,by load,0,0
hyena,fref,4,by load,0,0
hyoid,frex,4,by load,0,0
hyperborean,frej,4,by load,0,0
hypothetical,freC,4,by load,0,0
hysterical,fram,4,by load,0,0
ibis,fraq,4,by load,0,0
ibiza,frag,4,by load,0,0
iceni,frab,4,by load,0,0
idaean,frat,4,by load,0,0
idaho,fras,4,by load,0,0
idas,fraz,4,by load,0,0
identical,fraf,4,by load,0,0
idle,frax,4,by load,0,0
imaginary,fraj,4,by load,0,0
imitable,fraC,4,by load,0,0
immediate,fral,4,by load,0,0
immersed,from,4,by load,0,0
immortality,froq,4,by load,0,0
impassable,frog,4,by load,0,0
impossible,frob,4,by load,0,0
impostor,frot,4,by load,0,0
impoverished,fros,4,by load,0,0
inactive,froz,4,by load,0,0
incisor,frof,4,by load,0,0
incitement,frox,4,by load,0,0
inclined,froj,4,by load,0,0
incommensurability,froC,4,by load,0,0
incomparable,frol,4,by load,0,0
inconvenient,frum,4,by load,0,0
indeed,fruq,4,by load,0,0
indefinite,frug,4,by load,0,0
independent,frub,4,by load,0,0
indicate,frut,4,by load,0,0
indifferent,frus,4,by load,0,0
indivisible,fruz,4,by load,0,0
indolent,fruf,4,by load,0,0
indomitable,frux,4,by load,0,0
inelegant,fruj,4,by load,0,0
inequality,fruC,4,by load,0,0
inexplicable,frul,4,by load,0,0
inhabitant,flim,4,by load,0,0
inhabited,fliq,4,by load,0,0
ink,twez,4,by load,11,0
innocent,flig,4,by load,0,0
ino,flib,4,by load,0,0
inquire,krev,4,by load,1,0
insatiable,flit,4,by load,0,0
inscribed,flis,4,by load,0,0
instigator,fliz,4,by load,0,0
intangible,flif,4,by load,0,0
integral,flix,4,by load,0,0
intercalary,flij,4,by load,0,0
interrupt,twuz,4,by load,3,0
interstitial,fliC,4,by load,0,0
interwoven,flem,4,by load,0,0
intrude,fleq,4,by load,0,0
invade,fleg,4,by load,0,0
inverted,fleb,4,by load,0,0
investigate,krec,4,by load,1,0
invisible,kran,4,by load,1,0
invoke,flet,4,by load,0,0
invulnerable,fles,4,by load,0,0
inwards,flez,4,by load,0,0
iole,flef,4,by load,0,0
ios,flex,4,by load,0,0
iowa,flej,4,by load,0,0
iphis,fleC,4,by load,0,0
iris,flam,4,by load,0,0
irrational,flaq,4,by load,0,0
irregularity,flag,4,by load,0,0
isaac,flab,4,by load,0,0
isaiah,flat,4,by load,0,0
ishmael,flas,4,by load,0,0
isis,flaz,4,by load,0,0
ismene,flaf,4,by load,0,0
ismenias,flax,4,by load,0,0
italy,flaj,4,by load,0,0
ithaca,flaC,4,by load,0,0
ithome,flar,4,by load,0,0
its,hint,4,pinned,0,0
itys,flom,4,by load,0,0
ivory,floq,4,by load,0,0
jack,flog,4,by load,0,0
jacob,flob,4,by load,0,0
jaffa,flot,4,by load,0,0
jagged,flos,4,by load,0,0
jair,floz,4,by load,0,0
jar,flof,4,by load,0,0
jasper,flox,4,by load,0,0
jaundice,floj,4,by load,0,0
jaundiced,floC,4,by load,0,0
javan,flor,4,by load,0,0
javelin,flum,4,by load,0,0
jaybird,fluq,4,by load,0,0
jericho,flug,4,by load,0,0
jerusalem,flub,4,by load,0,0
jewel,djul,4,pinned,0,0
jocasta,flut,4,by load,0,0
joke,djok,4,pinned,0,0
jordanian,flus,4,by load,0,0
josiah,fluz,4,by load,0,0
jovian,fluf,4,by load,0,0
juba,flux,4,by load,0,0
judas,fluj,4,by load,0,0
judea,fluC,4,by load,0,0
julian,ximp,4,by load,0,0
juniper,xind,4,by load,0,0
justice,djas,4,pinned,0,0
kestrel,xiqk,4,by load,0,0
kettle,xigd,4,by load,0,0
kick,krad,4,by load,1,0
kidney,kais,4,by load,2,0
kindled,xisp,4,by load,0,0
kitchen,xizg,4,by load,0,0
kite,xift,4,by load,0,0
kneel,xemp,4,by load,0,0
known,xend,4,by load,0,0
laban,xeqk,4,by load,0,0
labial,xegd,4,by load,0,0
labyrinthine,xesk,4,by load,0,0
ladder,krap,4,by load,1,0
lamb,krak,4,by load,1,0
lame,xezb,4,by load,0,0
lamp,krav,4,by load,1,0
lance,xeft,4,by load,0,0
laodicea,xaim,4,by load,0,0
laos,xain,4,by load,0,0
laozi,xaiq,4,by load,0,0
lap,xaig,4,by load,0,0
larian,xaib,4,by load,0,0
larissa,xait,4,by load,0,0
larynx,xais,4,by load,0,0
lateral,kaiz,4,by load,2,0
latticed,xaiz,4,by load,0,0
laughter,xaif,4,by load,0,0
laurel,xaiC,4,by load,0,0
lava,xaum,4,by load,0,0
leah,xaun,4,by load,0,0
leap,krac,4,by load,1,0
leda,xauq,4,by load,0,0
leek,xaug,4,by load,0,0
length,xaub,4,by load,0,0
lens,kaif,4,by load,2,0
lentil,xaut,4,by load,0,0
leopard,xaus,4,by load,0,0
lerna,xauz,4,by load,0,0
lethargic,xauf,4,by load,0,0
lettuce,xauC,4,by load,0,0
leucadian,xaul,4,by load,0,0
leucothea,xamp,4,by load,0,0
levana,xand,4,by load,0,0
levi,xaqk,4,by load,0,0
levite,xagd,4,by load,0,0
lichas,xask,4,by load,0,0
licked,xazb,4,by load,0,0
lightning,xaft,4,by load,0,0
ligurian,xarm,4,by load,0,0
lily,xarb,4,by load,0,0
lime,xalk,4,by load,0,0
limnetic,xalv,4,by load,0,0
lingual,xalc,4,by load,0,0
lioness,xoid,4,by load,0,0
lip,glip,4,pinned,0,0
liquid,glis,4,pinned,0,0
liquorice,xoip,4,by load,0,0
litharge,xoik,4,by load,0,0
liverwort,xoiv,4,by load,0,0
lobe,kron,4,by load,1,0
lobster,xoic,4,by load,0,0
locust,xomp,4,by load,0,0
lod,xond,4,by load,0,0
lodge,krod,4,by load,1,0
loin,xoqk,4,by load,0,0
lois,xogd,4,by load,0,0
lombard,xosk,4,by load,0,0
loosening,xozb,4,by load,0,0
lordling,xoft,4,by load,0,0
loss,xorm,4,by load,0,0
louse,xorb,4,by load,0,0
lowest,xolk,4,by load,0,0
lucanian,xolv,4,by load,0,0
luminescent,xolc,4,by load,0,0
lunate,xump,4,by load,0,0
lunulate,xund,4,by load,0,0
lusitanian,xuqk,4,by load,0,0
luxury,kaix,4,by load,2,0
lycidas,xugd,4,by load,0,0
lying,xusk,4,by load,0,0
lynx,xuzb,4,by load,0,0
lyre,xuft,4,by load,0,0
lyrist,xlim,4,by load,0,0
mackerel,xliq,4,by load,0,0
macrochaeta,xlig,4,by load,0,0
made,xlib,4,by load,0,0
mago,xlit,4,by load,0,0
magpie,xlis,4,by load,0,0
maid,xliz,4,by load,0,0
malacca,xlif,4,by load,0,0
malis,xliC,4,by load,0,0
mallow,xlem,4,by load,0,0
malt,xleq,4,by load,0,0
mandaean,xleg,4,by load,0,0
mandane,xleb,4,by load,0,0
mandrake,xlet,4,by load,0,0
maniple,xles,4,by load,0,0
manna,xlez,4,by load,0,0
mare,xlef,4,by load,0,0
marginal,xleC,4,by load,0,0
marigold,xlam,4,by load,0,0
marl,xlaq,4,by load,0,0
marmot,xlag,4,by load,0,0
marpessa,xlab,4,by load,0,0
marrow,xlat,4,by load,0,0
mars,xlas,4,by load,0,0
marsh,krop,4,by load,1,0
marsyas,xlaz,4,by load,0,0
marten,xlaf,4,by load,0,0
martha,xlaC,4,by load,0,0
masseur,xlar,4,by load,0,0
may,krok,4,by load,1,0
me,must,4,pinned,0,0
mead,xlom,4,by load,0,0
meadow,xloq,4,by load,0,0
meadowrue,xlog,4,by load,0,0
mealy,xlob,4,by load,0,0
medea,xlot,4,by load,0,0
mediator,xlos,4,by load,0,0
medusa,xloz,4,by load,0,0
meidias,xlof,4,by load,0,0
melinoe,xloC,4,by load,0,0
membrane,xlor,4,by load,0,0
mend,xlum,4,by load,0,0
mercenary,xluq,4,by load,0,0
merlin,xlug,4,by load,0,0
merope,xlub,4,by load,0,0
messala,xlut,4,by load,0,0
methane,xlus,4,by load,0,0
metope,xluz,4,by load,0,0
metrical,xluf,4,by load,0,0
metropolitan,xluC,4,by load,0,0
midas,jint,4,by load,0,0
mignonette,jikt,4,by load,0,0
migratory,jisk,4,by load,0,0
mildew,jifk,4,by load,0,0
mill,jent,4,by load,0,0
millet,jekt,4,by load,0,0
mimic,krov,4,by load,1,0
mingled,jesp,4,by load,0,0
minnow,jezg,4,by load,0,0
minotaur,jefk,4,by load,0,0
miserable,jaid,4,by load,0,0
misery,jaip,4,by load,0,0
missionary,jaik,4,by load,0,0
mistletoe,jaiv,4,by load,0,0
mite,jaic,4,by load,0,0
mixture,jaud,4,by load,0,0
mock,twag,4,by load,7,0
moderate,jaup,4,by load,0,0
modern,kroc,4,by load,1,0
modified,jauk,4,by load,0,0
molecule,molk,4,pinned,0,0
monastery,jauv,4,by load,0,0
monastic,jauc,4,by load,0,0
monk,jant,4,by load,0,0
monkey,jakt,4,by load,0,0
morning,twal,4,by load,5,0
morphine,jasp,4,by load,0,0
mortar,jazg,4,by load,0,0
mosaic,jafk,4,by load,0,0
mosquito,jarn,4,by load,0,0
moss,jarg,4,by load,0,0
moth,jalp,4,by load,0,0
motorcycle,jalf,4,by load,0,0
mountain,mant,4,pinned,0,0
moustache,joim,4,by load,0,0
mugwort,join,4,by load,0,0
mule,joiq,4,by load,0,0
mullein,joig,4,by load,0,0
multiform,joib,4,by load,0,0
mundane,joit,4,by load,0,0
municipal,jois,4,by load,0,0
murderess,joiz,4,by load,0,0
muscovy,joif,4,by load,0,0
mushroom,joiC,4,by load,0,0
muslin,jont,4,by load,0,0
must,jokt,4,by load,0,0
mustard,josp,4,by load,0,0
mutilated,jozg,4,by load,0,0
mycale,jofk,4,by load,0,0
myrrh,jorn,4,by load,0,0
myrtle,jorg,4,by load,0,0
myth,jolp,4,by load,0,0
mytilene,jolf,4,by load,0,0
nape,junt,4,by load,0,0
naphtha,jukt,4,by load,0,0
napkin,jusp,4,by load,0,0
narcotic,juzg,4,by load,0,0
nasal,jufk,4,by load,0,0
nathan,Cint,4,by load,0,0
native,twom,4,by load,5,0
nausea,krun,4,by load,1,0
nauseousness,Citx,4,by load,0,0
nausicaa,Cikt,4,by load,0,0
naval,Cisp,4,by load,0,0
navel,Cizg,4,by load,0,0
nazarene,Cifk,4,by load,0,0
nearby,Cent,4,by load,0,0
nebraska,Cetx,4,by load,0,0
nebula,Cekt,4,by load,0,0
necho,Cesp,4,by load,0,0
neck,twab,4,by load,7,0
necklace,Cezg,4,by load,0,0
nectar,Caid,4,by load,0,0
needle,kaij,4,by load,2,0
neglect,Caip,4,by load,0,0
neighborhood,Caik,4,by load,0,0
neighbour,Caiv,4,by load,0,0
nemea,Caud,4,by load,0,0
nemesis,Caup,4,by load,0,0
neon,Cauk,4,by load,0,0
nephthys,Cauv,4,by load,0,0
nero,Cant,4,by load,0,0
newborn,Catx,4,by load,0,0
nightingale,Cakt,4,by load,0,0
nike,Casp,4,by load,0,0
ninth,Cazg,4,by load,0,0
niobe,Cafk,4,by load,0,0
nisaea,Carn,4,by load,0,0
nitocris,Carg,4,by load,0,0
noah,Carf,4,by load,0,0
nocturnal,Calp,4,by load,0,0
nodding,Coim,4,by load,0,0
noose,Coin,4,by load,0,0
nor,Coiq,4,by load,0,0
norwegian,Coig,4,by load,0,0
nostril,Coib,4,by load,0,0
notch,kaiC,4,by load,2,0
nourishing,Coit,4,by load,0,0
nourishment,Cois,4,by load,0,0
nova,Coiz,4,by load,0,0
nuclear,Coif,4,by load,0,0
numidian,Coix,4,by load,0,0
nun,Coij,4,by load,0,0
nurse,krug,4,by load,1,0
nyx,Cont,4,by load,0,0
oak,krud,4,by load,1,0
oat,krup,4,by load,1,0
oblique,Cotx,4,by load,0,0
obscure,Cokt,4,by load,0,0
observable,Cosp,4,by load,0,0
occipital,Cozg,4,by load,0,0
odin,Cofk,4,by load,0,0
offscouring,Corn,4,by load,0,0
ohio,Corg,4,by load,0,0
oily,Corf,4,by load,0,0
olen,Colp,4,by load,0,0
olympian,Cunt,4,by load,0,0
omen,kruv,4,by load,1,0
opal,Cutx,4,by load,0,0
ophthalmic,Cukt,4,by load,0,0
optative,Cusp,4,by load,0,0
orach,Cuzg,4,by load,0,0
oratorical,Cufk,4,by load,0,0
orchard,cimp,4,by load,0,0
orderliness,cind,4,by load,0,0
ordinal,ciqk,4,by load,0,0
oread,cigd,4,by load,0,0
oregano,cidj,4,by load,0,0
orphan,cisk,4,by load,0,0
orphean,cizb,4,by load,0,0
orpiment,cift,4,by load,0,0
osmosis,cemp,4,by load,0,0
ostrich,cend,4,by load,0,0
otus,ceqk,4,by load,0,0
oval,kruc,4,by load,1,0
overthrown,cegd,4,by load,0,0
owl,klim,4,by load,1,0
ox,cedj,4,by load,0,0
oxide,cesk,4,by load,0,0
oxymel,cezb,4,by load,0,0
padan,cefk,4,by load,0,0
paid,caim,4,by load,0,0
pakistan,cain,4,by load,0,0
palatine,caiq,4,by load,0,0
pale,kaum,4,by load,2,0
palestinian,caig,4,by load,0,0
palisade,caib,4,by load,0,0
palma,cait,4,by load,0,0
pamphylian,cais,4,by load,0,0
pancreas,caiz,4,by load,0,0
pandora,caif,4,by load,0,0
panther,caix,4,by load,0,0
paragoge,caij,4,by load,0,0
parallax,caum,4,by load,0,0
parallelepiped,caun,4,by load,0,0
parallelogram,cauq,4,by load,0,0
parasite,klig,4,by load,1,0
parchment,caug,4,by load,0,0
parietal,caub,4,by load,0,0
paris,caut,4,by load,0,0
parrot,caus,4,by load,0,0
parsley,cauz,4,by load,0,0
parsnip,cauf,4,by load,0,0
parthian,caux,4,by load,0,0
partial,cauj,4,by load,0,0
particular,kaun,4,by load,2,0
paste,caul,4,by load,0,0
pastry,klib,4,by load,1,0
pasturage,camp,4,by load,0,0
patagonian,cand,4,by load,0,0
patellula,caqk,4,by load,0,0
paved,cagd,4,by load,0,0
peacock,cadj,4,by load,0,0
peanut,cask,4,by load,0,0
pear,cazb,4,by load,0,0
pearl,caft,4,by load,0,0
pebble,carm,4,by load,0,0
peculiarly,carb,4,by load,0,0
pedicular,calk,4,by load,0,0
peg,calf,4,by load,0,0
pekinese,coid,4,by load,0,0
pelasgian,coip,4,by load,0,0
pelias,coik,4,by load,0,0
pelican,coiv,4,by load,0,0
pella,comp,4,by load,0,0
pelopidas,cond,4,by load,0,0
peloponnesian,coqk,4,by load,0,0
pelops,cogd,4,by load,0,0
pencil,codj,4,by load,0,0
pending,cosk,4,by load,0,0
penetrable,cozb,4,by load,0,0
peninsula,coft,4,by load,0,0
pennyroyal,corm,4,by load,0,0
pentagonal,corb,4,by load,0,0
penultimate,colk,4,by load,0,0
peony,colf,4,by load,0,0
pepper,cump,4,by load,0,0
perennial,cund,4,by load,0,0
perforated,cuqk,4,by load,0,0
perfumed,cugd,4,by load,0,0
periphas,cudj,4,by load,0,0
persepolis,cusk,4,by load,0,0
persuasive,cuzb,4,by load,0,0
pestilential,cuft,4,by load,0,0
pestle,crim,4,by load,0,0
pettifogger,criq,4,by load,0,0
phaedo,crig,4,by load,0,0
phaedra,crib,4,by load,0,0
pharaoh,crit,4,by load,0,0
pharyngeal,cris,4,by load,0,0
philosophical,criz,4,by load,0,0
phlegm,crif,4,by load,0,0
phlegra,crix,4,by load,0,0
phlegyas,crij,4,by load,0,0
phoebe,crem,4,by load,0,0
phoenix,creq,4,by load,0,0
phorbas,creg,4,by load,0,0
phorcys,creb,4,by load,0,0
phormio,cret,4,by load,0,0
phylarch,cres,4,by load,0,0
physician,crez,4,by load,0,0
pie,cref,4,by load,0,0
pierce,twuf,4,by load,3,0
piety,crex,4,by load,0,0
piglet,crej,4,by load,0,0
pindar,cram,4,by load,0,0
pine,craq,4,by load,0,0
pineapple,crag,4,by load,0,0
piracy,crab,4,by load,0,0
pirate,crat,4,by load,0,0
piratical,cras,4,by load,0,0
pirene,craz,4,by load,0,0
pisiform,craf,4,by load,0,0
pitch,crax,4,by load,0,0
placable,craj,4,by load,0,0
plain,twoC,4,by load,4,0
plait,klit,4,by load,1,0
plan,blan,4,pinned,0,0
plane,blun,4,pinned,0,0
plato,cral,4,by load,0,0
player,crom,4,by load,0,0
playmate,croq,4,by load,0,0
please,bliz,4,pinned,0,0
plethora,crog,4,by load,0,0
plica,crob,4,by load,0,0
plinth,crot,4,by load,0,0
plough,cros,4,by load,0,0
plucked,croz,4,by load,0,0
plum,crof,4,by load,0,0
plundered,crox,4,by load,0,0
plunderer,croj,4,by load,0,0
poet,crol,4,by load,0,0
polish,crum,4,by load,0,0
pollarded,cruq,4,by load,0,0
pontic,crug,4,by load,0,0
pontifical,crub,4,by load,0,0
poplar,crut,4,by load,0,0
porcelain,crus,4,by load,0,0
porcupine,cruz,4,by load,0,0
portent,cruf,4,by load,0,0
portuguese,crux,4,by load,0,0
postponed,cruj,4,by load,0,0
potato,crul,4,by load,0,0
potidaea,yimp,4,by load,0,0
poverty,yind,4,by load,0,0
praetorian,yiqk,4,by load,0,0
prague,yigd,4,by load,0,0
prattle,yidj,4,by load,0,0
preceded,yisk,4,by load,0,0
preceding,yizb,4,by load,0,0
predecessor,yift,4,by load,0,0
prepare,twol,4,by load,4,0
presiding,yend,4,by load,0,0
priam,yeqk,4,by load,0,0
priapism,yegd,4,by load,0,0
priene,yedj,4,by load,0,0
priest,yesk,4,by load,0,0
priestess,yezb,4,by load,0,0
primary,yeft,4,by load,0,0
primeval,yaim,4,by load,0,0
princess,yain,4,by load,0,0
prism,yaiq,4,by load,0,0
private,twux,4,by load,3,0
privet,yaig,4,by load,0,0
problem,brab,4,pinned,0,0
proboscis,yaib,4,by load,0,0
processional,yait,4,by load,0,0
procne,yais,4,by load,0,0
procris,yaiz,4,by load,0,0
prodigality,yaif,4,by load,0,0
propagated,yaix,4,by load,0,0
propelled,yaij,4,by load,0,0
prophet,kliv,4,by load,1,0
prostate,yaiC,4,by load,0,0
prostitute,klic,4,by load,1,0
prostrated,yaum,4,by load,0,0
protein,yaun,4,by load,0,0
prove,bruv,4,pinned,0,0
prow,yauq,4,by load,0,0
pruned,yaug,4,by load,0,0
psoas,yaub,4,by load,0,0
psyche,yaut,4,by load,0,0
pula,yaus,4,by load,0,0
pulmonary,yauz,4,by load,0,0
pulse,twuj,4,by load,3,0
